#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Candidatus_bacterium_SZUA-1184|SZUA-1184_00001	K08307	[EC:4.2.2.-]	mltD, dniR	membrane-bound lytic murein transglycosylase D	05E9H@bactNOG,0QHZG@gproNOG,16Q6H@proNOG,COG0741@NOG	Lytic Murein transglycosylase			SZUA-1184_1:c(1414..3030)	Membrane-bound lytic murein transglycosylase D	K08307	K08307		K08307	K08309
Candidatus_bacterium_SZUA-1184|SZUA-1184_01074	K00995	[EC:2.7.8.5]	pgsA, PGS1	CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase	08UKJ@bactNOG,0CZT7@chlNOG,COG0558@NOG	CDP-alcohol phosphatidyltransferase			SZUA-1184_194:c(14577..15158)	Putative CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyl-transferase 2	K00995			K00995	K17884
Candidatus_bacterium_SZUA-1184|SZUA-1184_01075	K16786	[EC:3.6.3.-]	ecfA1	energy-coupling factor transport system ATP-binding protein	08JJB@bactNOG,0F7C0@cloNOG,0P6MG@firmNOG,COG1122@NOG	Abc transporter, ATP-binding protein			SZUA-1184_194:c(15145..16461)	Putative HMP/thiamine import ATP-binding protein YkoD	K16786			K16786	K16787
Candidatus_bacterium_SZUA-1184|SZUA-1184_01076	K02527	[EC:2.4.99.12][EC:2.4.99.13][EC:2.4.99.14][EC:2.4.99.15]	kdtA, waaA	3-deoxy-D-manno-octulosonic-acid transferase	05D8A@bactNOG,09A06@bctoNOG,0P7EX@flaNOG,COG1519@NOG	3-Deoxy-D-manno-octulosonic-acid transferase			SZUA-1184_194:c(16454..17737)	3-deoxy-D-manno-octulosonic acid transferase	K02527	K02527		K02527	K02527
Candidatus_bacterium_SZUA-1184|SZUA-1184_01077	K02843	[EC:2.4.-.-]	waaF, rfaF	heptosyltransferase II	05XA0@bactNOG,0QEQG@fusoNOG,COG0859@NOG	Lipopolysaccharide core biosynthesis protein RfaQ			SZUA-1184_194:c(17737..18759)	Lipopolysaccharide core heptosyltransferase RfaQ	K02843			K02843	K12982
Candidatus_bacterium_SZUA-1184|SZUA-1184_01078	K02523	[EC:2.5.1.90]	ispB	octaprenyl-diphosphate synthase	05EAH@bactNOG,09A87@bctoNOG,0FV2W@cytNOG,COG0142@NOG	Polyprenyl synthetase			SZUA-1184_194:c(18761..19750)	Octaprenyl diphosphate synthase	K02523	K02523		K02523	K21275
Candidatus_bacterium_SZUA-1184|SZUA-1184_01079	K03118		tatC	sec-independent protein translocase protein TatC	05DCX@bactNOG,0CZKJ@chlNOG,COG0805@NOG	Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes (By similarity)			SZUA-1184_194:c(19776..20501)	Sec-independent protein translocase protein TatC	K03118	K03118		K03118	K03118
Candidatus_bacterium_SZUA-1184|SZUA-1184_01080	K07588	[EC:2.7.-.-]	argK	LAO/AO transport system kinase	05DJT@bactNOG,0NEBG@firmNOG,0X2GF@negNOG,COG1703@NOG	LAO AO transport system ATPase			SZUA-1184_194:c(20498..21427)	GTPase ArgK	K07588	K07588		K07588	K11942
Candidatus_bacterium_SZUA-1184|SZUA-1184_01081	K13996	[EC:5.3.4.1]	EPS1	protein disulfide-isomerase	05KJP@bactNOG,0F4UE@cloNOG,0P340@firmNOG,COG0526@NOG	alkyl hydroperoxide reductase Thiol specific antioxidant Mal allergen			SZUA-1184_195:c(25..636)	Thiol-disulfide oxidoreductase ResA	K13996				K13996
Candidatus_bacterium_SZUA-1184|SZUA-1184_01082					08YMZ@bactNOG,0GEFJ@delNOG,0HF0I@dproNOG,11SKS@NOG,17A93@proNOG				SZUA-1184_195:c(673..1533)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_01083					05X93@bactNOG,0GHUK@delNOG,0HIFW@dproNOG,124JK@NOG,17M6C@proNOG				SZUA-1184_195:c(1545..2636)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_01084	K01153	[EC:3.1.21.3]	hsdR	type I restriction enzyme, R subunit	05WDY@bactNOG,0FQGE@cyaNOG,COG2852@NOG	Protein of unknown function (DUF559)			SZUA-1184_195:c(2732..2983)	hypothetical protein	K01153			K01153	
Candidatus_bacterium_SZUA-1184|SZUA-1184_01085					08KQX@bactNOG,0GEJ6@delNOG,0HFGM@dproNOG,1035P@NOG,17DCS@proNOG	domain protein			SZUA-1184_195:c(3069..4217)	Cell surface glycoprotein 2					
Candidatus_bacterium_SZUA-1184|SZUA-1184_01086					12BM0@NOG	FN3			SZUA-1184_195:c(4231..6903)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_01087	K01256	[EC:3.4.11.2]	pepN	aminopeptidase N	05CUN@bactNOG,09APA@bctoNOG,0FW2C@cytNOG,COG0308@NOG	Peptidase M1 membrane alanine aminopeptidase			SZUA-1184_196:18..2756	hypothetical protein	K01256			K01256	K13721
Candidatus_bacterium_SZUA-1184|SZUA-1184_01088					07TBR@bactNOG,0GBBK@delNOG,0HCRY@dproNOG,0YBUZ@NOG,16TKY@proNOG	cytochrome C family protein			SZUA-1184_196:2983..4188	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_01089					07UNQ@bactNOG,09C8Q@bctoNOG,0ZVNF@NOG	fg-gap repeat protein			SZUA-1184_196:4172..6220	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_01090	K01426	[EC:3.5.1.4]	E3.5.1.4, amiE	amidase	05D9J@bactNOG,0GA1K@deiNOG,COG2421@NOG	Acetamidase/Formamidase family			SZUA-1184_197:c(229..1206)	Formamidase	K01426			K01426	K01455
Candidatus_bacterium_SZUA-1184|SZUA-1184_01091	K21572		susD	starch-binding outer membrane protein, SusD/RagB family	05F2J@bactNOG,0GBT4@delNOG,0HDAM@dproNOG,0XRUA@NOG,16QT9@proNOG	SusD family			SZUA-1184_197:c(1292..2560)	hypothetical protein	K21572	K21572			
Candidatus_bacterium_SZUA-1184|SZUA-1184_01092	K02014		TC.FEV.OM	iron complex outermembrane recepter protein	05C27@bactNOG,09AR8@bctoNOG,0P9EE@flaNOG,0XNNV@NOG	TonB dependent receptor			SZUA-1184_197:c(2579..4393)	hypothetical protein	K02014			K02014	
Candidatus_bacterium_SZUA-1184|SZUA-1184_01093					05E7Y@bactNOG,0XQSX@NOG				SZUA-1184_198:114..1340	Outer membrane protein assembly factor BamA					
Candidatus_bacterium_SZUA-1184|SZUA-1184_01094	K04485		radA, sms	DNA repair protein RadA/Sms	05DNJ@bactNOG,0NDEH@firmNOG,0X2G9@negNOG,COG1066@NOG	May play a role in the repair of endogenous alkylation damage (By similarity)			SZUA-1184_198:1394..2749	DNA repair protein RadA	K04485	K04485		K04485	K04485
Candidatus_bacterium_SZUA-1184|SZUA-1184_01095	K00773	[EC:2.4.2.29]	tgt, QTRT1	queuine tRNA-ribosyltransferase	05C6U@bactNOG,09AUU@bctoNOG,0P7J5@flaNOG,COG0343@NOG	Exchanges the guanine residue with 7-aminomethyl-7- deazaguanine in tRNAs with GU(N) anticodons (tRNA-Asp, -Asn, -His and -Tyr). After this exchange, a cyclopentendiol moiety is attached to the 7-aminomethyl group of 7-deazaguanine, resulting in the hypermodified nucleoside queuosine (Q) (7-(((4,5-cis- dihydroxy-2-cyclopenten-1-yl)amino)methyl)-7-deazaguanosine) (By similarity)			SZUA-1184_198:2753..3886	Queuine tRNA-ribosyltransferase	K00773	K00773		K00773	K18779
Candidatus_bacterium_SZUA-1184|SZUA-1184_01096	K08310	[EC:3.6.1.67]	nudB, ntpA	dihydroneopterin triphosphate diphosphatase	0633C@bactNOG,11XKK@NOG	mutT nudix family protein			SZUA-1184_198:3886..4350	RNA pyrophosphohydrolase	K08310	K08310		K08310	
Candidatus_bacterium_SZUA-1184|SZUA-1184_01097	K03564	[EC:1.11.1.15]	BCP, PRXQ, DOT5	peroxiredoxin Q/BCP	08YXY@bactNOG,0EQMS@cloNOG,0NI5R@firmNOG,COG1225@NOG	Antioxidant, AhpC Tsa family			SZUA-1184_198:4363..4494	Putative peroxiredoxin	K03564	K03564		K03564	K03564
Candidatus_bacterium_SZUA-1184|SZUA-1184_01098	K03564	[EC:1.11.1.15]	BCP, PRXQ, DOT5	peroxiredoxin Q/BCP	08YXY@bactNOG,09ENQ@bctoNOG,COG1225@NOG	bacterioferritin comigratory protein			SZUA-1184_198:4564..4818	Peroxiredoxin Bcp	K03564	K03564		K03564	K03564
Candidatus_bacterium_SZUA-1184|SZUA-1184_01099					062SQ@bactNOG,129M3@NOG,17PE0@proNOG				SZUA-1184_198:4911..5282	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_01100									SZUA-1184_198:5283..5969	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_01101	K20615	[EC:4.2.1.145]	vioD	capreomycidine synthase	07QXA@bactNOG,COG0436@NOG	Aminotransferase			SZUA-1184_198:6001..7113	Capreomycidine synthase	K20615				K20615
Candidatus_bacterium_SZUA-1184|SZUA-1184_01102	K01754	[EC:4.3.1.19]	E4.3.1.19, ilvA, tdcB	threonine dehydratase	0KRZ0@eurNOG,COG1171@NOG,arCOG01431@arNOG	Threonine dehydratase			SZUA-1184_198:7110..8066	L-threonine dehydratase catabolic TdcB	K01754	K01754		K01754	
Candidatus_bacterium_SZUA-1184|SZUA-1184_01103	K01750	[EC:4.3.1.12]	E4.3.1.12, ocd	ornithine cyclodeaminase	05CIF@bactNOG,COG2423@NOG	Ornithine Cyclodeaminase			SZUA-1184_198:8063..9004	Delta(1)-pyrroline-2-carboxylate reductase	K01750			K01750	K21721
Candidatus_bacterium_SZUA-1184|SZUA-1184_01104					05P5R@bactNOG,11XE0@NOG				SZUA-1184_198:9091..9765	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_01105									SZUA-1184_199:c(961..1167)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_01106	K07727		K07727	putative transcriptional regulator	021FD@aproNOG,05VMP@bactNOG,17K6B@proNOG,COG3655@NOG	Transcriptional regulator			SZUA-1184_199:1384..1569	hypothetical protein	K07727	K07727		K07727	K07727
Candidatus_bacterium_SZUA-1184|SZUA-1184_01107	K00681	[EC:2.3.2.2][EC:3.4.19.13]	ggt	gamma-glutamyltranspeptidase / glutathione hydrolase	05CFB@bactNOG,0FK6S@cyaNOG,COG0405@NOG	Gamma-glutamyltransferase			SZUA-1184_199:1683..3209	Glutathione hydrolase proenzyme	K00681	K00681		K00681	K00681
Candidatus_bacterium_SZUA-1184|SZUA-1184_01108									SZUA-1184_199:c(3267..3902)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_01109	K02636	[EC:1.10.9.1]	petC	cytochrome b6-f complex iron-sulfur subunit	05T4J@bactNOG,09H6I@bctoNOG,COG0723@NOG	Rieske 2Fe-2S domain-containing protein			SZUA-1184_199:c(4035..4460)	Cytochrome b6-f complex iron-sulfur subunit	K02636			K02636	K15878
Candidatus_bacterium_SZUA-1184|SZUA-1184_01110	K02069		ABC.X2.P	putative ABC transport system permease protein	05C4B@bactNOG,0QI4P@gproNOG,16TFS@proNOG,COG0390@NOG	metal resistance protein			SZUA-1184_199:c(4617..5348)	putative iron export permease protein FetB	K02069	K02069		K02069	K02069
Candidatus_bacterium_SZUA-1184|SZUA-1184_01111									SZUA-1184_199:c(5481..5663)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_01112									SZUA-1184_200:c(103..225)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_01113					08T1X@bactNOG,0XRDS@NOG	regulatory protein FlaEY			SZUA-1184_200:c(273..1490)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_01114					0667X@bactNOG,09HU3@bctoNOG,12ANG@NOG				SZUA-1184_200:c(1505..2272)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_01115									SZUA-1184_200:c(2462..2563)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_01116	K07157		K07157	uncharacterized protein	07TRC@bactNOG,COG2802@NOG	Peptidase S16, lon domain protein			SZUA-1184_200:c(2642..3232)	hypothetical protein	K07157	K07157		K01338	K07157
Candidatus_bacterium_SZUA-1184|SZUA-1184_01117					05ZMX@bactNOG,09AE6@bctoNOG,0P7SQ@flaNOG,0XPBG@NOG	Protein of unknown function (DUF2851)			SZUA-1184_201:c(447..1583)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_01118	K00655	[EC:2.3.1.51]	plsC	1-acyl-sn-glycerol-3-phosphate acyltransferase	05E9Q@bactNOG,COG0204@NOG	Acyl-transferase			SZUA-1184_201:c(1558..2277)	1-acyl-sn-glycerol-3-phosphate acyltransferase	K00655	K00655		K00655	K13509
Candidatus_bacterium_SZUA-1184|SZUA-1184_01119	K01875	[EC:6.1.1.11]	SARS, serS	seryl-tRNA synthetase	05CGR@bactNOG,0ENZP@cloNOG,0NDEG@firmNOG,COG0172@NOG	Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec) (By similarity)			SZUA-1184_201:c(2278..3546)	Serine--tRNA ligase	K01875	K01875		K01875	K01875
Candidatus_bacterium_SZUA-1184|SZUA-1184_01120	K03606		wcaJ	putative colanic acid biosysnthesis UDP-glucose lipid carrier transferase	05D3Q@bactNOG,099N6@bctoNOG,COG2148@NOG	sugar transferase			SZUA-1184_201:c(3620..4864)	UDP-N-acetylgalactosamine-undecaprenyl-phosphate N-acetylgalactosaminephosphotransferase	K03606			K03606	K21303
Candidatus_bacterium_SZUA-1184|SZUA-1184_01121					08QPT@bactNOG,0Y9YH@NOG				SZUA-1184_202:20..1165	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_01122					08M5J@bactNOG,0ZVYZ@NOG				SZUA-1184_202:1162..2646	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_01123	K02014		TC.FEV.OM	iron complex outermembrane recepter protein	05F41@bactNOG,0QIJ6@gproNOG,0XPF7@NOG,16RG7@proNOG	receptor			SZUA-1184_203:73..366	hypothetical protein	K02014			K02014	
Candidatus_bacterium_SZUA-1184|SZUA-1184_01124					05GBI@bactNOG,11RUT@NOG,1773R@proNOG				SZUA-1184_203:c(456..1577)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_01125	K00812	[EC:2.6.1.1]	aspB	aspartate aminotransferase	07UDX@bactNOG,0QIFU@gproNOG,175Q4@proNOG,COG0436@NOG	Aminotransferase			SZUA-1184_203:1716..2987	Aspartate aminotransferase	K00812	K00812		K00812	K20615
Candidatus_bacterium_SZUA-1184|SZUA-1184_01126					01U4F@aproNOG,081UJ@bactNOG,0XSB1@NOG,16T5H@proNOG	cupin domain protein			SZUA-1184_203:c(3119..4249)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_01127	K00645	[EC:2.3.1.39]	fabD	[acyl-carrier-protein] S-malonyltransferase	07HV6@bactNOG,0QQGE@gproNOG,0XTI5@NOG,16WE2@proNOG	Inherit from proNOG: Acyl-carrier domain protein			SZUA-1184_204:c(365..1408)	Polyketide biosynthesis acyltransferase PksD	K00645			K00645	
Candidatus_bacterium_SZUA-1184|SZUA-1184_01128	K11381	[EC:1.2.4.4]	bkdA	2-oxoisovalerate dehydrogenase E1 component	05CPP@bactNOG,0QMAE@gproNOG,173M9@proNOG,COG0022@NOG,COG1071@NOG	Dehydrogenase E1 component			SZUA-1184_204:c(1401..3614)	Pyruvate dehydrogenase E1 component subunit beta	K11381	K11381		K00162	K21416
Candidatus_bacterium_SZUA-1184|SZUA-1184_01129	K03630		radC	DNA repair protein RadC	05W5Q@bactNOG,0GDC0@delNOG,0HGPZ@dproNOG,16SR6@proNOG,COG2003@NOG	DNA repair protein RadC			SZUA-1184_204:c(3630..4310)	hypothetical protein	K03630	K03630		K03630	K03630
Candidatus_bacterium_SZUA-1184|SZUA-1184_01130	K03465	[EC:2.1.1.148]	thyX, thy1	thymidylate synthase (FAD)	01R98@aproNOG,07R2U@bactNOG,16TCS@proNOG,COG1351@NOG	Catalyzes the formation of dTMP and tetrahydrofolate from dUMP and methylenetetrahydrofolate (By similarity)			SZUA-1184_204:c(4339..5301)	Flavin-dependent thymidylate synthase	K03465	K03465		K03465	K03465
Candidatus_bacterium_SZUA-1184|SZUA-1184_01131	K01092	[EC:3.1.3.25]	E3.1.3.25, IMPA, suhB	myo-inositol-1(or 4)-monophosphatase	05ERR@bactNOG,16SEB@proNOG,COG0483@NOG	inositol monophosphatase			SZUA-1184_204:c(5303..6085)	Inositol-1-monophosphatase	K01092	K01092		K01092	K05602
Candidatus_bacterium_SZUA-1184|SZUA-1184_01132					08S8G@bactNOG,COG5587@NOG	TIGR02453 family			SZUA-1184_204:c(6115..6777)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_01133	K00569	[EC:2.1.1.67]	TPMT, tpmT	thiopurine S-methyltransferase	08V61@bactNOG,0FNV2@cyaNOG,COG0500@NOG	Thiopurine S-methyltransferase (TPMT)			SZUA-1184_204:c(6774..7427)	hypothetical protein	K00569			K00569	K21377
Candidatus_bacterium_SZUA-1184|SZUA-1184_01134	K00548	[EC:2.1.1.13]	metH, MTR	5-methyltetrahydrofolate--homocysteine methyltransferase	05C3R@bactNOG,0QJXR@gproNOG,16QB3@proNOG,COG0646@NOG,COG1410@NOG	methionine synthase			SZUA-1184_204:c(7366..10905)	Methionine synthase	K00548	K00548	K00548	K00548	K00548
Candidatus_bacterium_SZUA-1184|SZUA-1184_01135	K08301	[EC:3.1.26.-]	rng, cafA	ribonuclease G	05C03@bactNOG,0EPIB@cloNOG,0NE7N@firmNOG,COG1530@NOG	ribonuclease Rne Rng family			SZUA-1184_204:11304..12845	Ribonuclease G	K08301	K08301		K08300	K08301
Candidatus_bacterium_SZUA-1184|SZUA-1184_01136	K02888		RP-L21, MRPL21, rplU	large subunit ribosomal protein L21	05KK9@bactNOG,09GI9@bctoNOG,0P956@flaNOG,COG0261@NOG	This protein binds to 23S rRNA in the presence of protein L20 (By similarity)			SZUA-1184_204:12888..13277	50S ribosomal protein L21	K02888	K02888		K02888	K02888
Candidatus_bacterium_SZUA-1184|SZUA-1184_01137	K02899		RP-L27, MRPL27, rpmA	large subunit ribosomal protein L27	05K46@bactNOG,0EU99@cloNOG,0NKTD@firmNOG,COG0211@NOG	50S ribosomal protein L27			SZUA-1184_204:13277..13534	50S ribosomal protein L27	K02899	K02899		K02899	K02899
Candidatus_bacterium_SZUA-1184|SZUA-1184_01138	K00024	[EC:1.1.1.37]	mdh	malate dehydrogenase	05C80@bactNOG,0GB7Q@delNOG,0HC2D@dproNOG,16Q71@proNOG,COG0039@NOG	Catalyzes the reversible oxidation of malate to oxaloacetate (By similarity)			SZUA-1184_204:13650..14585	Malate dehydrogenase	K00024	K00024		K00016	K00051
Candidatus_bacterium_SZUA-1184|SZUA-1184_01139	K00363	[EC:1.7.1.15]	nirD	nitrite reductase (NADH) small subunit	07EIC@bactNOG,0GI9K@delNOG,0HIQA@dproNOG,17K76@proNOG,COG2146@NOG	Rieske 2Fe-2S			SZUA-1184_204:c(14582..14899)	Naphthalene 1,2-dioxygenase system, ferredoxin component	K00363	K00363		K00363	K18248
Candidatus_bacterium_SZUA-1184|SZUA-1184_01140					08556@bactNOG,0QNQ6@gproNOG,1748D@proNOG,COG3155@NOG	isoprenoid biosynthesis protein with amidotransferase-like domain			SZUA-1184_204:c(14972..15625)	Glyoxalase ElbB					
Candidatus_bacterium_SZUA-1184|SZUA-1184_01141	K18979	[EC:1.17.99.6]	queG	epoxyqueuosine reductase	05EH2@bactNOG,09ANB@bctoNOG,COG1600@NOG	Catalyzes the conversion of epoxyqueuosine (oQ) to queuosine (Q), which is a hypermodified base found in the wobble positions of tRNA(Asp), tRNA(Asn), tRNA(His) and tRNA(Tyr) (By similarity)			SZUA-1184_204:c(15635..16555)	Epoxyqueuosine reductase	K18979	K18979		K00567	K18979
Candidatus_bacterium_SZUA-1184|SZUA-1184_01142	K01515	[EC:3.6.1.13]	nudF	ADP-ribose pyrophosphatase	07RK2@bactNOG,0B9HU@bproNOG,16R1W@proNOG,COG0494@NOG	NUDIX hydrolase			SZUA-1184_204:c(16583..17119)	ADP-ribose pyrophosphatase	K01515	K01515	K01515	K01515	K18568
Candidatus_bacterium_SZUA-1184|SZUA-1184_01143					085NS@bactNOG,0GHJV@delNOG,0HHGP@dproNOG,0ZY2V@NOG,16XHT@proNOG				SZUA-1184_204:c(17163..17900)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_01144					078A8@bactNOG,0ZFKH@NOG				SZUA-1184_204:c(17943..18725)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_01145									SZUA-1184_204:c(18794..19741)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_01146					0KWUK@eurNOG,0WNWP@methaNOG,0XSQC@NOG,arCOG03561@arNOG,arCOG03611@arNOG	NHL repeat			SZUA-1184_204:c(19738..21090)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_01147					08X6K@bactNOG,09EGX@bctoNOG,11MG6@NOG				SZUA-1184_204:c(21087..22097)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_01148					05FEF@bactNOG,09D3A@bctoNOG,10051@NOG	tonB-dependent Receptor			SZUA-1184_204:c(22097..24625)	Protein oar					
Candidatus_bacterium_SZUA-1184|SZUA-1184_01149	K09458	[EC:2.3.1.179]	fabF	3-oxoacyl-[acyl-carrier-protein] synthase II	05C0Q@bactNOG,0GAJG@delNOG,0HBT1@dproNOG,16PUQ@proNOG,COG0304@NOG	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP (By similarity)			SZUA-1184_205:16..249	3-oxoacyl-[acyl-carrier-protein] synthase 2	K09458	K09458		K09458	K21789
Candidatus_bacterium_SZUA-1184|SZUA-1184_01150	K03685	[EC:3.1.26.3]	rnc, DROSHA, RNT1	ribonuclease III	08ZBM@bactNOG,1DI3Q@verNOG,1DMWQ@verrNOG,COG0571@NOG	Digests double-stranded RNA. Involved in the processing of primary rRNA transcript to yield the immediate precursors to the large and small rRNAs (23S and 16S). Also processes some mRNAs, and tRNAs when they are encoded in the rRNA operon (By similarity)			SZUA-1184_205:215..961	Ribonuclease 3	K03685	K03685		K03685	K03685
Candidatus_bacterium_SZUA-1184|SZUA-1184_01151	K08999		K08999	uncharacterized protein	05EF4@bactNOG,0CZR8@chlNOG,COG1259@NOG	Pfam:DUF151			SZUA-1184_205:c(962..1501)	hypothetical protein	K08999	K08999		K08999	K08999
Candidatus_bacterium_SZUA-1184|SZUA-1184_01152	K15916	[EC:5.3.1.9][EC:5.3.1.8]	pgi-pmi	glucose/mannose-6-phosphate isomerase	086CI@bactNOG,0EPYX@cloNOG,0NEDB@firmNOG,COG0166@NOG	Bifunctional phosphoglucose phosphomannose isomerase			SZUA-1184_205:c(1566..2606)	hypothetical protein	K15916	K15916		K15916	K15916
Candidatus_bacterium_SZUA-1184|SZUA-1184_01153	K13789	[EC:2.5.1.1][EC:2.5.1.10][EC:2.5.1.29]	GGPS	geranylgeranyl diphosphate synthase, type II	05CTB@bactNOG,099JB@bctoNOG,1AGA1@sphNOG,COG0142@NOG	K13789 geranylgeranyl diphosphate synthase, type II EC 2.5.1.1 2.5.1.10 2.5.1.29			SZUA-1184_205:c(2608..3579)	Heptaprenyl diphosphate synthase component 2	K13789	K13789		K13787	K21275
Candidatus_bacterium_SZUA-1184|SZUA-1184_01154	K15778	[EC:5.4.2.8][EC:5.4.2.2]	pmm-pgm	phosphomannomutase / phosphoglucomutase	07QKV@bactNOG,0GBQF@delNOG,0HCPT@dproNOG,16RKE@proNOG,COG1109@NOG	phosphomannomutase			SZUA-1184_205:c(3572..3835)	Phosphomannomutase/phosphoglucomutase	K15778	K15778		K01835	K16881
Candidatus_bacterium_SZUA-1184|SZUA-1184_01155	K03218	[EC:2.1.1.185]	rlmB	23S rRNA (guanosine2251-2'-O)-methyltransferase	05C2N@bactNOG,0GE13@delNOG,0HEV6@dproNOG,16QNB@proNOG,COG0566@NOG	RNA methyltransferase, TrmH family, group 3			SZUA-1184_206:c(1951..2709)	Putative TrmH family tRNA/rRNA methyltransferase	K03218	K03218		K03218	K21514
Candidatus_bacterium_SZUA-1184|SZUA-1184_01156									SZUA-1184_206:c(2770..2937)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_01157	K09516	[EC:1.3.99.23]	RETSAT	all-trans-retinol 13,14-reductase	07VZF@bactNOG,0GCA6@delNOG,0HDKK@dproNOG,16VA3@proNOG,COG1233@NOG	fad dependent oxidoreductase			SZUA-1184_207:135..1718	Phytoene desaturase (lycopene-forming)	K09516	K09516		K09516	K21779
Candidatus_bacterium_SZUA-1184|SZUA-1184_01158	K21469	[EC:3.4.16.4]	pbp4b	serine-type D-Ala-D-Ala carboxypeptidase	08WD2@bactNOG,COG1680@NOG	Beta-lactamase			SZUA-1184_207:c(1775..2911)	Protein flp	K21469				K21469
Candidatus_bacterium_SZUA-1184|SZUA-1184_01159									SZUA-1184_207:3010..3342	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_01160	K14952		namH	UDP-MurNAc hydroxylase	08SSY@bactNOG,COG2220@NOG	domain protein			SZUA-1184_207:3359..4543	hypothetical protein	K14952				K14952
Candidatus_bacterium_SZUA-1184|SZUA-1184_01161	K03657	[EC:3.6.4.12]	uvrD, pcrA	DNA helicase II / ATP-dependent DNA helicase PcrA	COG2887@NOG,arCOG00787@arNOG	UvrD REP helicase			SZUA-1184_208:30..707	hypothetical protein	K03657			K03657	
Candidatus_bacterium_SZUA-1184|SZUA-1184_01162	K01092	[EC:3.1.3.25]	E3.1.3.25, IMPA, suhB	myo-inositol-1(or 4)-monophosphatase	1BJF5@strNOG,1DZ5B@virNOG,COG0483@NOG,KOG2951@euNOG	Phosphatase IMPL1			SZUA-1184_208:c(704..1513)	Fructose-1, 6-bisphosphatase/inositol-1-monophosphatase	K01092	K01092		K01092	
Candidatus_bacterium_SZUA-1184|SZUA-1184_01163	K03310		TC.AGCS	alanine or glycine:cation symporter, AGCS family	05BZG@bactNOG,0ENT5@cloNOG,0ND97@firmNOG,COG1115@NOG	amino acid carrier protein			SZUA-1184_208:c(1578..2939)	Amino-acid carrier protein AlsT	K03310	K03310	K03310	K03310	K11626
Candidatus_bacterium_SZUA-1184|SZUA-1184_01164	K02238		comEC	competence protein ComEC	05EGY@bactNOG,0F7HA@cloNOG,0P6TQ@firmNOG,COG0658@NOG,COG2333@NOG	DNA internalization-related competence protein comec rec2			SZUA-1184_208:3114..3515	ComE operon protein 3	K02238	K02238		K02238	K02238
Candidatus_bacterium_SZUA-1184|SZUA-1184_01165									SZUA-1184_209:253..570	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_01166	K03701		uvrA	excinuclease ABC subunit A					SZUA-1184_209:655..804	hypothetical protein	K03701	K03701			
Candidatus_bacterium_SZUA-1184|SZUA-1184_01167									SZUA-1184_209:1249..1596	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_01168									SZUA-1184_209:1627..1824	hypothetical protein					
