#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00001	K01939	[EC:6.3.4.4]	purA, ADSS	adenylosuccinate synthase	05C91@bactNOG,0GAN7@delNOG,0I2ZP@eproNOG,16PIX@proNOG,COG0104@NOG	Plays an important role in the de novo pathway of purine nucleotide biosynthesis			SZUA-1327_1:634..1896	Adenylosuccinate synthetase	K01939	K01939	K01939	K01939	K01939
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00792	K00208	[EC:1.3.1.9][EC:1.3.1.10]	fabI	enoyl-[acyl-carrier protein] reductase I	05CSJ@bactNOG,0GBCX@delNOG,0I30C@eproNOG,16PM1@proNOG,COG0623@NOG	Enoyl- acyl-carrier-protein reductase NADH			SZUA-1327_141:1242..2033	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI	K00208	K00208		K00208	K11611
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00793									SZUA-1327_141:c(2025..2486)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00794	K03564	[EC:1.11.1.15]	BCP, PRXQ, DOT5	peroxiredoxin Q/BCP	08YXY@bactNOG,0GE43@delNOG,0I3P3@eproNOG,17CDP@proNOG,COG1225@NOG	bacterioferritin comigratory protein			SZUA-1327_142:196..684	Putative peroxiredoxin	K03564	K03564	K03564	K03564	K03564
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00795	K01465	[EC:3.5.2.3]	URA4, pyrC	dihydroorotase	05EKE@bactNOG,0GAZG@delNOG,0I2YQ@eproNOG,16S8V@proNOG,COG0418@NOG	dihydroorotase EC 3.5.2.3			SZUA-1327_142:677..1693	Dihydroorotase	K01465	K01465	K01465	K01465	K01465
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00796					08YVA@bactNOG,0GEBF@delNOG,0I3SU@eproNOG,11MZG@NOG,17C1D@proNOG				SZUA-1327_142:1686..2342	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00797	K15633	[EC:5.4.2.12]	gpmI	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	05CJI@bactNOG,0GASX@delNOG,0I2ZE@eproNOG,16R60@proNOG,COG0696@NOG	Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate (By similarity)			SZUA-1327_142:c(2299..3774)	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	K15633	K15633		K15633	K15633
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00798									SZUA-1327_142:c(3830..4270)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00799	K03775	[EC:5.2.1.8]	slyD	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD	08YZY@bactNOG,0GEP0@delNOG,0I3WH@eproNOG,16W3Q@proNOG,COG1047@NOG	peptidyl-prolyl cis-trans isomerase			SZUA-1327_142:c(4472..5083)	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD	K03775	K03775	K03775	K01802	K03775
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00800					090B2@bactNOG,0GEYA@delNOG,0I4A5@eproNOG,11Q0V@NOG,17DBS@proNOG	TPR repeat-containing protein			SZUA-1327_142:c(5085..6152)	Outer membrane protein assembly factor BamD					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00801	K03640		pal	peptidoglycan-associated lipoprotein	05KCK@bactNOG,0GFIU@delNOG,0I3YU@eproNOG,17FFR@proNOG,COG2885@NOG	lipoprotein			SZUA-1327_142:c(6162..6800)	Outer membrane protein P6	K03640	K03640		K03640	K21218
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00802	K03641		tolB	TolB protein	07R6Y@bactNOG,0GAKE@delNOG,0I2JE@eproNOG,16PSP@proNOG,COG0823@NOG	Translocation protein TolB			SZUA-1327_142:c(6816..8093)	Protein TolB	K03641	K03641		K03641	K20934
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00803									SZUA-1327_142:c(8103..8360)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00804	K06920	[EC:6.3.4.20]	queC	7-cyano-7-deazaguanine synthase	05FD2@bactNOG,0GCBG@delNOG,0I2G4@eproNOG,16RF8@proNOG,COG0603@NOG	Catalyzes the ATP-dependent conversion of 7-carboxy-7- deazaguanine (CDG) to 7-cyano-7-deazaguanine (preQ(0)) (By similarity)			SZUA-1327_142:c(8365..8895)	7-cyano-7-deazaguanine synthase	K06920	K06920		K06920	K06920
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00805									SZUA-1327_143:76..492	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00806					069DY@bactNOG,0XY55@NOG				SZUA-1327_143:494..1612	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00807	K20977		hsbR	two-component system, HptB-dependent secretion and biofilm response regulator	08PK7@bactNOG,0GEUY@delNOG,16WKV@proNOG,COG2208@NOG	protein serine threonine phosphatase			SZUA-1327_143:1614..3122	hypothetical protein	K20977				K20977
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00808					02G7G@aquNOG,07EEX@bactNOG,0XNNB@NOG	cellulose synthase regulator protein			SZUA-1327_144:c(50..1999)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00809					02G7G@aquNOG,07EEX@bactNOG,0XNNB@NOG	cellulose synthase regulator protein			SZUA-1327_144:c(2120..4258)	Cyclic di-GMP-binding protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00810									SZUA-1327_144:c(4310..4936)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00811									SZUA-1327_144:c(4930..5334)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00812	K06176	[EC:5.4.99.27]	truD, PUS7	tRNA pseudouridine13 synthase	06NZV@bactNOG,0GBCR@delNOG,0I2NK@eproNOG,16S26@proNOG,COG0585@NOG	Responsible for synthesis of pseudouridine from uracil- 13 in transfer RNAs (By similarity)			SZUA-1327_144:c(5339..6433)	tRNA pseudouridine synthase D	K06176	K06176		K06176	K06176
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00813	K02314	[EC:3.6.4.12]	dnaB	replicative DNA helicase	05CDU@bactNOG,0GB3N@delNOG,0I2QC@eproNOG,16Q6V@proNOG,COG0305@NOG	replicative DNA helicase			SZUA-1327_144:c(6443..8311)	Replicative DNA helicase	K02314	K02314		K02314	K02314
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00814	K06213		mgtE	magnesium transporter	05CJW@bactNOG,0GBZH@delNOG,0I35G@eproNOG,16Q94@proNOG,COG2239@NOG	magnesium transporter			SZUA-1327_144:c(8322..9671)	Magnesium transporter MgtE	K06213	K06213		K06213	K06213
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00815	K01875	[EC:6.1.1.11]	SARS, serS	seryl-tRNA synthetase	05CGR@bactNOG,0GAVD@delNOG,0I2IG@eproNOG,16PX9@proNOG,COG0172@NOG	Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec) (By similarity)			SZUA-1327_144:9734..10978	Serine--tRNA ligase	K01875	K01875		K01875	K01875
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00816	K00872	[EC:2.7.1.39]	thrB1	homoserine kinase	05D5I@bactNOG,0GBR4@delNOG,0I32G@eproNOG,16QN4@proNOG,COG0083@NOG	Catalyzes the ATP-dependent phosphorylation of L- homoserine to L-homoserine phosphate (By similarity)			SZUA-1327_145:c(9..899)	Homoserine kinase	K00872	K00872		K00872	K00872
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00817	K14742		tsaB	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB	05KKS@bactNOG,0GFK3@delNOG,0I467@eproNOG,17FRV@proNOG,COG1214@NOG	Inherit from COG: Peptidase M22 Glycoprotease			SZUA-1327_145:c(911..1372)	hypothetical protein	K14742				K14742
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00818	K02535	[EC:3.5.1.108]	lpxC	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	05C7C@bactNOG,0GAIX@delNOG,0I2NX@eproNOG,16PBE@proNOG,COG0774@NOG	involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell (By similarity)			SZUA-1327_145:c(1356..2201)	UDP-3-O-acyl-N-acetylglucosamine deacetylase	K02535	K02535		K02535	K16363
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00819	K03610		minC	septum site-determining protein MinC	05VQJ@bactNOG,0GH65@delNOG,0I4E4@eproNOG,17K0N@proNOG,COG0850@NOG	septum formation inhibitor			SZUA-1327_145:c(2207..2800)	septum site-determining protein MinC	K03610			K03610	K03610
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00820	K21472	[EC:3.4.-.-]	lytH	peptidoglycan LD-endopeptidase LytH	07R7M@bactNOG,0GC81@delNOG,0I2V5@eproNOG,16VSE@proNOG,COG0739@NOG	peptidase			SZUA-1327_145:c(2797..4218)	Stage II sporulation protein Q	K21472				K21472
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00821									SZUA-1327_145:c(4228..4449)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00822	K00338	[EC:1.6.5.3]	nuoI	NADH-quinone oxidoreductase subunit I	05P3U@bactNOG,0GCPU@delNOG,0I2VV@eproNOG,16SPN@proNOG,COG1143@NOG	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient (By similarity)			SZUA-1327_146:c(310..906)	NADH-quinone oxidoreductase subunit I	K00338	K00338	K00338	K00338	K15831
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00823	K00337	[EC:1.6.5.3]	nuoH	NADH-quinone oxidoreductase subunit H	05CMZ@bactNOG,0GBVQ@delNOG,0I2YG@eproNOG,16PHN@proNOG,COG1005@NOG	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient. This subunit may bind ubiquinone (By similarity)			SZUA-1327_146:c(920..1903)	NADH-quinone oxidoreductase subunit H	K00337	K00337		K00337	K05572
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00824	K00336	[EC:1.6.5.3]	nuoG	NADH-quinone oxidoreductase subunit G	07R0R@bactNOG,0GAJF@delNOG,0I2MH@eproNOG,16UUQ@proNOG,COG1034@NOG	NADH dehydrogenase subunit g			SZUA-1327_146:c(1907..3208)	hypothetical protein	K00336	K00336		K00336	K05588
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00825	K11753	[EC:2.7.1.26][EC:2.7.7.2]	ribF	riboflavin kinase / FMN adenylyltransferase	05DTN@bactNOG,0GB9E@delNOG,0I3EI@eproNOG,16RDW@proNOG,COG0196@NOG	riboflavin kinase fmn adenylyltransferase			SZUA-1327_147:128..619	Riboflavin biosynthesis protein RibF	K11753	K11753		K11753	K11753
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00826					061E7@bactNOG,0GH6N@delNOG,0I4HJ@eproNOG,127CA@NOG,17K5E@proNOG				SZUA-1327_147:c(611..991)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00827									SZUA-1327_147:c(985..1191)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00828	K03501	[EC:2.1.1.170]	gidB, rsmG	16S rRNA (guanine527-N7)-methyltransferase	05D28@bactNOG,0GFKZ@delNOG,0I40B@eproNOG,16SA6@proNOG,COG0357@NOG	Specifically methylates the N7 position of guanine in position 527 of 16S rRNA (By similarity)			SZUA-1327_147:c(1200..1781)	Ribosomal RNA small subunit methyltransferase G	K03501	K03501		K03501	K03501
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00829					05FUD@bactNOG,0GF5E@delNOG,0I401@eproNOG,11RAZ@NOG,17E48@proNOG				SZUA-1327_147:c(1785..2252)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00830	K09117		K09117	uncharacterized protein	05KTH@bactNOG,0GERV@delNOG,0I3V4@eproNOG,17CHD@proNOG,COG1610@NOG	GatB Yqey family protein			SZUA-1327_147:c(2263..2709)	putative protein YqeY	K09117	K09117		K09117	K09117
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00831	K03553		recA	recombination protein RecA	05C68@bactNOG,0GB1U@delNOG,0I36J@eproNOG,16Q80@proNOG,COG0468@NOG	Can catalyze the hydrolysis of ATP in the presence of single-stranded DNA, the ATP-dependent uptake of single-stranded DNA by duplex DNA, and the ATP-dependent hybridization of homologous single-stranded DNAs. It interacts with LexA causing its activation and leading to its autocatalytic cleavage (By similarity)			SZUA-1327_147:2782..3807	Protein RecA	K03553	K03553	K03553	K03553	K04484
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00832	K01689	[EC:4.2.1.11]	ENO, eno	enolase	05C70@bactNOG,0GB3H@delNOG,0I2SE@eproNOG,16PJE@proNOG,COG0148@NOG	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)			SZUA-1327_147:3808..5076	Enolase	K01689	K01689	K01689	K01689	K01689
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00833									SZUA-1327_147:5080..5388	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00834					05ZFS@bactNOG,0GGUD@delNOG,0I4G2@eproNOG,123V4@NOG,17KEI@proNOG	periplasmic protein			SZUA-1327_147:5372..6235	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00835	K00891	[EC:2.7.1.71]	E2.7.1.71, aroK, aroL	shikimate kinase	05KHV@bactNOG,0GESI@delNOG,0I45Q@eproNOG,16W1R@proNOG,COG0703@NOG	Catalyzes the specific phosphorylation of the 3-hydroxyl group of shikimic acid using ATP as a cosubstrate (By similarity)			SZUA-1327_147:6216..6743	Shikimate kinase	K00891	K00891		K00891	K15546
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00836	K07091		lptF	lipopolysaccharide export system permease protein	08UGZ@bactNOG,0GCMT@delNOG,0I2ZK@eproNOG,1776Y@proNOG,COG0795@NOG	Permease, YjgP YjgQ			SZUA-1327_147:6764..7789	hypothetical protein	K07091	K07091		K07091	K11720
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00837	K01874	[EC:6.1.1.10]	MARS, metG	methionyl-tRNA synthetase	05CKH@bactNOG,0GBGA@delNOG,0I2MU@eproNOG,16PBZ@proNOG,COG0073@NOG,COG0143@NOG	Is required not only for elongation of protein synthesis but also for the initiation of all mRNA translation through initiator tRNA(fMet) aminoacylation (By similarity)			SZUA-1327_148:c(2320..4221)	Methionine--tRNA ligase	K01874	K01874	K01874	K01874	K01874
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00838	K01653	[EC:2.2.1.6]	E2.2.1.6S, ilvH, ilvN	acetolactate synthase I/III small subunit	08ZP8@bactNOG,0GDVX@delNOG,0I3R0@eproNOG,16R0H@proNOG,COG0440@NOG	acetolactate synthase small subunit			SZUA-1327_148:c(4360..4833)	Acetolactate synthase isozyme 3 small subunit	K01653	K01653		K01653	K01653
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00839	K01652	[EC:2.2.1.6]	E2.2.1.6L, ilvB, ilvG, ilvI	acetolactate synthase I/II/III large subunit	05C7K@bactNOG,0GAYY@delNOG,0I2X5@eproNOG,16PKP@proNOG,COG0028@NOG	Acetolactate synthase			SZUA-1327_148:c(4844..5458)	Acetolactate synthase isozyme 3 large subunit	K01652	K01652		K01652	K21428
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00840	K01733	[EC:4.2.3.1]	thrC	threonine synthase	07QID@bactNOG,0GBBM@delNOG,0I2PD@eproNOG,16UV6@proNOG,COG0498@NOG	Threonine synthase			SZUA-1327_149:c(513..1973)	Threonine synthase	K01733	K01733	K01733	K01733	K15527
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00841	K00606	[EC:2.1.2.11]	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase	05CCG@bactNOG,0GB8X@delNOG,0I38M@eproNOG,16PFT@proNOG,COG0413@NOG	Catalyzes the reversible reaction in which hydroxymethyl group from 5,10-methylenetetrahydrofolate is tranferred onto alpha-ketoisovalerate to form ketopantoate (By similarity)			SZUA-1327_149:c(1986..2777)	3-methyl-2-oxobutanoate hydroxymethyltransferase	K00606	K00606		K00606	K00606
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00842	K02392		flgG	flagellar basal-body rod protein FlgG	05CGA@bactNOG,0GARZ@delNOG,0I31W@eproNOG,16PWT@proNOG,COG4786@NOG	flagellar basal-body rod protein			SZUA-1327_149:c(2789..3577)	Flagellar basal-body rod protein FlgG	K02392	K02392	K02392	K02392	
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00843	K08309	[EC:4.2.2.-]	slt	soluble lytic murein transglycosylase	07S2U@bactNOG,0GF6A@delNOG,0I2YS@eproNOG,16V0U@proNOG,COG0741@NOG	Lytic Murein transglycosylase			SZUA-1327_149:c(3611..5260)	Soluble lytic murein transglycosylase	K08309	K08309		K08309	K08309
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00844	K20469		K20469	putative heme transporter	05F4G@bactNOG,0GB5M@delNOG,0I3GA@eproNOG,16QUY@proNOG,COG0628@NOG	acid membrane antigen A			SZUA-1327_149:c(5288..6337)	Putative transport protein	K20469				K20469
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00845	K02004		ABC.CD.P	putative ABC transport system permease protein	05D60@bactNOG,0GB3W@delNOG,0I312@eproNOG,16QH9@proNOG,COG4591@NOG	lipoprotein release system transmembrane protein			SZUA-1327_149:c(6352..7557)	Lipoprotein-releasing system transmembrane protein LolC	K02004	K02004	K02004	K02004	K09808
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00846					05SZ8@bactNOG,0GH9I@delNOG,0I4AA@eproNOG,11ZGC@NOG,17PVG@proNOG	FixH			SZUA-1327_149:c(7550..8107)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00847					065UY@bactNOG,0GFNI@delNOG,0I4BI@eproNOG,126ZX@NOG,17N9S@proNOG				SZUA-1327_149:c(8100..8699)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00848	K06882		K06882	uncharacterized protein	07Y58@bactNOG,0GC7Q@delNOG,0I2IQ@eproNOG,16ZJQ@proNOG,COG3401@NOG	fibronectin, type III			SZUA-1327_149:c(8712..9959)	Exoglucanase B	K06882			K06882	K06882
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00849	K06180	[EC:5.4.99.23]	rluD	23S rRNA pseudouridine1911/1915/1917 synthase	05C34@bactNOG,0GBA7@delNOG,0I2TZ@eproNOG,16PJZ@proNOG,COG0564@NOG	Pseudouridine synthase			SZUA-1327_149:c(9904..10887)	putative RNA pseudouridine synthase	K06180	K06180		K06180	K15454
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00850	K03474	[EC:2.6.99.2]	pdxJ	pyridoxine 5-phosphate synthase	05CSZ@bactNOG,0GBAI@delNOG,0I2P6@eproNOG,16QC3@proNOG,COG0854@NOG	Catalyzes the complicated ring closure reaction between the two acyclic compounds 1-deoxy-D-xylulose-5-phosphate (DXP) and 3-amino-2-oxopropyl phosphate (1-amino-acetone-3-phosphate or AAP) to form pyridoxine 5'-phosphate (PNP) and inorganic phosphate (By similarity)			SZUA-1327_149:c(10884..11669)	Pyridoxine 5'-phosphate synthase	K03474	K03474		K03474	K03474
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00851					05P3W@bactNOG,0GFKT@delNOG,0I472@eproNOG,11VGQ@NOG,17FUF@proNOG				SZUA-1327_149:c(11669..12007)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00852	K01255	[EC:3.4.11.1]	CARP, pepA	leucyl aminopeptidase	05BZ6@bactNOG,0GASB@delNOG,0I2FU@eproNOG,16QGR@proNOG,COG0260@NOG	Presumably involved in the processing and regular turnover of intracellular proteins. Catalyzes the removal of unsubstituted N-terminal amino acids from various peptides (By similarity)			SZUA-1327_149:c(12009..13334)	Cytosol aminopeptidase	K01255	K01255		K01255	K07751
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00853	K02452		gspC	general secretion pathway protein C	05RMD@bactNOG,0GRX0@delNOG,0I49Y@eproNOG,17QQP@proNOG,COG3031@NOG	PDZ			SZUA-1327_150:c(1673..2551)	Type II secretion system protein C	K02452			K02452	K02452
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00854					06HII@bactNOG,0GIQJ@delNOG,0I4RC@eproNOG,0Y4DB@NOG,17W0K@proNOG				SZUA-1327_150:c(2520..2990)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00855	K22468	[EC:2.7.4.1]	ppk2	polyphosphate kinase	05CSR@bactNOG,0GAXY@delNOG,0I314@eproNOG,16Q8X@proNOG,COG2326@NOG	Polyphosphate kinase 2			SZUA-1327_151:c(521..1420)	Polyphosphate:GDP phosphotransferase	K22468	K22468		K00937	
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00856	K06180	[EC:5.4.99.23]	rluD	23S rRNA pseudouridine1911/1915/1917 synthase	05EI2@bactNOG,0GDB4@delNOG,0I3JE@eproNOG,16PU1@proNOG,COG0564@NOG	Pseudouridine synthase			SZUA-1327_151:c(1458..2198)	putative RNA pseudouridine synthase	K06180	K06180		K06177	K15454
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00857	K00003	[EC:1.1.1.3]	E1.1.1.3	homoserine dehydrogenase	05D6E@bactNOG,0GAPN@delNOG,0I2MJ@eproNOG,16Q19@proNOG,COG0460@NOG	homoserine dehydrogenase			SZUA-1327_151:c(2195..3463)	Homoserine dehydrogenase	K00003	K00003		K00003	K12525
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00858	K01338	[EC:3.4.21.53]	lon	ATP-dependent Lon protease	05C6P@bactNOG,0GASH@delNOG,0I2J1@eproNOG,16PRM@proNOG,COG0466@NOG	ATP-dependent serine protease that mediates the selective degradation of mutant and abnormal proteins as well as certain short-lived regulatory proteins. Required for cellular homeostasis and for survival from DNA damage and developmental changes induced by stress. Degrades polypeptides processively to yield small peptide fragments that are 5 to 10 amino acids long. Binds to DNA in a double-stranded, site-specific manner (By similarity)			SZUA-1327_151:3566..5941	Lon protease	K01338	K01338		K01338	K01338
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00859	K07056	[EC:2.1.1.198]	rsmI	16S rRNA (cytidine1402-2'-O)-methyltransferase	05CU0@bactNOG,0GDA4@delNOG,0I3DU@eproNOG,16PCW@proNOG,COG0313@NOG	Catalyzes the 2'-O-methylation of the ribose of cytidine 1402 (C1402) in 16S rRNA (By similarity)			SZUA-1327_151:c(5927..6739)	Ribosomal RNA small subunit methyltransferase I	K07056	K07056		K07056	K07056
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00860	K02909		RP-L31, rpmE	large subunit ribosomal protein L31	082DI@bactNOG,0GGQ4@delNOG,0I4BW@eproNOG,16WRU@proNOG,COG0254@NOG	Binds the 23S rRNA (By similarity)			SZUA-1327_151:c(6740..6940)	50S ribosomal protein L31	K02909	K02909	K02909	K02909	K02909
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00861	K00858	[EC:2.7.1.23]	ppnK, NADK	NAD+ kinase	05F91@bactNOG,0GC5K@delNOG,0I35A@eproNOG,16QK8@proNOG,COG0061@NOG	Catalyzes the phosphorylation of NAD to NADP. Utilizes ATP and other nucleoside triphosphates as well as inorganic polyphosphate as a source of phosphorus (By similarity)			SZUA-1327_152:76..348	NAD kinase	K00858	K00858		K00858	K19386
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00862	K03631		recN	DNA repair protein RecN (Recombination protein N)	05C4F@bactNOG,0GBTK@delNOG,0I2YE@eproNOG,16PSH@proNOG,COG0497@NOG	May be involved in recombinational repair of damaged DNA (By similarity)			SZUA-1327_152:341..1900	DNA repair protein RecN	K03631	K03631		K03631	K03631
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00863	K07812	[EC:1.7.2.3]	torZ	trimethylamine-N-oxide reductase (cytochrome c)	07QY8@bactNOG,0GBGD@delNOG,0I34B@eproNOG,16UI9@proNOG,COG0243@NOG	Molybdop_Fe4S4			SZUA-1327_152:c(1932..5267)	putative dimethyl sulfoxide reductase chain YnfF	K07812			K07812	K21307
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00864					07W60@bactNOG,0GCXX@delNOG,0I3AF@eproNOG,0ZFY0@NOG,1754C@proNOG	Polysulfide reductase, NrfD			SZUA-1327_152:c(5281..6180)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00865	K08358		ttrB	tetrathionate reductase subunit B	05QA4@bactNOG,0GEKM@delNOG,0I392@eproNOG,16QRY@proNOG,COG0437@NOG	iron-sulfur			SZUA-1327_152:c(6182..6814)	Tetrathionate reductase subunit B	K08358			K08358	K21308
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00866	K03186	[EC:2.5.1.129]	ubiX, bsdB, PAD1	flavin prenyltransferase	08UMA@bactNOG,0GERK@delNOG,0I3NP@eproNOG,16PFE@proNOG,COG0163@NOG	3-octaprenyl-4-hydroxybenzoate carboxy-lyase			SZUA-1327_152:6992..7522	putative UbiX-like flavin prenyltransferase	K03186	K03186		K03186	K12468
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00867					07V0X@bactNOG,0GC42@delNOG,0I3A9@eproNOG,16VFQ@proNOG,COG1565@NOG	Pfam:DUF185			SZUA-1327_152:7512..8501	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00868	K02563	[EC:2.4.1.227]	murG	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	05DVQ@bactNOG,0GBIA@delNOG,0I2Q3@eproNOG,16PE6@proNOG,COG0707@NOG	Cell wall formation. Catalyzes the transfer of a GlcNAc subunit on undecaprenyl-pyrophosphoryl-MurNAc-pentapeptide (lipid intermediate I) to form undecaprenyl-pyrophosphoryl-MurNAc- (pentapeptide)GlcNAc (lipid intermediate II) (By similarity)			SZUA-1327_152:c(8473..9495)	UDP-N-acetylglucosamine--N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	K02563	K02563		K02563	K03429
