#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00001					05PN5@bactNOG,0FMVY@cyaNOG,11YV8@NOG	Aldolase_II			SZUA-1433_1:82..522	Methylthioribulose-1-phosphate dehydratase					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01453	K07533	[EC:5.2.1.8]	prsA	foldase protein PrsA	05MM2@bactNOG,0GFXF@delNOG,0I453@eproNOG,17GJ6@proNOG,COG0760@NOG	Periplasmic protein			SZUA-1433_258:c(662..1495)	Chaperone SurA	K07533				K07533
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01454	K01885	[EC:6.1.1.17]	EARS, gltX	glutamyl-tRNA synthetase	05C20@bactNOG,0GAVG@delNOG,0I2HX@eproNOG,16PDR@proNOG,COG0008@NOG	Catalyzes the attachment of glutamate to tRNA(Glu) in a two-step reaction glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu) (By similarity)			SZUA-1433_258:1567..2961	Glutamate--tRNA ligase 1	K01885	K01885		K01885	K09698
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01455	K00029	[EC:1.1.1.40]	E1.1.1.40, maeB	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)	05C6K@bactNOG,0GAPJ@delNOG,0I31R@eproNOG,16PJH@proNOG,COG0281@NOG	Malic enzyme			SZUA-1433_258:2954..4234	NADP-dependent malic enzyme	K00029	K00029		K00027	K00029
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01456									SZUA-1433_259:698..1099	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01457	K00376	[EC:1.7.2.4]	nosZ	nitrous-oxide reductase	05EQJ@bactNOG,0GAZ2@delNOG,0I2W1@eproNOG,16SEH@proNOG,COG4263@NOG	reductase			SZUA-1433_260:c(413..2302)	Nitrous-oxide reductase	K00376	K00376		K00376	K00376
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01458	K00376	[EC:1.7.2.4]	nosZ	nitrous-oxide reductase	05EQJ@bactNOG,0GAZ2@delNOG,0I2W1@eproNOG,16SEH@proNOG,COG4263@NOG	reductase			SZUA-1433_260:c(2377..2847)	Nitrous-oxide reductase	K00376	K00376		K00376	K00376
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01459	K07126		K07126	uncharacterized protein	05EUU@bactNOG,0GEPK@delNOG,0I4IZ@eproNOG,16RFM@proNOG,COG0790@NOG	Sel1 repeat			SZUA-1433_261:26..286	Secretory immunoglobulin A-binding protein EsiB	K07126			K07126	K21217
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01460					062P5@bactNOG,0GG4E@delNOG,0I4DD@eproNOG,12CII@NOG,17QG8@proNOG				SZUA-1433_261:c(290..1045)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01461	K02417		fliNY, fliN	flagellar motor switch protein FliN/FliY	08ZEI@bactNOG,0GFPA@delNOG,0I40S@eproNOG,17H0E@proNOG,COG1886@NOG	flagellar motor switch protein			SZUA-1433_261:c(1042..1341)	Flagellar motor switch protein FliN	K02417	K02417		K02417	K03225
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01462	K07090		K07090	uncharacterized protein	07ZDD@bactNOG,0GEMH@delNOG,0I3YD@eproNOG,16W9H@proNOG,COG0730@NOG	integral membrane protein			SZUA-1433_261:1404..2135	hypothetical protein	K07090	K07090		K07090	K07090
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01463									SZUA-1433_262:c(86..487)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01464					08A1Z@bactNOG,0GP6H@delNOG,0I5QS@eproNOG,0ZMN1@NOG,16Z0F@proNOG	Baseplate assembly protein			SZUA-1433_262:c(489..1037)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01465									SZUA-1433_262:c(1018..1260)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01466	K06903		K06903	uncharacterized protein	05WAE@bactNOG,17JRB@proNOG,COG3628@NOG	Baseplate Assembly protein			SZUA-1433_262:1362..1652	hypothetical protein	K06903	K06903		K06903	K06903
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01467					08RTJ@bactNOG,0R0NX@gproNOG,11FNX@NOG,178C0@proNOG	Inherit from proNOG: Sugar transferase			SZUA-1433_264:106..648	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01468					05HCR@bactNOG,11R74@NOG				SZUA-1433_264:645..1433	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01469					05XBF@bactNOG,0QXH9@gproNOG,124PY@NOG,17NB3@proNOG	Methyltransferase domain			SZUA-1433_264:1426..2154	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01470	K02456		gspG	general secretion pathway protein G	05YQQ@bactNOG,0GH9Y@delNOG,0I4E9@eproNOG,126UD@NOG,17N7A@proNOG				SZUA-1433_265:53..460	hypothetical protein	K02456			K02456	
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01471					08RFF@bactNOG,0GER9@delNOG,17BYX@proNOG,COG4636@NOG	Pfam:DUF820			SZUA-1433_265:620..1168	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01472									SZUA-1433_265:1210..1428	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01473					06EBS@bactNOG,0GQWP@delNOG,0I5YH@eproNOG,0XXTC@NOG,17SHJ@proNOG	Plasmid stabilisation system protein			SZUA-1433_265:1428..1700	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01474	K03413		cheY	two-component system, chemotaxis family, chemotaxis protein CheY	05GX0@bactNOG,11WXY@NOG	response regulator			SZUA-1433_266:231..1418	Chemotaxis protein CheY	K03413			K03413	
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01475									SZUA-1433_266:1483..1941	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01476									SZUA-1433_266:1951..2742	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01477									SZUA-1433_267:16..393	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01478	K02415		fliL	flagellar FliL protein	082CU@bactNOG,0GFUU@delNOG,17M0P@proNOG,COG1580@NOG	flagellar basal body-associated protein flil			SZUA-1433_267:810..1352	hypothetical protein	K02415	K02415		K02415	K02415
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01479	K00997	[EC:2.7.8.7]	acpS	holo-[acyl-carrier protein] synthase	0829W@bactNOG,0GFXD@delNOG,0I43M@eproNOG,16WP2@proNOG,COG0736@NOG	Transfers the 4'-phosphopantetheine moiety from coenzyme A to a Ser of acyl-carrier-protein (By similarity)			SZUA-1433_267:1349..1726	Holo-[acyl-carrier-protein] synthase	K00997	K00997		K00997	K00997
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01480									SZUA-1433_267:1914..2066	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01481	K03076		secY	preprotein translocase subunit SecY					SZUA-1433_267:2213..2413	hypothetical protein	K03076	K03076			
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01482	K03406		mcp	methyl-accepting chemotaxis protein	07YNM@bactNOG,0GM5F@delNOG,0I55G@eproNOG,16VZF@proNOG,COG0840@NOG	MA			SZUA-1433_267:c(2439..3518)	Methyl-accepting chemotaxis protein PctA	K03406			K03406	K19691
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01483					08T63@bactNOG,09EMT@bctoNOG,0P9AV@flaNOG,11FFP@NOG	Protein of unknown function (DUF2459)			SZUA-1433_267:3586..4233	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01484	K09943		K09943	uncharacterized protein	05TDU@bactNOG,0GGNH@delNOG,0I44J@eproNOG,11VER@NOG,17ICA@proNOG				SZUA-1433_267:4325..4663	hypothetical protein	K09943			K09943	
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01485	K01874	[EC:6.1.1.10]	MARS, metG	methionyl-tRNA synthetase	05CKH@bactNOG,0GBGA@delNOG,0I2MU@eproNOG,16PBZ@proNOG,COG0073@NOG,COG0143@NOG	Is required not only for elongation of protein synthesis but also for the initiation of all mRNA translation through initiator tRNA(fMet) aminoacylation (By similarity)			SZUA-1433_267:4754..6676	Methionine--tRNA ligase	K01874	K01874	K01874	K01874	K01874
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01486	K01772	[EC:4.99.1.1][EC:4.99.1.9]	hemH, FECH	protoporphyrin/coproporphyrin ferrochelatase	05FH8@bactNOG,0GEPQ@delNOG,0I3XR@eproNOG,0ZJ0G@NOG,1759Q@proNOG				SZUA-1433_267:6673..7617	hypothetical protein	K01772			K01772	
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01487					05CH5@bactNOG,0GASQ@delNOG,0I30N@eproNOG,16PXK@proNOG,COG4663@NOG	trap-type mannitol chloroaromatic compound transport system, periplasmic component			SZUA-1433_267:7629..8726	Monocarboxylate 2-oxoacid-binding periplasmic protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01488	K13996	[EC:5.3.4.1]	EPS1	protein disulfide-isomerase	05N2G@bactNOG,0GRVS@delNOG,0I60R@eproNOG,17G6C@proNOG,COG0526@NOG	Thioredoxin			SZUA-1433_267:8723..9220	Thiol-disulfide oxidoreductase ResA	K13996				K13996
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01489									SZUA-1433_267:c(9221..9412)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01490	K03654	[EC:3.6.4.12]	recQ	ATP-dependent DNA helicase RecQ	05C9U@bactNOG,0GAK9@delNOG,0I2SQ@eproNOG,16PKD@proNOG,COG0514@NOG	ATP-dependent DNA helicase RecQ			SZUA-1433_268:248..2035	ATP-dependent DNA helicase RecQ	K03654	K03654		K03169	K03654
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01491									SZUA-1433_268:2057..2467	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01492									SZUA-1433_269:c(185..337)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01493	K15256	[EC:2.1.1.-]	cmoA	tRNA (cmo5U34)-methyltransferase	05DA6@bactNOG,0R1F3@gproNOG,16QCZ@proNOG,COG0500@NOG	Methyltransferase domain			SZUA-1433_269:472..1179	Carboxy-S-adenosyl-L-methionine synthase	K15256	K15256		K15256	K21377
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01494									SZUA-1433_269:c(1172..1444)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01495									SZUA-1433_270:31..303	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01496	K01673	[EC:4.2.1.1]	cynT, can	carbonic anhydrase	07B2H@bactNOG,0GC78@delNOG,0I3CU@eproNOG,16ZXF@proNOG,COG0288@NOG	carbonic anhydrase			SZUA-1433_270:396..1061	Carbonic anhydrase	K01673	K01673	K01673	K01673	K20499
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01497	K01778	[EC:5.1.1.7]	dapF	diaminopimelate epimerase	05E4Z@bactNOG,0GBJ8@delNOG,0I2ZD@eproNOG,16PRB@proNOG,COG0253@NOG	Catalyzes the stereoinversion of LL-2,6- diaminoheptanedioate (L,L-DAP) to meso-diaminoheptanedioate (meso- DAP), a precursor of L-lysine and an essential component of the bacterial peptidoglycan (By similarity)			SZUA-1433_270:1169..1918	Diaminopimelate epimerase	K01778	K01778	K01778	K01778	K19724
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01498	K03327		TC.MATE, SLC47A, norM, mdtK, dinF	multidrug resistance protein, MATE family	07R73@bactNOG,0GCA9@delNOG,0I40V@eproNOG,16QGZ@proNOG,COG0534@NOG	MatE			SZUA-1433_270:1911..3200	DNA damage-inducible protein F	K03327	K03327		K03327	K18908
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01499					07BCY@bactNOG,0Z89R@NOG,1892E@proNOG				SZUA-1433_270:c(3197..3673)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01500	K00170	[EC:1.2.7.1]	porB	pyruvate ferredoxin oxidoreductase beta subunit	05DDK@bactNOG,0GAKH@delNOG,0I2I0@eproNOG,16PCN@proNOG,COG1013@NOG	oxidoreductase, beta subunit			SZUA-1433_271:c(653..1609)	Pyruvate synthase subunit PorB	K00170	K00170		K00170	K19071
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01501	K00169	[EC:1.2.7.1]	porA	pyruvate ferredoxin oxidoreductase alpha subunit	05D95@bactNOG,0GBKX@delNOG,0I2WJ@eproNOG,16QSU@proNOG,COG0674@NOG	Oxidoreductase required for the transfer of electrons from pyruvate to flavodoxin (By similarity)			SZUA-1433_271:c(1625..2848)	Pyruvate synthase subunit PorA	K00169	K00169	K00169	K00169	K19070
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01502	K00171	[EC:1.2.7.1]	porD	pyruvate ferredoxin oxidoreductase delta subunit	05WGB@bactNOG,0GEN4@delNOG,0I3WJ@eproNOG,17C8B@proNOG,COG1144@NOG	flavodoxin oxidoreductase subunit delta			SZUA-1433_271:c(2851..3303)	Pyruvate synthase subunit PorD	K00171	K00171		K00171	K19072
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01503	K00172	[EC:1.2.7.1]	porG	pyruvate ferredoxin oxidoreductase gamma subunit	05EJ5@bactNOG,0GBWE@delNOG,0I2JH@eproNOG,16SFM@proNOG,COG1014@NOG	pyruvate ferredoxin oxidoreductase gamma subunit			SZUA-1433_271:c(3300..3866)	Pyruvate synthase subunit PorC	K00172	K00172		K00172	K04090
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01504	K01091	[EC:3.1.3.18]	gph	phosphoglycolate phosphatase	07ZMC@bactNOG,0GDVD@delNOG,0I3MU@eproNOG,16W42@proNOG,COG0546@NOG	HAD-superfamily hydrolase, subfamily IA			SZUA-1433_271:c(3942..4592)	5'-nucleotidase	K01091	K01091		K01091	K11777
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01505	K02035		ABC.PE.S	peptide/nickel transport system substrate-binding protein	05DEF@bactNOG,0GAZE@delNOG,0I2WC@eproNOG,16QR5@proNOG,COG0747@NOG	Abc transporter			SZUA-1433_271:c(4589..6088)	Oligopeptide-binding protein AppA	K02035	K02035		K02035	K19226
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01506					05ZX9@bactNOG,0GHWP@delNOG,0I4HQ@eproNOG,128J1@NOG,17NYE@proNOG				SZUA-1433_271:6146..6718	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01507	K21603		ftcR	two-component system, OmpR family, flagellar system response regulator FtcR	05GYV@bactNOG,0GDJI@delNOG,0I3YB@eproNOG,17F39@proNOG,COG0745@NOG	response regulator			SZUA-1433_271:6890..7222	hypothetical protein	K21603				K21603
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01508	K00404	[EC:1.9.3.1]	ccoN	cytochrome c oxidase cbb3-type subunit I	05EUH@bactNOG,0GAS8@delNOG,0I2SA@eproNOG,16PI4@proNOG,COG3278@NOG	cytochrome C oxidase, cbb3-type, subunit i			SZUA-1433_271:7332..8798	Cbb3-type cytochrome c oxidase subunit CcoN1	K00404	K00404		K00404	K15862
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01509	K00405		ccoO	cytochrome c oxidase cbb3-type subunit II	05DUJ@bactNOG,0GB28@delNOG,0I2N4@eproNOG,16RP5@proNOG,COG2993@NOG	cytochrome C oxidase subunit II			SZUA-1433_271:8811..9476	hypothetical protein	K00405	K00405	K00405	K00405	K15862
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01510	K00407		ccoQ	cytochrome c oxidase cbb3-type subunit IV	06BAR@bactNOG,0GIG0@delNOG,0I4MC@eproNOG,17SWT@proNOG,COG4736@NOG	cytochrome c oxidase			SZUA-1433_271:9489..9731	hypothetical protein	K00407			K00407	
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01511	K00406		ccoP	cytochrome c oxidase cbb3-type subunit III	07UIK@bactNOG,0GCRG@delNOG,0I338@eproNOG,16VHW@proNOG,COG2010@NOG	C-type cytochrome. Part of the cbb3-type cytochrome c oxidase complex (By similarity)			SZUA-1433_271:9724..10554	Cbb3-type cytochrome c oxidase subunit CcoP	K00406	K00406		K00406	K20936
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01512					08F8V@bactNOG,0GIF1@delNOG,10PBI@NOG,171ZY@proNOG				SZUA-1433_271:10564..10776	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01513									SZUA-1433_272:121..564	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01514	K01682	[EC:4.2.1.3][EC:4.2.1.99]	acnB	aconitate hydratase 2 / 2-methylisocitrate dehydratase	07QIJ@bactNOG,0GCBV@delNOG,0I38B@eproNOG,16PK3@proNOG,COG1049@NOG	Aconitate hydratase 2			SZUA-1433_273:1..453	Aconitate hydratase B	K01682	K01682		K01682	K01682
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01515	K07082		K07082	UPF0755 protein	05HHA@bactNOG,0GBPK@delNOG,0I2S8@eproNOG,16RUV@proNOG,COG1559@NOG	Aminodeoxychorismate lyase			SZUA-1433_273:495..1454	Endolytic murein transglycosylase	K07082	K07082		K07082	K07082
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01516	K02031		ABC.PE.A	peptide/nickel transport system ATP-binding protein	08JQ6@bactNOG,0GT4R@delNOG,0I6CB@eproNOG,173F0@proNOG,COG1123@NOG	abc transporter atp-binding protein			SZUA-1433_274:27..722	Oligopeptide transport ATP-binding protein OppD	K02031			K02031	K13892
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01517					021GI@aproNOG,05JR3@bactNOG,11PHY@NOG,1791F@proNOG	Rhodanese domain protein			SZUA-1433_275:497..1144	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01518					08X9Q@bactNOG,11KZ6@NOG,17AIQ@proNOG				SZUA-1433_275:1155..2834	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01519					05JR3@bactNOG,0QQUM@gproNOG,11PHY@NOG,1791F@proNOG	rhodanese-like protein			SZUA-1433_275:2847..3497	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01520					09066@bactNOG,0BDAS@bproNOG,17CGD@proNOG,COG1652@NOG	lysm domain bon superfamily protein			SZUA-1433_275:3507..4334	putative protein YgaU					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01521	K06881	[EC:3.1.3.7][EC:3.1.13.3]	nrnA	bifunctional oligoribonuclease and PAP phosphatase NrnA	05DV2@bactNOG,0GBPB@delNOG,0I53E@eproNOG,16PSD@proNOG,COG0618@NOG	Inherit from proNOG: Exopolyphosphatase-related protein			SZUA-1433_275:4349..5290	hypothetical protein	K06881				K06881
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01522									SZUA-1433_275:5314..5505	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01523					05FCN@bactNOG,0GB3A@delNOG,0I3BK@eproNOG,17B8B@proNOG,COG1721@NOG	Protein of unknown function DUF58			SZUA-1433_276:c(992..1669)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01524					06WZZ@bactNOG,0GHXJ@delNOG,0I4IP@eproNOG,0YS2A@NOG,1826Q@proNOG				SZUA-1433_276:c(1777..2886)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01525	K07114		yfbK	Ca-activated chloride channel homolog	05EK8@bactNOG,0GF41@delNOG,0I3AU@eproNOG,16QE2@proNOG,COG2304@NOG	von Willebrand factor, type A			SZUA-1433_276:c(2867..4327)	hypothetical protein	K07114	K07114		K07114	K07114
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01526	K07114		yfbK	Ca-activated chloride channel homolog	05KDI@bactNOG,0GET6@delNOG,0I3EY@eproNOG,16SWG@proNOG,COG2304@NOG	von Willebrand factor, type A			SZUA-1433_276:c(4324..5229)	hypothetical protein	K07114	K07114		K07114	K07114
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01527									SZUA-1433_276:c(5277..6689)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01528	K15270		sam	S-adenosylmethionine uptake transporter	08JHT@bactNOG,COG0697@NOG	EamA-like transporter family			SZUA-1433_276:6847..7737	Riboflavin transporter	K15270			K15270	K15280
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01529									SZUA-1433_276:c(7727..7951)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01530									SZUA-1433_276:c(7990..8124)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01531					08KRR@bactNOG,0GCIZ@delNOG,0HDX6@dproNOG,1767X@proNOG,COG4880@NOG	Beta propeller domain			SZUA-1433_276:c(8134..8757)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01532					05GVB@bactNOG,0EQNG@cloNOG,0NFTN@firmNOG,0YVZX@NOG	Inherit from firmNOG: Replication protein			SZUA-1433_277:c(1227..2063)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01533					11V46@NOG	N-terminal phage replisome organiser (Phage_rep_org_N)			SZUA-1433_277:c(2056..2697)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01534	K01448	[EC:3.5.1.28]	amiABC	N-acetylmuramoyl-L-alanine amidase	05C5C@bactNOG,0GB6D@delNOG,0I2W2@eproNOG,16PWY@proNOG,COG0860@NOG	N-acetylmuramoyl-L-alanine amidase			SZUA-1433_278:67..312	N-acetylmuramoyl-L-alanine amidase AmiB	K01448	K01448		K01448	K01448
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01535	K07493		K07493	putative transposase	05D5G@bactNOG,0GC9D@delNOG,0HDT6@dproNOG,16Q1H@proNOG,COG3328@NOG	Transposase mutator type			SZUA-1433_278:407..1624	hypothetical protein	K07493		K07493	K07493	K07493
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01536	K08884	[EC:2.7.11.1]	K08884	serine/threonine protein kinase, bacterial	07SGC@bactNOG,0GCIH@delNOG,0I2UZ@eproNOG,16S8Y@proNOG,COG0515@NOG,COG0631@NOG	PP2Cc			SZUA-1433_279:230..1858	Serine/threonine-protein kinase PrkC	K08884			K08884	K20074
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01537	K01835	[EC:5.4.2.2]	pgm	phosphoglucomutase	07QIX@bactNOG,0GAY3@delNOG,0HC9F@dproNOG,16PDI@proNOG,COG0033@NOG	phosphoglucomutase, alpha-D-glucose phosphate-specific			SZUA-1433_279:c(1977..2798)	Phosphoglucomutase	K01835	K01835		K01835	K01835
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01538	K01875	[EC:6.1.1.11]	SARS, serS	seryl-tRNA synthetase	05CGR@bactNOG,0GAVD@delNOG,0I2IG@eproNOG,16PX9@proNOG,COG0172@NOG	Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec) (By similarity)			SZUA-1433_280:41..748	Serine--tRNA ligase	K01875	K01875		K01875	K01875
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01539	K20543		bcsC	cellulose synthase operon protein C	05K6Z@bactNOG,0GAM5@delNOG,0I2IY@eproNOG,16T9F@proNOG,COG0457@NOG	TPR domain protein			SZUA-1433_280:758..3031	hypothetical protein	K20543				K20543
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01540					07FKM@bactNOG,0GR3S@delNOG,0ZIAT@NOG,18A8T@proNOG	PIN domain			SZUA-1433_281:28..201	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01541	K03296		TC.HAE1	hydrophobic/amphiphilic exporter-1 (mainly G- bacteria), HAE1 family	05BZS@bactNOG,0EPCS@cloNOG,0NEMK@firmNOG,COG0841@NOG	acriflavin resistance protein			SZUA-1433_281:c(325..2409)	Swarming motility protein SwrC	K03296			K03296	K21134
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01542	K00688	[EC:2.4.1.1]	PYG, glgP	glycogen phosphorylase	07QQN@bactNOG,0GAMA@delNOG,0I2J2@eproNOG,16Q0B@proNOG,COG0058@NOG	alpha-glucan phosphorylase (EC 2.4.1.1)			SZUA-1433_282:185..2119	Glycogen phosphorylase	K00688	K00688		K00688	K00688
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01543	K01142	[EC:3.1.11.2]	E3.1.11.2, xthA	exodeoxyribonuclease III	05CGK@bactNOG,0GB1Y@delNOG,0I33G@eproNOG,16R0T@proNOG,COG0708@NOG	exodeoxyribonuclease III			SZUA-1433_282:c(2256..3029)	Exodeoxyribonuclease	K01142	K01142		K01142	K01142
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01544									SZUA-1433_282:c(3075..4268)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01545					068FA@bactNOG,0GJ0G@delNOG,0I4TZ@eproNOG,0XW3V@NOG,17RXI@proNOG				SZUA-1433_282:4443..4763	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01546	K19691	[EC:2.7.13.3]	NIK1, TCSC	osomolarity two-component system, sensor histidine kinase NIK1	06630@bactNOG,0GCFP@delNOG,173IE@proNOG,COG0840@NOG	methyl-accepting chemotaxis protein			SZUA-1433_283:13..426	hypothetical protein	K19691				K19691
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01547	K01007	[EC:2.7.9.2]	pps, ppsA	pyruvate, water dikinase	08HRN@bactNOG,0GSUF@delNOG,0I69F@eproNOG,172BX@proNOG,COG0574@NOG	Catalyzes the phosphorylation of pyruvate to phosphoenolpyruvate (By similarity)			SZUA-1433_283:c(464..631)	Phosphoenolpyruvate synthase	K01007	K01007		K01007	K21787
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01548	K01007	[EC:2.7.9.2]	pps, ppsA	pyruvate, water dikinase	08HRN@bactNOG,0GSUF@delNOG,0I69F@eproNOG,172BX@proNOG,COG0574@NOG	Catalyzes the phosphorylation of pyruvate to phosphoenolpyruvate (By similarity)			SZUA-1433_283:c(652..1242)	Phosphoenolpyruvate synthase	K01007	K01007		K01007	K21787
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01549					05NIE@bactNOG,0GEBD@delNOG,0I454@eproNOG,0XT3X@NOG,1793U@proNOG				SZUA-1433_283:1303..2109	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01550	K07576		K07576	metallo-beta-lactamase family protein	05CY0@bactNOG,0GB7D@delNOG,0I2Z3@eproNOG,16QEH@proNOG,COG1236@NOG	RNA-metabolising metallo-beta-lactamase			SZUA-1433_283:c(2122..2352)	Ribonuclease	K07576	K07576		K07576	K07577
