#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Candidatus_sp_SZUA-1058|SZUA-1058_00001	K05592	[EC:3.6.4.13]	deaD, cshA	ATP-dependent RNA helicase DeaD	05C1J@bactNOG,0QI2F@gproNOG,16PDE@proNOG,COG0513@NOG	ATP-dependent RNA helicase			SZUA-1058_1:54..1805	ATP-dependent RNA helicase DeaD	K05592	K05592	K05592	K05592	K18692
Candidatus_sp_SZUA-1058|SZUA-1058_00576	K02113		ATPF1D, atpH	F-type H+-transporting ATPase subunit delta	07S15@bactNOG,0QI4N@gproNOG,16RQM@proNOG,COG0712@NOG	F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation (By similarity)			SZUA-1058_206:c(1911..2459)	ATP synthase subunit delta	K02113	K02113		K02113	K02137
Candidatus_sp_SZUA-1058|SZUA-1058_00577	K02109		ATPF0B, atpF	F-type H+-transporting ATPase subunit b	07Z6K@bactNOG,0QQWD@gproNOG,17CGT@proNOG,COG0711@NOG	F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation (By similarity)			SZUA-1058_206:c(2469..2939)	ATP synthase subunit b	K02109	K02109		K02109	K02109
Candidatus_sp_SZUA-1058|SZUA-1058_00578	K02110		ATPF0C, atpE	F-type H+-transporting ATPase subunit c	05KY6@bactNOG,0QVKC@gproNOG,17FJD@proNOG,COG0636@NOG	F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation (By similarity)			SZUA-1058_206:c(2972..3214)	ATP synthase subunit c	K02110	K02110		K02110	K03661
Candidatus_sp_SZUA-1058|SZUA-1058_00579	K02108		ATPF0A, atpB	F-type H+-transporting ATPase subunit a	05EE4@bactNOG,0QIRI@gproNOG,16QNK@proNOG,COG0356@NOG	it plays a direct role in the translocation of protons across the membrane (By similarity)			SZUA-1058_206:c(3250..4074)	ATP synthase subunit a	K02108	K02108		K02108	K02126
Candidatus_sp_SZUA-1058|SZUA-1058_00580									SZUA-1058_206:c(4074..4415)	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00581	K03631		recN	DNA repair protein RecN (Recombination protein N)	05C4F@bactNOG,0QJ4C@gproNOG,16PSH@proNOG,COG0497@NOG	May be involved in recombinational repair of damaged DNA (By similarity)			SZUA-1058_206:c(4577..6238)	DNA repair protein RecN	K03631	K03631		K03631	K03631
Candidatus_sp_SZUA-1058|SZUA-1058_00582	K00858	[EC:2.7.1.23]	ppnK, NADK	NAD+ kinase	05F91@bactNOG,0QJK0@gproNOG,16QK8@proNOG,COG0061@NOG	Catalyzes the phosphorylation of NAD to NADP. Utilizes ATP and other nucleoside triphosphates as well as inorganic polyphosphate as a source of phosphorus (By similarity)			SZUA-1058_206:c(6251..6802)	NAD kinase	K00858	K00858		K00858	K19386
Candidatus_sp_SZUA-1058|SZUA-1058_00583	K03981	[EC:5.3.4.1]	dsbC	thiol:disulfide interchange protein DsbC	05T95@bactNOG,0QI5Y@gproNOG,16QT6@proNOG,COG1651@NOG	Thiol disulfide interchange protein (DsbC)			SZUA-1058_207:682..1401	Thiol:disulfide interchange protein DsbC	K03981	K03981		K03981	K03981
Candidatus_sp_SZUA-1058|SZUA-1058_00584	K03500	[EC:2.1.1.176]	rsmB, sun	16S rRNA (cytosine967-C5)-methyltransferase	05CYJ@bactNOG,0QJN4@gproNOG,16PJK@proNOG,COG0144@NOG	Specifically methylates the cytosine at position 967 (m5C967) of 16S rRNA (By similarity)			SZUA-1058_207:1391..2659	Ribosomal RNA small subunit methyltransferase B	K03500	K03500		K03500	K15334
Candidatus_sp_SZUA-1058|SZUA-1058_00585	K01338	[EC:3.4.21.53]	lon	ATP-dependent Lon protease	05C6P@bactNOG,0QI60@gproNOG,16PRM@proNOG,COG0466@NOG	ATP-dependent serine protease that mediates the selective degradation of mutant and abnormal proteins as well as certain short-lived regulatory proteins. Required for cellular homeostasis and for survival from DNA damage and developmental changes induced by stress. Degrades polypeptides processively to yield small peptide fragments that are 5 to 10 amino acids long. Binds to DNA in a double-stranded, site-specific manner			SZUA-1058_207:c(2671..5007)	Lon protease	K01338	K01338	K01338	K01338	K01338
Candidatus_sp_SZUA-1058|SZUA-1058_00586	K03665		hflX	GTPase	05C1N@bactNOG,0QI5T@gproNOG,16PKC@proNOG,COG2262@NOG	GTPase that associates with the 50S ribosomal subunit and may have a role during protein synthesis or ribosome biogenesis (By similarity)			SZUA-1058_207:c(4986..5975)	GTPase HflX	K03665	K03665		K03665	K03665
Candidatus_sp_SZUA-1058|SZUA-1058_00587	K07140		K07140	uncharacterized protein	05QVC@bactNOG,0QKT6@gproNOG,16TKC@proNOG,COG3217@NOG	MOSC domain-containing protein			SZUA-1058_208:144..449	putative protein YcbX	K07140	K07140		K07140	K07140
Candidatus_sp_SZUA-1058|SZUA-1058_00588	K02169	[EC:2.1.1.197]	bioC	malonyl-CoA O-methyltransferase	0626R@bactNOG,0QSED@gproNOG,16S8J@proNOG,COG0500@NOG	Converts the free carboxyl group of a malonyl-thioester to its methyl ester by transfer of a methyl group from S-adenosyl- L-methionine (SAM). It allows to synthesize pimeloyl-ACP via the fatty acid synthetic pathway (By similarity)			SZUA-1058_208:c(483..1268)	Malonyl-[acyl-carrier protein] O-methyltransferase	K02169	K02169		K01935	K21377
Candidatus_sp_SZUA-1058|SZUA-1058_00589	K09815		znuA	zinc transport system substrate-binding protein	08HN1@bactNOG,COG4531@NOG	Pfam:SBP_bac_9			SZUA-1058_208:c(1256..2164)	High-affinity zinc uptake system protein ZnuA	K09815	K09815		K09815	
Candidatus_sp_SZUA-1058|SZUA-1058_00590	K15257	[EC:2.1.1.-]	cmoB	tRNA (mo5U34)-methyltransferase	05PFA@bactNOG,0QIAC@gproNOG,16QCX@proNOG,COG0500@NOG	Catalyzes the conversion of 5-hydroxyuridine (ho5U) to 5-methoxyuridine (mo5U) at position 34 in tRNA (By similarity)			SZUA-1058_208:c(2220..2402)	tRNA U34 carboxymethyltransferase	K15257	K15257		K15257	K21377
Candidatus_sp_SZUA-1058|SZUA-1058_00591	K02001		proW	glycine betaine/proline transport system permease protein	02E0Y@aproNOG,08HQS@bactNOG,172B8@proNOG,COG4176@NOG	ABC transporter (Permease)			SZUA-1058_209:c(248..2413)	Glycine betaine/choline transport system permease protein OusW	K02001	K02001	K02001	K02001	K02001
Candidatus_sp_SZUA-1058|SZUA-1058_00592	K03688		ubiB, aarF	ubiquinone biosynthesis protein	05CNK@bactNOG,0QJ98@gproNOG,16PNI@proNOG,COG0661@NOG	Required, probably indirectly, for the hydroxylation of 2-octaprenylphenol to 2-octaprenyl-6-hydroxy-phenol, the fourth step in ubiquinone biosynthesis (By similarity)			SZUA-1058_210:142..1509	putative protein kinase UbiB	K03688	K03688		K03688	K03688
Candidatus_sp_SZUA-1058|SZUA-1058_00593	K02897		RP-L25, rplY	large subunit ribosomal protein L25	05KW6@bactNOG,0QUDG@gproNOG,17FJ9@proNOG,COG1825@NOG	This is one of the proteins that binds to the 5S RNA in the ribosome where it forms part of the central protuberance (By similarity)			SZUA-1058_210:1634..2332	50S ribosomal protein L25	K02897	K02897		K02897	K02897
Candidatus_sp_SZUA-1058|SZUA-1058_00594	K01056	[EC:3.1.1.29]	PTH1, pth, spoVC	peptidyl-tRNA hydrolase, PTH1 family	08ZPD@bactNOG,0QK8H@gproNOG,16T5S@proNOG,COG0193@NOG	The natural substrate for this enzyme may be peptidyl- tRNAs which drop off the ribosome during protein synthesis (By similarity)			SZUA-1058_210:2382..2951	Peptidyl-tRNA hydrolase	K01056	K01056		K01056	K01056
Candidatus_sp_SZUA-1058|SZUA-1058_00595					08WRA@bactNOG,0QR86@gproNOG,11IVC@NOG,17A4X@proNOG	Protein of unknown function (DUF3501)			SZUA-1058_211:7..423	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00596	K04075	[EC:6.3.4.19]	tilS, mesJ	tRNA(Ile)-lysidine synthase	05D3U@bactNOG,0QHV1@gproNOG,16QGD@proNOG,COG0037@NOG	Ligates lysine onto the cytidine present at position 34 of the AUA codon-specific tRNA(Ile) that contains the anticodon CAU, in an ATP-dependent manner. Cytidine is converted to lysidine, thus changing the amino acid specificity of the tRNA from methionine to isoleucine (By similarity)			SZUA-1058_211:c(483..1571)	tRNA(Ile)-lysidine synthase	K04075	K04075		K00760	K21947
Candidatus_sp_SZUA-1058|SZUA-1058_00597	K02864		RP-L10, MRPL10, rplJ	large subunit ribosomal protein L10	08VZM@bactNOG,0QPXR@gproNOG,177S6@proNOG,COG0244@NOG	50S ribosomal protein L10			SZUA-1058_212:148..666	50S ribosomal protein L10	K02864	K02864	K02864	K02864	K14815
Candidatus_sp_SZUA-1058|SZUA-1058_00598	K02935		RP-L7, MRPL12, rplL	large subunit ribosomal protein L7/L12	05KBC@bactNOG,0QTKX@gproNOG,17FF2@proNOG,COG0222@NOG	Seems to be the binding site for several of the factors involved in protein synthesis and appears to be essential for accurate translation (By similarity)			SZUA-1058_212:694..1074	50S ribosomal protein L7/L12	K02935	K02935	K02935	K02935	K02935
Candidatus_sp_SZUA-1058|SZUA-1058_00599									SZUA-1058_212:c(1869..2171)	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00600	K03536	[EC:3.1.26.5]	rnpA	ribonuclease P protein component	05NVJ@bactNOG,0R8NV@gproNOG,17KNQ@proNOG,COG0594@NOG	RNaseP catalyzes the removal of the 5'-leader sequence from pre-tRNA to produce the mature 5'-terminus. It can also cleave other RNA substrates such as 4.5S RNA. The protein component plays an auxiliary but essential role in vivo by binding to the 5'-leader sequence and broadening the substrate specificity of the ribozyme (By similarity)			SZUA-1058_213:c(14..364)	Ribonuclease P protein component	K03536	K03536		K03536	K03536
Candidatus_sp_SZUA-1058|SZUA-1058_00601	K02914		RP-L34, MRPL34, rpmH	large subunit ribosomal protein L34	05VG0@bactNOG,0BGPA@bproNOG,17RJD@proNOG,COG0230@NOG	50S ribosomal protein L34			SZUA-1058_213:c(369..503)	50S ribosomal protein L34	K02914	K02914		K02914	K02914
Candidatus_sp_SZUA-1058|SZUA-1058_00602	K03747		smg	Smg protein	08RPN@bactNOG,0QPZ2@gproNOG,1781C@proNOG,COG2922@NOG	Protein smg homolog			SZUA-1058_213:801..1292	Protein Smg	K03747	K03747		K03747	K03747
Candidatus_sp_SZUA-1058|SZUA-1058_00603	K03499		trkA, ktrA	trk system potassium uptake protein	05C1A@bactNOG,0QJ3Q@gproNOG,16RDV@proNOG,COG0569@NOG	potassium transporter peripheral membrane			SZUA-1058_214:99..365	Trk system potassium uptake protein TrkA	K03499	K03499		K03499	K03499
Candidatus_sp_SZUA-1058|SZUA-1058_00604	K03498		trkH, trkG, ktrB	trk system potassium uptake protein	05D37@bactNOG,0QICP@gproNOG,16R05@proNOG,COG0168@NOG	Low-affinity potassium transport system. Interacts with Trk system potassium uptake protein TrkA (By similarity)			SZUA-1058_214:406..1857	Trk system potassium uptake protein TrkH	K03498	K03498		K03498	K03498
Candidatus_sp_SZUA-1058|SZUA-1058_00605	K15987	[EC:3.6.1.1]	hppA	K(+)-stimulated pyrophosphate-energized sodium pump	05EAY@bactNOG,0QJTC@gproNOG,16SME@proNOG,COG3808@NOG	pump that utilizes the energy of pyrophosphate hydrolysis as the driving force for			SZUA-1058_214:c(1906..2154)	Putative K(+)-stimulated pyrophosphate-energized sodium pump	K15987	K15987		K15987	K15987
Candidatus_sp_SZUA-1058|SZUA-1058_00606	K01138	[EC:3.1.6.-]	K01138	uncharacterized sulfatase	01SFP@aproNOG,07UZ3@bactNOG,173SN@proNOG,COG3119@NOG	Sulfatase			SZUA-1058_215:120..1049	Multifunctional alkaline phosphatase superfamily protein PehA	K01138				K01138
Candidatus_sp_SZUA-1058|SZUA-1058_00607									SZUA-1058_215:c(1372..1497)	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00608	K00164	[EC:1.2.4.2]	OGDH, sucA	2-oxoglutarate dehydrogenase E1 component	05C7P@bactNOG,0QHRE@gproNOG,16PJV@proNOG,COG0567@NOG	2-oxoglutarate dehydrogenase e1 component			SZUA-1058_216:268..957	2-oxoglutarate dehydrogenase E1 component	K00164	K00164		K00164	K01616
Candidatus_sp_SZUA-1058|SZUA-1058_00609	K00658	[EC:2.3.1.61]	DLST, sucB	2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase)	05C7S@bactNOG,0B7PM@bproNOG,16PK1@proNOG,COG0508@NOG	Dihydrolipoamide succinyltransferase			SZUA-1058_216:954..2090	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex	K00658	K00658	K00658	K00627	K00658
Candidatus_sp_SZUA-1058|SZUA-1058_00610	K02408		fliE	flagellar hook-basal body complex protein FliE	084DA@bactNOG,0GGVT@delNOG,0HHH9@dproNOG,17K82@proNOG,COG1677@NOG	flagellar hook-basal body complex protein fliE			SZUA-1058_217:c(191..505)	Flagellar hook-basal body complex protein FliE	K02408	K02408		K02408	K02408
Candidatus_sp_SZUA-1058|SZUA-1058_00611	K02387		flgB	flagellar basal-body rod protein FlgB	05Q75@bactNOG,0EW0W@cloNOG,0NNSI@firmNOG,COG1815@NOG	Structural component of flagellum, the bacterial motility apparatus. Part of the rod structure of flagellar basal body (By similarity)			SZUA-1058_217:c(613..1038)	Flagellar basal body rod protein FlgB	K02387	K02387		K02387	K02387
Candidatus_sp_SZUA-1058|SZUA-1058_00612	K02837		prfC	peptide chain release factor 3	05C8A@bactNOG,0QI9T@gproNOG,16QJ9@proNOG,COG4108@NOG	Increases the formation of ribosomal termination complexes and stimulates activities of RF-1 and RF-2. It binds guanine nucleotides and has strong preference for UGA stop codons. It may interact directly with the ribosome. The stimulation of RF- 1 and RF-2 is significantly reduced by GTP and GDP, but not by GMP (By similarity)			SZUA-1058_218:21..1349	Peptide chain release factor 3	K02837	K02837		K02837	
Candidatus_sp_SZUA-1058|SZUA-1058_00613	K02000	[EC:3.6.3.32]	proV	glycine betaine/proline transport system ATP-binding protein	02E7S@aproNOG,08IJ7@bactNOG,172SV@proNOG,COG4175@NOG	Glycine betaine			SZUA-1058_218:c(1351..2205)	Glycine betaine transport ATP-binding protein OpuAA	K02000	K02000		K02000	K02000
Candidatus_sp_SZUA-1058|SZUA-1058_00614	K00266	[EC:1.4.1.13][EC:1.4.1.14]	gltD	glutamate synthase (NADPH/NADH) small chain	05BZ8@bactNOG,0QIAJ@gproNOG,18A4V@proNOG,COG0493@NOG	Glutamate synthase			SZUA-1058_219:c(20..1471)	Glutamate synthase [NADPH] small chain	K00266	K00266		K00266	K20202
Candidatus_sp_SZUA-1058|SZUA-1058_00615	K02884		RP-L19, MRPL19, rplS	large subunit ribosomal protein L19	08YY1@bactNOG,0QQXI@gproNOG,179PE@proNOG,COG0335@NOG	This protein is located at the 30S-50S ribosomal subunit interface and may play a role in the structure and function of the aminoacyl-tRNA binding site (By similarity)			SZUA-1058_219:1634..1984	50S ribosomal protein L19	K02884	K02884	K02884	K02884	K02884
Candidatus_sp_SZUA-1058|SZUA-1058_00616	K01659	[EC:2.3.3.5]	prpC	2-methylcitrate synthase	05BZN@bactNOG,0QJKU@gproNOG,16PRY@proNOG,COG0372@NOG	citrate synthase			SZUA-1058_220:c(1027..1530)	2-methylcitrate synthase	K01659	K01659		K01647	K01659
Candidatus_sp_SZUA-1058|SZUA-1058_00617	K00278	[EC:1.4.3.16]	nadB	L-aspartate oxidase	08IYU@bactNOG,0RAVQ@gproNOG,1731R@proNOG,COG0029@NOG	l-aspartate oxidase			SZUA-1058_221:43..606	L-aspartate oxidase	K00278	K00278		K00278	K00278
Candidatus_sp_SZUA-1058|SZUA-1058_00618	K01462	[EC:3.5.1.88]	PDF, def	peptide deformylase	08Z02@bactNOG,0QQV7@gproNOG,179MN@proNOG,COG0242@NOG	Removes the formyl group from the N-terminal Met of newly synthesized proteins. Requires at least a dipeptide for an efficient rate of reaction. N-terminal L-methionine is a prerequisite for activity but the enzyme has broad specificity at other positions (By similarity)			SZUA-1058_221:603..1100	Peptide deformylase	K01462	K01462	K01462	K01462	K01462
Candidatus_sp_SZUA-1058|SZUA-1058_00619	K05540	[EC:1.-.-.-]	dusB	tRNA-dihydrouridine synthase B	05CEH@bactNOG,0QIH1@gproNOG,16PTY@proNOG,COG0042@NOG	Catalyzes the synthesis of dihydrouridine, a modified base found in the D-loop of most tRNAs (By similarity)			SZUA-1058_221:1107..2075	putative tRNA-dihydrouridine synthase	K05540	K05540		K05540	K05545
Candidatus_sp_SZUA-1058|SZUA-1058_00620	K02115		ATPF1G, atpG	F-type H+-transporting ATPase subunit gamma	05J80@bactNOG,0QHV3@gproNOG,16RH6@proNOG,COG0224@NOG	Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the CF(0) complex (By similarity)			SZUA-1058_222:76..471	ATP synthase gamma chain	K02115	K02115		K02115	K02136
Candidatus_sp_SZUA-1058|SZUA-1058_00621	K02112	[EC:3.6.3.14]	ATPF1B, atpD	F-type H+-transporting ATPase subunit beta	05C4J@bactNOG,0QI0A@gproNOG,16PQK@proNOG,COG0055@NOG	Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits (By similarity)			SZUA-1058_222:495..1874	ATP synthase subunit beta	K02112	K02112	K02112	K02112	K02133
Candidatus_sp_SZUA-1058|SZUA-1058_00622	K02114		ATPF1E, atpC	F-type H+-transporting ATPase subunit epsilon	05KNM@bactNOG,0QPVI@gproNOG,17C3H@proNOG,COG0355@NOG	Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)			SZUA-1058_222:1875..2291	ATP synthase epsilon chain	K02114	K02114		K02114	K02134
Candidatus_sp_SZUA-1058|SZUA-1058_00623	K00567	[EC:2.1.1.63]	ogt, MGMT	methylated-DNA-[protein]-cysteine S-methyltransferase	1CC5E@thaNOG,COG0350@NOG,arCOG02724@arNOG	Methylated-DNA--protein-cysteine methyltransferase			SZUA-1058_222:c(2288..2467)	Methylated-DNA--protein-cysteine methyltransferase	K00567	K00567		K00567	
Candidatus_sp_SZUA-1058|SZUA-1058_00625	K01256	[EC:3.4.11.2]	pepN	aminopeptidase N	04T4T@bacNOG,05EC3@bactNOG,0NEZ6@firmNOG,COG3340@NOG	Peptidase family S51			SZUA-1058_223:c(221..925)	putative peptidase	K01256			K01256	K05995
Candidatus_sp_SZUA-1058|SZUA-1058_00626	K01082	[EC:3.1.3.7]	cysQ, MET22, BPNT1	3'(2'), 5'-bisphosphate nucleotidase	08RNI@bactNOG,0QQ07@gproNOG,17824@proNOG,COG1218@NOG	3'(2'),5'-bisphosphate nucleotidase			SZUA-1058_223:1019..1777	3'(2'),5'-bisphosphate nucleotidase CysQ	K01082	K01082		K01082	K03677
Candidatus_sp_SZUA-1058|SZUA-1058_00627	K01494	[EC:3.5.4.13]	dcd	dCTP deaminase	05DHP@bactNOG,0B7Y0@bproNOG,16PTG@proNOG,COG0717@NOG	Deoxycytidine triphosphate deaminase			SZUA-1058_224:c(191..757)	dCTP deaminase	K01494	K01494	K01494	K01494	K09887
Candidatus_sp_SZUA-1058|SZUA-1058_00628	K01000	[EC:2.7.8.13]	mraY	phospho-N-acetylmuramoyl-pentapeptide-transferase	05CPY@bactNOG,0QHUN@gproNOG,16PH5@proNOG,COG0472@NOG	First step of the lipid cycle reactions in the biosynthesis of the cell wall peptidoglycan (By similarity)			SZUA-1058_224:c(792..1790)	Phospho-N-acetylmuramoyl-pentapeptide- transferase	K01000	K01000		K01000	K13685
Candidatus_sp_SZUA-1058|SZUA-1058_00629	K09768		K09768	uncharacterized protein	08UPT@bactNOG,0QR45@gproNOG,179V4@proNOG,COG1671@NOG	UPF0178 protein			SZUA-1058_225:c(184..627)	hypothetical protein	K09768	K09768	K09768	K09768	K09768
Candidatus_sp_SZUA-1058|SZUA-1058_00630					08M7Z@bactNOG,0QIYB@gproNOG,0XS3D@NOG,16SZK@proNOG				SZUA-1058_225:c(737..1459)	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00631	K00344	[EC:1.6.5.5]	qor, CRYZ	NADPH2:quinone reductase	05CB2@bactNOG,0GEMN@delNOG,0HFK8@dproNOG,16PGR@proNOG,COG0604@NOG	Alcohol dehydrogenase zinc-binding domain protein			SZUA-1058_225:c(1576..2259)	2-haloacrylate reductase	K00344	K00344		K00001	K21839
Candidatus_sp_SZUA-1058|SZUA-1058_00632	K01409	[EC:2.3.1.234]	KAE1, tsaD, QRI7	N6-L-threonylcarbamoyladenine synthase	05CPM@bactNOG,0QICF@gproNOG,16Q7G@proNOG,COG0533@NOG	Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine (By similarity)			SZUA-1058_226:28..993	tRNA N6-adenosine threonylcarbamoyltransferase	K01409	K01409		K01409	K15904
Candidatus_sp_SZUA-1058|SZUA-1058_00633	K01814	[EC:5.3.1.16]	hisA	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase	05CJV@bactNOG,0QKGS@gproNOG,16Q0N@proNOG,COG0106@NOG	Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase			SZUA-1058_226:1117..1854	1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	K01814	K01814		K01814	K01814
Candidatus_sp_SZUA-1058|SZUA-1058_00634	K09801		K09801	uncharacterized protein	05VDB@bactNOG,0QTP2@gproNOG,17K06@proNOG,COG2914@NOG	UPF0125 protein			SZUA-1058_226:1844..2140	Protein RnfH	K09801	K09801	K09801	K09801	K09801
Candidatus_sp_SZUA-1058|SZUA-1058_00635	K06189		corC	magnesium and cobalt transporter	08JU5@bactNOG,0RB32@gproNOG,173HA@proNOG,COG4535@NOG	Magnesium and cobalt efflux protein			SZUA-1058_226:2183..3049	Magnesium and cobalt efflux protein CorC	K06189	K06189		K03699	K06189
Candidatus_sp_SZUA-1058|SZUA-1058_00636	K02001		proW	glycine betaine/proline transport system permease protein	01SXJ@aproNOG,07TZ8@bactNOG,175JJ@proNOG,COG4176@NOG	glycine betaine proline ABC transporter permease protein			SZUA-1058_228:10..1041	Glycine betaine/proline betaine transport system permease protein ProW	K02001	K02001		K02001	K02001
Candidatus_sp_SZUA-1058|SZUA-1058_00637	K00281	[EC:1.4.4.2]	GLDC, gcvP	glycine dehydrogenase	05CBI@bactNOG,0QJGV@gproNOG,16QJM@proNOG,COG0403@NOG,COG1003@NOG	The glycine cleavage system catalyzes the degradation of glycine. The P protein binds the alpha-amino group of glycine through its pyridoxal phosphate cofactor			SZUA-1058_229:c(563..3454)	Glycine dehydrogenase (decarboxylating)	K00281	K00281		K00281	K00283
Candidatus_sp_SZUA-1058|SZUA-1058_00638	K00605	[EC:2.1.2.10]	gcvT, AMT	aminomethyltransferase	05D43@bactNOG,0QIG4@gproNOG,16PT9@proNOG,COG0404@NOG	The glycine cleavage system catalyzes the degradation of glycine (By similarity)			SZUA-1058_229:c(3454..4560)	Aminomethyltransferase	K00605	K00605		K00605	K15066
Candidatus_sp_SZUA-1058|SZUA-1058_00639	K00031	[EC:1.1.1.42]	IDH1, IDH2, icd	isocitrate dehydrogenase	05D5N@bactNOG,0QV9X@gproNOG,16QP8@proNOG,COG0538@NOG	Isocitrate dehydrogenase			SZUA-1058_229:c(5213..5662)	Isocitrate dehydrogenase [NADP]	K00031	K00031		K00031	K00031
Candidatus_sp_SZUA-1058|SZUA-1058_00640									SZUA-1058_229:c(5896..6129)	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00641	K04088	[EC:3.4.-.-]	hflK	membrane protease subunit HflK	07QJR@bactNOG,0QHX3@gproNOG,16PEW@proNOG,COG0330@NOG	HflK protein			SZUA-1058_230:485..1639	Modulator of FtsH protease HflK	K04088	K04088		K04088	K17081
Candidatus_sp_SZUA-1058|SZUA-1058_00642	K01464	[EC:3.5.2.2]	DPYS, dht, hydA	dihydropyrimidinase	05CD3@bactNOG,0QKKW@gproNOG,16PSG@proNOG,COG0044@NOG	dihydro-orotase (EC 3.5.2.3)			SZUA-1058_231:7..1182	D-hydantoinase/dihydropyrimidinase	K01464	K01464		K01464	K01466
Candidatus_sp_SZUA-1058|SZUA-1058_00643	K17722	[EC:1.3.1.1]	preT	dihydropyrimidine dehydrogenase (NAD+) subunit PreT	01SAZ@aproNOG,05BZ8@bactNOG,18A4V@proNOG,COG0493@NOG	Oxidoreductase			SZUA-1058_231:1259..2626	NAD-dependent dihydropyrimidine dehydrogenase subunit PreT	K17722	K17722	K17722	K00266	K20202
Candidatus_sp_SZUA-1058|SZUA-1058_00644	K01878	[EC:6.1.1.14]	glyQ	glycyl-tRNA synthetase alpha chain	08HMW@bactNOG,0RAH2@gproNOG,172A2@proNOG,COG0752@NOG	glycyl-tRNA synthetase, alpha subunit			SZUA-1058_232:c(482..1378)	Glycine--tRNA ligase alpha subunit	K01878	K01878	K01878	K01878	K01878
Candidatus_sp_SZUA-1058|SZUA-1058_00645	K01251	[EC:3.3.1.1]	E3.3.1.1, ahcY	adenosylhomocysteinase	05C3E@bactNOG,0QJPJ@gproNOG,16QNP@proNOG,COG0499@NOG	May play a key role in the regulation of the intracellular concentration of adenosylhomocysteine (By similarity)			SZUA-1058_232:c(1513..2898)	Adenosylhomocysteinase	K01251	K01251		K01251	K01251
Candidatus_sp_SZUA-1058|SZUA-1058_00646	K00789	[EC:2.5.1.6]	metK	S-adenosylmethionine synthetase	05CPH@bactNOG,0QHZD@gproNOG,16PQA@proNOG,COG0192@NOG	Catalyzes the formation of S-adenosylmethionine from methionine and ATP. The overall synthetic reaction is composed of two sequential steps, AdoMet formation and the subsequent tripolyphosphate hydrolysis which occurs prior to release of AdoMet from the enzyme (By similarity)			SZUA-1058_232:c(3021..3797)	S-adenosylmethionine synthase	K00789	K00789		K00789	K00789
Candidatus_sp_SZUA-1058|SZUA-1058_00647	K02335	[EC:2.7.7.7]	polA	DNA polymerase I	05C2M@bactNOG,0QHY5@gproNOG,16Q2Q@proNOG,COG0258@NOG,COG0749@NOG	Dna polymerase I			SZUA-1058_233:c(115..1794)	DNA polymerase I	K02335	K02335		K02335	K02335
Candidatus_sp_SZUA-1058|SZUA-1058_00648	K01992		ABC-2.P	ABC-2 type transport system permease protein	05E3A@bactNOG,1APHU@spiNOG,COG0842@NOG	ABC transporter			SZUA-1058_234:c(508..1269)	Inner membrane transport permease YadH	K01992	K01992		K01992	K21397
