#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00001	K03892		arsR	ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor	00P00@actNOG,05NK3@bactNOG,COG0640@NOG	transcriptional regulator, ArsR family			SZUA-1093_1:1101..1487	HTH-type transcriptional repressor CzrA	K03892			K03892	K22043
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02493	K20810	[EC:3.5.4.40]	mqnX	aminodeoxyfutalosine deaminase	07V6E@bactNOG,0FUQ2@cyaNOG,COG0402@NOG	amidohydrolase family			SZUA-1093_314:863..2398	Melamine deaminase	K20810				K20810
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02494					02U7S@arNOG,0ZNSM@NOG	Major facilitator superfamily			SZUA-1093_314:c(2416..3696)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02495	K01873	[EC:6.1.1.9]	VARS, valS	valyl-tRNA synthetase	05CA4@bactNOG,0D1HC@chloNOG,0G6WD@dehNOG,COG0525@NOG	amino acids such as threonine, to avoid such errors, it has a posttransfer editing activity that hydrolyzes mischarged Thr-tRNA(Val) in a tRNA-dependent manner (By similarity)			SZUA-1093_314:c(3764..6442)	Valine--tRNA ligase	K01873	K01873	K01873	K01873	K01873
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02496	K08223		fsr	MFS transporter, FSR family, fosmidomycin resistance protein	04S7W@bacNOG,05EU0@bactNOG,0NE9N@firmNOG,0XPTC@NOG	major facilitator superfamily			SZUA-1093_315:39..1268	Fosmidomycin resistance protein	K08223			K08223	
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02497					0KT3N@eurNOG,0RG92@halNOG,COG2013@NOG,arCOG01907@arNOG	Pfam:DUF124			SZUA-1093_315:1360..2055	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02498	K01262	[EC:3.4.11.9]	pepP	Xaa-Pro aminopeptidase	081D5@bactNOG,COG0006@NOG	peptidase, M24			SZUA-1093_315:c(2067..3248)	putative peptidase	K01262			K01262	K18573
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02499	K00059	[EC:1.1.1.100]	fabG	3-oxoacyl-[acyl-carrier protein] reductase	05RGH@bactNOG,0D2A9@chloNOG,COG1028@NOG	Short-chain dehydrogenase reductase SDR			SZUA-1093_315:c(3266..4057)	Putative ketoacyl reductase	K00059	K00059		K00059	K21883
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02500	K00657	[EC:2.3.1.57]	speG, SAT	diamine N-acetyltransferase	054GB@bacNOG,08HK0@bactNOG,0P5XP@firmNOG,1253A@NOG	acetyltransferase			SZUA-1093_315:4391..4975	Acetyltransferase	K00657			K00657	
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02501	K07282		capA, pgsA	gamma-polyglutamate biosynthesis protein CapA	081JR@bactNOG,17AM4@proNOG,COG2843@NOG	enzyme of poly-gamma-glutamate biosynthesis (Capsule formation)-like protein			SZUA-1093_315:4996..6321	Capsule biosynthesis protein CapA	K07282			K07282	K07282
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02502	K11754	[EC:6.3.2.12][EC:6.3.2.17]	folC	dihydrofolate synthase / folylpolyglutamate synthase	05DPM@bactNOG,0D1AF@chloNOG,0G73Y@dehNOG,COG0285@NOG	Folylpolyglutamate synthetase			SZUA-1093_315:6454..7818	Dihydrofolate synthase/folylpolyglutamate synthase	K11754	K11754		K01495	K20457
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02503	K09458	[EC:2.3.1.179]	fabF	3-oxoacyl-[acyl-carrier-protein] synthase II	05C0Q@bactNOG,COG0304@NOG	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP (By similarity)			SZUA-1093_315:7901..9151	3-oxoacyl-[acyl-carrier-protein] synthase 2	K09458	K09458		K09458	K21789
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02504					061VZ@bactNOG,0D303@chloNOG,1239F@NOG	zinc finger SWIM domain-containing protein			SZUA-1093_315:c(9263..9517)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02505	K00604	[EC:2.1.2.9]	MTFMT, fmt	methionyl-tRNA formyltransferase	01S63@aproNOG,07PDB@bactNOG,174Y0@proNOG,COG0223@NOG	Modifies the free amino group of the aminoacyl moiety of methionyl-tRNA(fMet). The formyl group appears to play a dual role in the initiator identity of N-formylmethionyl-tRNA by (I) promoting its recognition by IF2 and (II) impairing its binding to EFTu-GTP (By similarity)			SZUA-1093_315:9841..10773	Methionyl-tRNA formyltransferase	K00604	K00604		K00604	K19640
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02506	K01436	[EC:3.5.1.-]	K01436	amidohydrolase	05C9Y@bactNOG,0GBFI@delNOG,0HCIS@dproNOG,16Q9U@proNOG,COG0624@NOG	acetylornithine deacetylase or succinyl-diaminopimelate desuccinylase			SZUA-1093_315:10800..12125	putative succinyl-diaminopimelate desuccinylase	K01436		K01436	K01439	K20895
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02507	K21454		tcaR	MarR family transcriptional regulator, teicoplanin-associated locus regulator	00MUV@actNOG,05TBS@bactNOG,COG1846@NOG	MarR family transcriptional regulator			SZUA-1093_315:c(12139..12591)	hypothetical protein	K21454				K21454
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02508	K18455	[EC:3.5.1.115]	mca	mycothiol S-conjugate amidase	08KZ5@bactNOG,0D23A@chloNOG,COG2120@NOG	LmbE family			SZUA-1093_315:12820..13677	Mycothiol S-conjugate amidase	K18455	K18455	K22135	K15525	K18455
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02509					06ZP9@bactNOG,0D5CW@chloNOG,0YVZR@NOG				SZUA-1093_315:c(13644..14456)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02510	K07114		yfbK	Ca-activated chloride channel homolog	07KWJ@bactNOG,0D3RS@chloNOG,COG4867@NOG	von Willebrand factor type A			SZUA-1093_315:c(14466..16487)	hypothetical protein	K07114			K07114	
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02511	K21377	[EC:2.1.1.302]	aziB2	3-hydroxy-5-methyl-1-naphthoate 3-O-methyltransferase	00PU9@actNOG,08P18@bactNOG,COG0500@NOG	Methyltransferase type 11			SZUA-1093_315:16934..17689	hypothetical protein	K21377				K21377
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02512	K21624	[EC:4.2.1.171]	c3lhypd	cis-L-3-hydroxyproline dehydratase	05DTQ@bactNOG,0EQXK@cloNOG,0NF97@firmNOG,COG4948@NOG	mandelate racemase muconate lactonizing			SZUA-1093_315:17732..18829	3,6-anhydro-alpha-L-galactonate cycloisomerase	K21624				K21624
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02513	K02897		RP-L25, rplY	large subunit ribosomal protein L25	07TVT@bactNOG,0D366@chloNOG,0G78R@dehNOG,COG1825@NOG	This is one of the proteins that binds to the 5S RNA in the ribosome where it forms part of the central protuberance (By similarity)			SZUA-1093_315:c(18927..19586)	General stress protein CTC	K02897	K02897		K02897	K02897
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02514									SZUA-1093_315:c(20110..20331)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02515	K21226		kedN4	acyl-CoA N-acyltransferase	00HHX@actNOG,07T47@bactNOG,COG4552@NOG	-acetyltransferase			SZUA-1093_315:c(20331..20900)	N-acetyltransferase Eis	K21226				K21226
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02516	K01684	[EC:4.2.1.6]	dgoD	galactonate dehydratase	05CXK@bactNOG,0P2HA@firmNOG,COG4948@NOG	Galactonate dehydratase			SZUA-1093_315:c(20912..22051)	D-galactonate dehydratase	K01684	K01684		K01684	K21624
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02517	K01756	[EC:4.3.2.2]	purB, ADSL	adenylosuccinate lyase	05C83@bactNOG,0NDAB@firmNOG,COG0015@NOG	Adenylosuccinate lyase			SZUA-1093_315:22227..23585	Adenylosuccinate lyase	K01756	K01756		K01756	K22004
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02518	K18555		qnr, mcbG	fluoroquinolone resistance protein	01Z3T@aproNOG,081QB@bactNOG,17E2B@proNOG,COG1357@NOG	Pentapeptide repeat protein			SZUA-1093_315:c(23604..24350)	Serine/threonine-protein kinase B	K18555			K18555	K18555
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02519	K02510	[EC:4.1.2.52]	hpaI, hpcH	4-hydroxy-2-oxoheptanedioate aldolase	05CNV@bactNOG,COG3836@NOG	Aldolase			SZUA-1093_315:c(24365..25192)	5-keto-4-deoxy-D-glucarate aldolase	K02510	K02510		K01630	K12660
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02520									SZUA-1093_315:25666..26034	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02521									SZUA-1093_315:26209..26796	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02522									SZUA-1093_315:26923..27129	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02523	K07090		K07090	uncharacterized protein	089ZC@bactNOG,0ZYPR@NOG,1C96X@synNOG	Sulfite exporter TauE/SafE			SZUA-1093_315:c(27192..27932)	hypothetical protein	K07090	K07090			
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02524	K06015	[EC:3.5.1.81]	E3.5.1.81	N-acyl-D-amino-acid deacylase	05FEN@bactNOG,0EQWJ@cloNOG,0NFGR@firmNOG,COG3653@NOG	deacylase			SZUA-1093_315:c(28039..29619)	N-acyl-D-glutamate deacylase	K06015	K06015		K01436	
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02525	K17910	[EC:2.7.1.190]	aphD	aminoglycoside 2''-phosphotransferase	00NA1@actNOG,05U2A@bactNOG,120BA@NOG	Aminoglycoside phosphotransferase			SZUA-1093_315:29715..30617	Bifunctional AAC/APH	K17910			K17910	
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02526	K01808	[EC:5.3.1.6]	rpiB	ribose 5-phosphate isomerase B	0207X@aproNOG,08YZG@bactNOG,17FK8@proNOG,COG0698@NOG	isomerase			SZUA-1093_315:30697..31170	Putative sugar phosphate isomerase YwlF	K01808	K01808		K01808	K21911
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02527	K07053	[EC:3.1.3.97]	E3.1.3.97	3',5'-nucleoside bisphosphate phosphatase	003AF@aciNOG,08Q1H@bactNOG,11TE8@NOG	Inherit from bactNOG: PHP domain protein			SZUA-1093_315:31254..32177	hypothetical protein	K07053			K07053	
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02528	K00121	[EC:1.1.1.284][EC:1.1.1.1]	frmA, ADH5, adhC	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	054JU@bacNOG,08I9Z@bactNOG,0P660@firmNOG,COG1062@NOG	alcohol dehydrogenase			SZUA-1093_315:c(32214..33305)	NDMA-dependent alcohol dehydrogenase	K00121	K00121		K00001	K00153
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02529									SZUA-1093_315:33478..34005	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02530					05DYW@bactNOG,0D43E@chloNOG,0XQFU@NOG	Luciferase-like monooxygenase			SZUA-1093_315:34074..35129	Putative coenzyme F420-dependent oxidoreductase					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02531									SZUA-1093_315:c(35126..35488)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02532	K02198		ccmF	cytochrome c-type biogenesis protein CcmF	05DA4@bactNOG,0D1JK@chloNOG,COG1138@NOG	Cytochrome c assembly protein			SZUA-1093_315:c(35499..37487)	Cytochrome c-type biogenesis protein CcmF	K02198	K02198		K02198	K04016
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02533	K02200		ccmH	cytochrome c-type biogenesis protein CcmH	05KWW@bactNOG,0G8Y1@deiNOG,COG3088@NOG	cytochrome c biogenesis protein			SZUA-1093_315:c(37535..38086)	Cytochrome c-type biogenesis protein CcmH	K02200			K02200	K04017
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02534	K21835	[EC:1.1.98.5]	adf	secondary-alcohol dehydrogenase (coenzyme-F420)	026FZ@aproNOG,07YR8@bactNOG,17Z09@proNOG,COG2141@NOG	Luciferase-like monooxygenase			SZUA-1093_316:263..1507	Limonene 1,2-monooxygenase	K21835				K21835
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02535					022I1@aproNOG,07YJC@bactNOG,0ZXBP@NOG,17PFS@proNOG	Alpha beta hydrolase			SZUA-1093_316:1517..2305	2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02536	K00609	[EC:2.1.3.2]	pyrB, PYR2	aspartate carbamoyltransferase catalytic subunit	04R55@bacNOG,05CXT@bactNOG,0NDPX@firmNOG,COG0540@NOG	aspartate transcarbamylase			SZUA-1093_316:2408..3310	Aspartate carbamoyltransferase	K00609	K00609		K00609	K00609
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02537	K21401	[EC:1.3.99.38]	menJ	menaquinone-9 beta-reductase	0816J@bactNOG,COG0644@NOG	Thi4 family			SZUA-1093_316:c(3333..3800)	hypothetical protein	K21401				K21401
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02538	K07456		mutS2	DNA mismatch repair protein MutS2	05C98@bactNOG,0D1K6@chloNOG,0D7MU@chlorNOG,COG1193@NOG	MutS2 protein			SZUA-1093_317:148..2598	Endonuclease MutS2	K07456	K07456		K07456	K07456
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02539	K20882	[EC:2.8.3.24]	hadA	(R)-2-hydroxy-4-methylpentanoate CoA-transferase	05FCU@bactNOG,COG1804@NOG	L-carnitine dehydratase bile acid-inducible protein F			SZUA-1093_317:c(2641..3870)	Succinyl-CoA--L-malate CoA-transferase beta subunit	K20882				K20882
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02540	K09005		K09005	uncharacterized protein	0205N@aproNOG,05PC8@bactNOG,17GQN@proNOG,COG1430@NOG	Uncharacterized ACR, COG1430			SZUA-1093_317:4087..4686	hypothetical protein	K09005			K09005	K09005
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02541	K00604	[EC:2.1.2.9]	MTFMT, fmt	methionyl-tRNA formyltransferase	05CAE@bactNOG,0D23X@chloNOG,COG0223@NOG	Modifies the free amino group of the aminoacyl moiety of methionyl-tRNA(fMet). The formyl group appears to play a dual role in the initiator identity of N-formylmethionyl-tRNA by (I) promoting its recognition by IF2 and (II) impairing its binding to EFTu-GTP (By similarity)			SZUA-1093_317:4686..5651	Methionyl-tRNA formyltransferase	K00604	K00604		K00604	K19640
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02542	K07749	[EC:2.8.3.16]	frc	formyl-CoA transferase	00BM3@actNOG,05C04@bactNOG,COG1804@NOG	Formyl-CoA transferase			SZUA-1093_317:5715..6893	Formyl-CoA:oxalate CoA-transferase	K07749			K07749	K20882
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02543	K00313	[EC:1.5.5.-]	fixC	electron transfer flavoprotein-quinone oxidoreductase	00WCU@actNOG,07T3J@bactNOG,COG0644@NOG	Tryptophan halogenase			SZUA-1093_317:c(6914..8518)	Putative FAD-dependent oxidoreductase LodB	K00313			K00313	K21401
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02544					00KDC@actNOG,08ZVZ@bactNOG,11PDP@NOG	FtsX-like permease family			SZUA-1093_317:c(8549..11896)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02545	K07543	[EC:2.8.3.15]	bbsE	benzylsuccinate CoA-transferase BbsE subunit	04SJM@bacNOG,05C04@bactNOG,0NE52@firmNOG,COG1804@NOG	L-carnitine dehydratase bile acid-inducible protein F			SZUA-1093_318:223..645	Succinyl-CoA--L-malate CoA-transferase beta subunit	K07543			K07543	K20882
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02546	K01759	[EC:4.4.1.5]	GLO1, gloA	lactoylglutathione lyase	0XUYC@NOG	Glyoxalase Bleomycin resistance protein (Dioxygenase			SZUA-1093_318:798..1193	hypothetical protein	K01759			K01759	
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02547	K01631	[EC:4.1.2.21]	dgoA	2-dehydro-3-deoxyphosphogalactonate aldolase	01SCD@aproNOG,05CXK@bactNOG,16QS0@proNOG,COG4948@NOG	mandelate racemase muconate lactonizing			SZUA-1093_318:1242..2384	D-galactonate dehydratase	K01631			K01631	K21624
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02548	K20590	[EC:1.1.1.-]	genD2, gtmC, gntC	gentamicin A2 dehydrogenase	05SAA@bactNOG,COG0673@NOG	Oxidoreductase domain-containing protein			SZUA-1093_318:2427..3554	Myo-inositol 2-dehydrogenase	K20590				K20590
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02549									SZUA-1093_318:3692..3877	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02550									SZUA-1093_318:3911..4051	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02551									SZUA-1093_318:c(4077..4220)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02552					07EN2@bactNOG,0ZHYK@NOG	Protein of unknown function (DUF2877)			SZUA-1093_318:c(4229..5218)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02553	K02433	[EC:6.3.5.6][EC:6.3.5.7]	gatA, QRSL1	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A	01U5P@aproNOG,05C3P@bactNOG,16T6I@proNOG,COG0154@NOG	K02433 aspartyl-tRNA(Asn) glutamyl-tRNA (Gln) amidotransferase subunit A EC 6.3.5.6 6.3.5.7			SZUA-1093_318:c(5230..5757)	Putative amidase AmiD	K02433	K02433		K01426	K21801
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02554	K20882	[EC:2.8.3.24]	hadA	(R)-2-hydroxy-4-methylpentanoate CoA-transferase	08IE1@bactNOG,COG1804@NOG	l-carnitine dehydratase bile acid-inducible protein F			SZUA-1093_318:5949..7361	Acetyl-CoA:oxalate CoA-transferase	K20882				K20882
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02555	K02519		infB, MTIF2	translation initiation factor IF-2	07EEM@bactNOG,0D1TW@chloNOG,0G701@dehNOG,COG0532@NOG	One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex (By similarity)			SZUA-1093_319:22..327	Translation initiation factor IF-2	K02519	K02519		K02519	K03243
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02556	K02834		rbfA	ribosome-binding factor A	05KG7@bactNOG,0EU3Y@cloNOG,0NKNZ@firmNOG,COG0858@NOG	Associates with free 30S ribosomal subunits (but not with 30S subunits that are part of 70S ribosomes or polysomes). Essential for efficient processing of 16S rRNA. May interact with the 5'-terminal helix region of 16S rRNA (By similarity)			SZUA-1093_319:455..829	Ribosome-binding factor A	K02834	K02834	K02834	K02834	K02834
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02557	K03177	[EC:5.4.99.25]	truB, PUS4, TRUB1	tRNA pseudouridine55 synthase	05D0T@bactNOG,0ENZ2@cloNOG,0NE7Z@firmNOG,COG0130@NOG	Responsible for synthesis of pseudouridine from uracil- 55 in the psi GC loop of transfer RNAs (By similarity)			SZUA-1093_319:826..1737	tRNA pseudouridine synthase B	K03177	K03177	K03177	K03177	K03177
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02558	K02888		RP-L21, MRPL21, rplU	large subunit ribosomal protein L21	05KK9@bactNOG,COG0261@NOG	This protein binds to 23S rRNA in the presence of protein L20 (By similarity)			SZUA-1093_319:1834..2151	50S ribosomal protein L21	K02888	K02888		K02888	K02888
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02559	K02899		RP-L27, MRPL27, rpmA	large subunit ribosomal protein L27	01ZUP@aproNOG,05K46@bactNOG,17FAU@proNOG,COG0211@NOG	50S ribosomal protein L27			SZUA-1093_319:2182..2442	50S ribosomal protein L27	K02899	K02899		K02899	K02899
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02560	K02909		RP-L31, rpmE	large subunit ribosomal protein L31	082DI@bactNOG,0EVNF@cloNOG,0NNUC@firmNOG,COG0254@NOG	Binds the 23S rRNA (By similarity)			SZUA-1093_319:2449..2652	50S ribosomal protein L31	K02909	K02909	K02909	K02909	K02909
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02561	K09153		K09153	uncharacterized protein	05CBJ@bactNOG,0D266@chloNOG,0G74Q@dehNOG,COG3872@NOG	Protein of unknown function (DUF1385)			SZUA-1093_319:2768..3718	hypothetical protein	K09153			K09153	
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02562	K11755	[EC:3.6.1.31][EC:3.5.4.19]	hisIE	phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase	05K8F@bactNOG,1C8UX@synNOG,COG0139@NOG,COG0140@NOG	Phosphoribosyl-ATP			SZUA-1093_319:c(3859..4479)	Phosphoribosyl-AMP cyclohydrolase	K11755	K11755		K01496	K14152
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02563	K02500	[EC:4.1.3.-]	hisF	cyclase	05C0S@bactNOG,0ENXW@cloNOG,0ND6W@firmNOG,COG0107@NOG	IGPS catalyzes the conversion of PRFAR and glutamine to IGP, AICAR and glutamate. The HisF subunit catalyzes the cyclization activity that produces IGP and AICAR from PRFAR using the ammonia provided by the HisH subunit (By similarity)			SZUA-1093_319:c(4591..5412)	Imidazole glycerol phosphate synthase subunit HisF	K02500	K02500		K01663	K02500
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02564	K01814	[EC:5.3.1.16]	hisA	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase	05CJV@bactNOG,0D285@chloNOG,0G6RF@dehNOG,COG0106@NOG	Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase			SZUA-1093_319:c(5413..6141)	1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	K01814	K01814		K01814	K01814
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02565	K02501	[EC:2.4.2.-]	hisH	glutamine amidotransferase	08UJE@bactNOG,0D2CJ@chloNOG,0G6RX@dehNOG,COG0118@NOG	IGPS catalyzes the conversion of PRFAR and glutamine to IGP, AICAR and glutamate. The HisH subunit provides the glutamine amidotransferase activity that produces the ammonia necessary to HisF for the synthesis of IGP and AICAR (By similarity)			SZUA-1093_319:c(6166..6783)	Imidazole glycerol phosphate synthase subunit HisH	K02501	K02501	K02501	K02501	K02501
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02566	K00798	[EC:2.5.1.17]	MMAB, pduO	cob(I)alamin adenosyltransferase	08WBT@bactNOG,0D2MM@chloNOG,COG2096@NOG	adenosyltransferase			SZUA-1093_319:c(6780..7313)	Cob(I)yrinic acid a,c-diamide adenosyltransferase	K00798	K00798		K00798	K00798
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02567									SZUA-1093_320:c(226..597)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02568	K02034		ABC.PE.P1	peptide/nickel transport system permease protein	01WKY@aproNOG,05C2T@bactNOG,16S1M@proNOG,COG1173@NOG	-transport system			SZUA-1093_320:c(821..1717)	putative D,D-dipeptide transport system permease protein DdpC	K02034	K02034		K02034	K19228
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02569	K02033		ABC.PE.P	peptide/nickel transport system permease protein	05CJM@bactNOG,COG0601@NOG	Binding-protein-dependent transport systems, inner membrane component			SZUA-1093_320:c(1740..2705)	Dipeptide transport system permease protein DppB	K02033	K02033		K02033	K19227
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02570	K02035		ABC.PE.S	peptide/nickel transport system substrate-binding protein	07RUI@bactNOG,COG0747@NOG	Extracellular solute-binding protein, family 5			SZUA-1093_320:c(2938..3681)	hypothetical protein	K02035			K02035	K19226
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02571	K03521		fixA, etfB	electron transfer flavoprotein beta subunit	05BZJ@bactNOG,0D34A@chloNOG,COG2086@NOG	Electron transfer flavoprotein alpha beta-subunit			SZUA-1093_321:129..929	Caffeyl-CoA reductase-Etf complex subunit CarD	K03521	K03521		K03521	K03521
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02572	K03522		fixB, etfA	electron transfer flavoprotein alpha subunit	05C10@bactNOG,0ND72@firmNOG,0X1WJ@negNOG,COG2025@NOG	Electron transfer flavoprotein			SZUA-1093_321:983..1975	Caffeyl-CoA reductase-Etf complex subunit CarE	K03522	K03522		K03522	K03522
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02573									SZUA-1093_321:2082..2519	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02574									SZUA-1093_321:2539..2823	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02575	K16328	[EC:2.7.1.83]	psuK	pseudouridine kinase	08VYU@bactNOG,0BH9Z@bproNOG,11IH1@NOG,179UU@proNOG	Inherit from proNOG: methyltransferase			SZUA-1093_321:2848..3510	hypothetical protein	K16328			K16328	
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02576	K02510	[EC:4.1.2.52]	hpaI, hpcH	4-hydroxy-2-oxoheptanedioate aldolase	05CNV@bactNOG,0EPKG@cloNOG,0NE1E@firmNOG,COG3836@NOG	Aldolase			SZUA-1093_321:c(3521..4315)	2-dehydro-3,6-dideoxy-6-sulfogluconate aldolase	K02510	K02510		K01630	K12660
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02577	K03547		sbcD, mre11	DNA repair protein SbcD/Mre11	05DM0@bactNOG,0D1IG@chloNOG,0G6XF@dehNOG,COG0420@NOG	Type 5 capsule protein repressor C-terminal domain			SZUA-1093_322:c(3..1238)	Nuclease SbcCD subunit D	K03547	K03547		K03547	K10865
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02578	K01880	[EC:6.1.1.14]	GARS, glyS1	glycyl-tRNA synthetase	05D9H@bactNOG,0D1G2@chloNOG,0G6QQ@dehNOG,COG0423@NOG	Catalyzes the attachment of glycine to tRNA(Gly) (By similarity)			SZUA-1093_322:c(1268..2617)	Glycine--tRNA ligase	K01880	K01880	K01880	K01880	K01880
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02579									SZUA-1093_322:2822..3127	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_02580									SZUA-1093_322:c(3276..3545)	hypothetical protein					
