#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00001	K00344	[EC:1.6.5.5]	qor, CRYZ	NADPH2:quinone reductase	05EE6@bactNOG,0D4HV@chloNOG,COG0604@NOG	Alcohol dehydrogenase zinc-binding domain protein			SZUA-1128_1:c(145..1113)	Quinone oxidoreductase 1	K00344	K00344		K00344	K21839
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01532	K01468	[EC:3.5.2.7]	hutI, AMDHD1	imidazolonepropionase	04S62@bacNOG,0604Q@bactNOG,0NFIA@firmNOG,COG1228@NOG	amidohydrolase			SZUA-1128_518:c(1624..2877)	Imidazolonepropionase	K01468				K01468
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01533	K03641		tolB	TolB protein	07TIH@bactNOG,COG0823@NOG	Involved in the TonB-independent uptake of proteins (By similarity)			SZUA-1128_518:3148..4365	Protein TolB	K03641	K03641		K03641	K20934
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01534									SZUA-1128_518:4909..5442	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01535	K09021		rutC	aminoacrylate peracid reductase	07YYT@bactNOG,0QR2N@gproNOG,17A23@proNOG,COG0251@NOG	May reduce aminoacrylate peracid to aminoacrylate. Required to remove a toxic intermediate produce by the pyrimidine nitrogen degradation (By similarity)			SZUA-1128_519:245..592	Putative aminoacrylate peracid reductase RutC	K09021			K09021	K09022
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01536	K21330		calS4	C-S lyase	02DYJ@aproNOG,07QXW@bactNOG,171X3@proNOG,COG0520@NOG	DegT/DnrJ/EryC1/StrS aminotransferase family			SZUA-1128_519:c(885..2018)	Isopenicillin N epimerase	K21330				K21330
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01537	K01061	[EC:3.1.1.45]	E3.1.1.45	carboxymethylenebutenolidase	00FIT@actNOG,07X64@bactNOG,COG0412@NOG	carboxymethylenebutenolidase (EC 3.1.1.45)			SZUA-1128_520:110..706	Carboxymethylenebutenolidase	K01061	K01061		K01061	K01061
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01538	K07045		K07045	uncharacterized protein	08KCR@bactNOG,COG2159@NOG	amidohydrolase			SZUA-1128_520:770..1948	hypothetical protein	K07045			K07045	K20941
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01539	K18068	[EC:1.14.12.7]	pht3	phthalate 4,5-dioxygenase	00HNS@actNOG,08NHC@bactNOG,COG4638@NOG	rieske (2Fe-2S) domain-containing protein			SZUA-1128_520:2060..3454	Carbazole 1,9a-dioxygenase, terminal oxygenase component CarAa	K18068			K18068	K21724
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01540	K02051		ABC.SN.S	NitT/TauT family transport system substrate-binding protein	07I1P@bactNOG,0XYQ2@NOG	Inherit from NOG: ABC-type nitrate sulfonate bicarbonate transport systems periplasmic components-like protein			SZUA-1128_520:3627..4544	hypothetical protein	K02051	K02051			
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01541					07MZC@bactNOG,COG5267@NOG	Protein of unknown function (DUF1800)			SZUA-1128_520:4600..6021	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01542									SZUA-1128_521:88..681	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01543	K12466	[EC:1.1.1.275]	E1.1.1.275	(+)-trans-carveol dehydrogenase	00WM6@actNOG,08ABP@bactNOG,0XSIT@NOG	KR domain			SZUA-1128_521:811..1626	Dihydroanticapsin 7-dehydrogenase	K12466			K12466	
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01544									SZUA-1128_521:c(1645..2073)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01545									SZUA-1128_522:268..987	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01546	K09401		FOXI	forkhead box protein I					SZUA-1128_522:1172..1486	hypothetical protein	K09401	K09401			
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01547									SZUA-1128_522:1505..1804	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01550									SZUA-1128_522:2749..2967	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01551					05DYW@bactNOG,0XQFU@NOG,17JY3@proNOG	Luciferase-like monooxygenase superfamily protein			SZUA-1128_523:c(344..1339)	Putative coenzyme F420-dependent oxidoreductase					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01552	K00812	[EC:2.6.1.1]	aspB	aspartate aminotransferase	08JZT@bactNOG,COG0436@NOG	Aminotransferase class I and II			SZUA-1128_524:115..1011	Aspartate aminotransferase	K00812	K00812			K20615
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01553									SZUA-1128_524:c(1380..1505)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01554									SZUA-1128_524:c(1905..2075)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01555	K20257	[EC:3.1.2.32]	pqsE	2-aminobenzoylacetyl-CoA thioesterase	08M6T@bactNOG,COG0491@NOG	Beta-lactamase domain protein			SZUA-1128_525:11..601	Hydroxyacylglutathione hydrolase GloC	K20257				K20257
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01556	K07263	[EC:3.4.24.-]	pqqL	zinc protease	05C1V@bactNOG,0D1A8@chloNOG,COG0612@NOG	Peptidase M16 domain protein			SZUA-1128_525:729..1988	putative zinc protease	K07263				K07263
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01557									SZUA-1128_526:4..225	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01558	K01465	[EC:3.5.2.3]	URA4, pyrC	dihydroorotase	069H0@bactNOG,0D43G@chloNOG,COG3964@NOG	K01465 dihydroorotase EC 3.5.2.3			SZUA-1128_526:324..1505	Deacetylase	K01465	K01465		K01465	
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01559									SZUA-1128_526:c(1613..2323)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01560					00C91@actNOG,05F6Y@bactNOG,0XS0I@NOG	PAC2 family			SZUA-1128_526:2614..3549	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01561					0614Y@bactNOG,0QW1X@gproNOG,0Y11P@NOG,17PNQ@proNOG				SZUA-1128_527:c(147..638)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01562	K21883	[EC:1.1.1.401]	lra5	2-dehydro-3-deoxy-L-rhamnonate dehydrogenase (NAD+)	01R6C@aproNOG,05KF3@bactNOG,16SZ6@proNOG,COG1028@NOG	Short-chain dehydrogenase reductase SDR			SZUA-1128_527:c(667..1596)	Putative short-chain type dehydrogenase/reductase	K21883				K21883
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01563									SZUA-1128_528:52..264	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01564	K07560	[EC:3.1.-.-]	dtd, DTD1	D-tyrosyl-tRNA(Tyr) deacylase	08YYA@bactNOG,0NJ7D@firmNOG,0X32S@negNOG,COG1490@NOG	Hydrolyzes D-tyrosyl-tRNA(Tyr) into D-tyrosine and free tRNA(Tyr). Could be a defense mechanism against a harmful effect of D-tyrosine (By similarity)			SZUA-1128_528:c(304..771)	D-aminoacyl-tRNA deacylase	K07560	K07560	K07560	K07560	K07560
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01565					00Q8S@actNOG,05VB8@bactNOG,COG2331@NOG	Regulatory protein, FmdB family			SZUA-1128_528:c(845..1213)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01566									SZUA-1128_529:c(195..413)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01567					02CHA@aproNOG,08KRG@bactNOG,0ZVMP@NOG,16V96@proNOG	Major facilitator superfamily MFS_1			SZUA-1128_529:668..2005	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01568	K00059	[EC:1.1.1.100]	fabG	3-oxoacyl-[acyl-carrier protein] reductase	00CYE@actNOG,07ZQV@bactNOG,0XPR5@NOG	reductase			SZUA-1128_529:c(2064..2810)	Sorbitol dehydrogenase	K00059			K00059	
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01569					00JID@actNOG,08X28@bactNOG,11N8S@NOG	f420-dependent			SZUA-1128_530:c(106..1068)	F420-dependent glucose-6-phosphate dehydrogenase					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01570									SZUA-1128_530:c(1082..1864)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01571	K00697	[EC:2.4.1.15][EC:2.4.1.347]	otsA	trehalose 6-phosphate synthase	05C1K@bactNOG,0D2CW@chloNOG,COG0380@NOG	Alpha,alpha-trehalose-phosphate synthase (UDP-forming)			SZUA-1128_531:50..685	Trehalose-6-phosphate synthase	K00697	K00697		K00697	K20436
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01572									SZUA-1128_531:710..1288	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01573									SZUA-1128_531:c(1459..1689)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01574									SZUA-1128_532:108..356	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01575									SZUA-1128_532:411..929	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01576	K09807		K09807	uncharacterized protein	05MPN@bactNOG,0QKEY@gproNOG,16SK7@proNOG,COG2968@NOG	oxidative stress defense protein			SZUA-1128_532:1318..2373	26 kDa periplasmic immunogenic protein	K09807	K09807		K09807	K09807
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01577	K11752	[EC:3.5.4.26][EC:1.1.1.193]	ribD	diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase	05D1W@bactNOG,COG0117@NOG,COG1985@NOG	Converts 2,5-diamino-6-(ribosylamino)-4(3h)-pyrimidinone 5'-phosphate into 5-amino-6-(ribosylamino)-2,4(1h,3h)- pyrimidinedione 5'-phosphate (By similarity)			SZUA-1128_532:2607..3707	Riboflavin biosynthesis protein RibD	K11752	K11752		K01498	K14654
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01578	K07047	[EC:3.5.1.91]	nfdA	N-substituted formamide deformylase	07S3M@bactNOG,0BRBP@bproNOG,171WX@proNOG,COG1574@NOG	Amidohydrolase 3			SZUA-1128_533:29..1771	N-substituted formamide deformylase	K07047			K07047	K07047
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01579									SZUA-1128_534:c(205..435)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01580	K20543		bcsC	cellulose synthase operon protein C	05EN5@bactNOG,0FM6X@cyaNOG,COG0457@NOG	domain protein			SZUA-1128_534:688..1890	Lipoprotein NlpI	K20543				K20543
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01581	K08591	[EC:2.3.1.15]	plsY	glycerol-3-phosphate acyltransferase PlsY	05K7Z@bactNOG,0D2UX@chloNOG,0D8QT@chlorNOG,COG0344@NOG	Catalyzes the transfer of an acyl group from acyl- phosphate (acyl-PO(4)) to glycerol-3-phosphate (G3P) to form lysophosphatidic acid (LPA). This enzyme utilizes acyl-phosphate as fatty acyl donor, but not acyl-CoA or acyl-ACP (By similarity)			SZUA-1128_534:c(1987..2673)	Glycerol-3-phosphate acyltransferase	K08591	K08591		K08591	K08591
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01582	K03183	[EC:2.1.1.163][EC:2.1.1.201]	ubiE	demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase	07QVI@bactNOG,0D4I2@chloNOG,0XP5G@NOG	Methyltransferase type 11			SZUA-1128_534:c(2877..3692)	Demethylrebeccamycin-D-glucose O-methyltransferase	K03183			K03183	
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01583	K00077	[EC:1.1.1.169]	panE, apbA	2-dehydropantoate 2-reductase	084M5@bactNOG,COG1893@NOG	Catalyzes the NADPH-dependent reduction of ketopantoate into pantoic acid (By similarity)			SZUA-1128_534:c(3719..4678)	2-dehydropantoate 2-reductase	K00077	K00077		K00077	K17665
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01584	K06937	[EC:2.1.1.-]	K06937	7,8-dihydro-6-hydroxymethylpterin dimethyltransferase	00GG7@actNOG,07SDX@bactNOG,COG1964@NOG	Radical SAM domain-containing protein			SZUA-1128_534:c(4765..5364)	hypothetical protein	K06937	K06937		K06937	K06937
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01585	K06937	[EC:2.1.1.-]	K06937	7,8-dihydro-6-hydroxymethylpterin dimethyltransferase	07SDX@bactNOG,COG1964@NOG	radical SAM domain protein			SZUA-1128_534:c(5385..5735)	hypothetical protein	K06937	K06937		K06937	K06937
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01586	K06937	[EC:2.1.1.-]	K06937	7,8-dihydro-6-hydroxymethylpterin dimethyltransferase	07SDX@bactNOG,COG1964@NOG	radical SAM domain protein			SZUA-1128_534:c(5760..5987)	hypothetical protein	K06937	K06937		K06937	K06937
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01587									SZUA-1128_534:c(6438..6734)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01588	K10823		oppF	oligopeptide transport system ATP-binding protein	08JQ7@bactNOG,0F7EC@cloNOG,0P6PV@firmNOG,COG4608@NOG	Abc transporter			SZUA-1128_535:c(812..1801)	Oligopeptide transport ATP-binding protein OppF	K10823	K10823		K02032	K10823
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01589	K15583		oppD	oligopeptide transport system ATP-binding protein	04R5B@bacNOG,05C3U@bactNOG,0NDKB@firmNOG,COG0444@NOG	ABC transporter			SZUA-1128_535:c(1803..2780)	Oligopeptide transport ATP-binding protein OppD	K15583	K15583		K02031	K19229
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01590									SZUA-1128_536:235..441	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01591									SZUA-1128_536:c(443..694)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01592	K17225		soxC	sulfane dehydrogenase subunit SoxC	05N94@bactNOG,COG2041@NOG	The exact function is not known. Can catalyze the reduction of a variety of substrates like dimethyl sulfoxide, trimethylamine N-oxide, phenylmethyl sulfoxide and L-methionine sulfoxide. Cannot reduce cyclic N-oxides. Shows no activity as sulfite oxidase (By similarity)			SZUA-1128_536:c(763..1869)	Putative protein-methionine-sulfoxide reductase subunit YedZ1	K17225				K17225
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01593									SZUA-1128_536:c(2043..2393)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01594	K17225		soxC	sulfane dehydrogenase subunit SoxC	05N94@bactNOG,COG2041@NOG	The exact function is not known. Can catalyze the reduction of a variety of substrates like dimethyl sulfoxide, trimethylamine N-oxide, phenylmethyl sulfoxide and L-methionine sulfoxide. Cannot reduce cyclic N-oxides. Shows no activity as sulfite oxidase (By similarity)			SZUA-1128_536:c(2574..3713)	Sulfoxide reductase catalytic subunit YedY	K17225				K17225
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01595									SZUA-1128_537:27..287	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01596	K06400		spoIVCA	site-specific DNA recombinase	05C6I@bactNOG,0ENW2@cloNOG,0NDBZ@firmNOG,COG1961@NOG	site-specific			SZUA-1128_537:303..1838	Transposon gamma-delta resolvase	K06400		K06400	K06400	K14060
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01597	K02338	[EC:2.7.7.7]	dnaN	DNA polymerase III subunit beta	05CZ8@bactNOG,0D1F5@chloNOG,0G736@dehNOG,COG0592@NOG	DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. This DNA polymerase also exhibits 3' to 5' exonuclease activity. The beta chain is required for initiation of replication once it is clamped onto DNA, it slides freely (bidirectional and ATP- independent) along duplex DNA (By similarity)			SZUA-1128_537:c(1813..2961)	Beta sliding clamp	K02338	K02338		K02338	K04802
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01598	K03321		TC.SULP	sulfate permease, SulP family	01RP1@aproNOG,05CHH@bactNOG,16Q3C@proNOG,COG0659@NOG	Sulfate transporter			SZUA-1128_538:612..2156	Bicarbonate transporter BicA	K03321	K03321		K03321	K03321
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01599	K07749	[EC:2.8.3.16]	frc	formyl-CoA transferase	05C04@bactNOG,0EPR7@cloNOG,0NE52@firmNOG,COG1804@NOG	L-carnitine dehydratase bile acid-inducible protein F			SZUA-1128_538:c(2187..3389)	Succinyl-CoA--L-malate CoA-transferase beta subunit	K07749			K07749	K20882
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01600									SZUA-1128_538:c(3674..3928)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01601									SZUA-1128_538:4199..4360	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01602									SZUA-1128_538:c(4698..4997)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01603	K00108	[EC:1.1.99.1]	betA, CHDH	choline dehydrogenase	00CMY@actNOG,05CZ6@bactNOG,COG2303@NOG	Choline dehydrogenase			SZUA-1128_538:5233..6777	Oxygen-dependent choline dehydrogenase	K00108			K00108	K21166
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01604					02HHE@arcNOG,0KRXD@eurNOG,COG0179@NOG,arCOG00235@arNOG	Fumarylacetoacetate (FAA) hydrolase family			SZUA-1128_539:52..666	putative protein YisK					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01605	K21883	[EC:1.1.1.401]	lra5	2-dehydro-3-deoxy-L-rhamnonate dehydrogenase (NAD+)	05H05@bactNOG,COG1028@NOG	Short-chain dehydrogenase reductase Sdr			SZUA-1128_539:c(1019..1852)	Glucose 1-dehydrogenase 4	K21883				K21883
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01606	K01999		livK	branched-chain amino acid transport system substrate-binding protein	02HCS@arcNOG,0KWFJ@eurNOG,COG0683@NOG,arCOG01020@arNOG	Receptor family ligand binding region			SZUA-1128_539:c(1926..3053)	hypothetical protein	K01999	K01999		K01999	
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01607					05F7H@bactNOG,0FJ70@cyaNOG,COG4398@NOG	FIST			SZUA-1128_539:c(3113..4297)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01608	K19701	[EC:3.4.11.6][EC:3.4.11.10]	ywaD	aminopeptidase YwaD	04WBK@bacNOG,05IIU@bactNOG,0NMFZ@firmNOG,COG2234@NOG	Peptidase family M28			SZUA-1128_539:c(4437..5828)	Aminopeptidase YwaD	K19701		K19701	K19701	K19702
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01609									SZUA-1128_539:6099..6302	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01610	K02433	[EC:6.3.5.6][EC:6.3.5.7]	gatA, QRSL1	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A	05C3P@bactNOG,0GAP4@delNOG,0HBV9@dproNOG,16PTH@proNOG,COG0154@NOG	Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in organisms which lack glutaminyl-tRNA synthetase. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln) (By similarity)			SZUA-1128_539:6367..7794	Glutamyl-tRNA(Gln) amidotransferase subunit A	K02433	K02433		K01426	K21801
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01611									SZUA-1128_539:c(7818..8063)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01612	K06934		K06934	uncharacterized protein	080XJ@bactNOG,0GENR@delNOG,0HFMP@dproNOG,11PPS@NOG,17E7P@proNOG	Domain of unknown function (DUF296)			SZUA-1128_540:c(337..744)	hypothetical protein	K06934			K06934	
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01613									SZUA-1128_540:1106..1453	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01614	K00108	[EC:1.1.99.1]	betA, CHDH	choline dehydrogenase	00CMY@actNOG,05CZ6@bactNOG,COG2303@NOG	Choline dehydrogenase			SZUA-1128_540:1769..3301	Oxygen-dependent choline dehydrogenase	K00108			K00108	K21166
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01615	K00038	[EC:1.1.1.53]	E1.1.1.53	3alpha(or 20beta)-hydroxysteroid dehydrogenase	061TZ@bactNOG,1CH79@therNOG,COG1028@NOG	Short-chain dehydrogenase reductase SDR			SZUA-1128_540:3382..4134	Cyclopentanol dehydrogenase	K00038			K00038	K21883
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01616					00KYQ@actNOG,05G54@bactNOG,11PKK@NOG	Domain of unknown function (DUF385)			SZUA-1128_541:c(1468..1890)	Deazaflavin-dependent nitroreductase					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01617	K00697	[EC:2.4.1.15][EC:2.4.1.347]	otsA	trehalose 6-phosphate synthase	05C1K@bactNOG,0GAVV@delNOG,0HC66@dproNOG,16PYM@proNOG,COG0380@NOG	Alpha,alpha-trehalose-phosphate synthase			SZUA-1128_542:627..2141	Trehalose-6-phosphate synthase	K00697	K00697	K00697	K00697	K20436
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01618	K00797	[EC:2.5.1.16]	speE, SRM	spermidine synthase	05CCX@bactNOG,0ESW5@cloNOG,0NIXF@firmNOG,COG0421@NOG	Catalyzes the production of spermidine from putrescine and decarboxylated S-adenosylmethionine (dcSAM), which serves as an aminopropyl donor (By similarity)			SZUA-1128_543:c(285..1196)	Polyamine aminopropyltransferase	K00797		K00797	K00797	K00802
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01619	K01611	[EC:4.1.1.50]	speD, AMD1	S-adenosylmethionine decarboxylase	05X3E@bactNOG,COG1586@NOG	Catalyzes the decarboxylation of S-adenosylmethionine to S-adenosylmethioninamine (dcAdoMet), the propylamine donor required for the synthesis of the polyamines spermine and spermidine from the diamine putrescine (By similarity)			SZUA-1128_543:c(1292..1657)	S-adenosylmethionine decarboxylase proenzyme	K01611	K01611		K01611	K01611
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01620									SZUA-1128_543:1937..2113	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01621					05KHB@bactNOG,0D2PW@chloNOG,11X6C@NOG	Tetratricopeptide TPR_2 repeat protein			SZUA-1128_543:c(2536..3060)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01622	K15736	[EC:1.1.3.-]	lhgO	L-2-hydroxyglutarate oxidase	05D5U@bactNOG,COG0579@NOG	fad dependent oxidoreductase			SZUA-1128_544:46..897	L-2-hydroxyglutarate oxidase LhgO	K15736	K15736		K00109	K15736
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01623					067RT@bactNOG,0ZMJ8@NOG	MaoC like domain			SZUA-1128_544:1103..1975	(R)-specific enoyl-CoA hydratase					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01624	K07462	[EC:3.1.-.-]	recJ	single-stranded-DNA-specific exonuclease	05C2R@bactNOG,0D1JD@chloNOG,0G6T2@dehNOG,COG0608@NOG	Single-stranded-DNA-specific exonuclease			SZUA-1128_545:50..1672	Single-stranded-DNA-specific exonuclease RecJ	K07462	K07462	K07462	K07462	K07462
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01625	K13292	[EC:2.-.-.-]	lgt, umpA	phosphatidylglycerol:prolipoprotein diacylglycerol transferase	07XFE@bactNOG,0D2CS@chloNOG,COG0682@NOG	Transfers the N-acyl diglyceride group on what will become the N-terminal cysteine of membrane lipoproteins (By similarity)			SZUA-1128_545:c(1719..2633)	Prolipoprotein diacylglyceryl transferase	K13292	K13292		K13292	K13292
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01626									SZUA-1128_546:284..595	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01627									SZUA-1128_546:640..777	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01628	K00320	[EC:1.5.98.2]	mer	5,10-methylenetetrahydromethanopterin reductase	01UEN@aproNOG,073CZ@bactNOG,16RRA@proNOG,COG2141@NOG	reductase			SZUA-1128_546:779..1786	F420-dependent hydroxymycolic acid dehydrogenase	K00320			K00320	K21835
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01629	K07006		K07006	uncharacterized protein	00SG4@actNOG,05PIN@bactNOG,COG3576@NOG	Pyridoxamine 5'-phosphate oxidase			SZUA-1128_546:1829..2320	hypothetical protein	K07006			K07006	K07006
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01630									SZUA-1128_546:2490..2678	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01631	K09459	[EC:4.1.1.82]	E4.1.1.82	phosphonopyruvate decarboxylase	05DTI@bactNOG,1AMF0@spiNOG,COG0028@NOG,COG4032@NOG	Phosphonopyruvate decarboxylase			SZUA-1128_547:11..409	hypothetical protein	K09459	K09459		K09459	K06034
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01632	K09459	[EC:4.1.1.82]	E4.1.1.82	phosphonopyruvate decarboxylase	05DTI@bactNOG,0GC53@delNOG,0HDP5@dproNOG,174MR@proNOG,COG0028@NOG,COG4032@NOG	phosphonopyruvate decarboxylase			SZUA-1128_547:406..987	hypothetical protein	K09459	K09459		K09459	K06034
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01633	K03430	[EC:2.6.1.37]	phnW	2-aminoethylphosphonate-pyruvate transaminase	07THD@bactNOG,COG0075@NOG	Involved in phosphonate degradation (By similarity)			SZUA-1128_547:984..2048	2-aminoethylphosphonate--pyruvate transaminase	K03430	K03430		K03430	K18608
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01634									SZUA-1128_548:7..390	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01635									SZUA-1128_548:733..912	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01636									SZUA-1128_548:1066..1272	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01637									SZUA-1128_548:1320..1511	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01638									SZUA-1128_549:c(111..419)	hypothetical protein					
