#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00001					05GRK@bactNOG,11NHI@NOG	Gcn5-related n-acetyltransferase			SZUA-1123_1:101..577	Mycothiol acetyltransferase					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02249	K01940	[EC:6.3.4.5]	argG, ASS1	argininosuccinate synthase	05CDH@bactNOG,0ENXQ@cloNOG,0NDD7@firmNOG,COG0137@NOG	Citrulline--aspartate ligase			SZUA-1123_126:8042..9241	Argininosuccinate synthase	K01940	K01940	K01940	K01940	K01940
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02250	K01755	[EC:4.3.2.1]	argH, ASL	argininosuccinate lyase	05CH7@bactNOG,0ENZ6@cloNOG,0NE63@firmNOG,COG0165@NOG	Arginosuccinase			SZUA-1123_126:9441..10835	Argininosuccinate lyase	K01755	K01755		K01755	K14681
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02251									SZUA-1123_126:11149..11799	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02252	K00208	[EC:1.3.1.9][EC:1.3.1.10]	fabI	enoyl-[acyl-carrier protein] reductase I	0039A@aciNOG,05CSJ@bactNOG,COG0623@NOG	Enoyl- acyl-carrier-protein reductase NADH			SZUA-1123_126:11866..12642	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI	K00208	K00208		K00208	K11611
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02253									SZUA-1123_126:12681..12920	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02254	K00809	[EC:2.5.1.46]	DHPS, dys	deoxyhypusine synthase	05E0R@bactNOG,0D31A@chloNOG,COG1899@NOG	Deoxyhypusine synthase			SZUA-1123_126:13248..14399	Deoxyhypusine synthase-like protein	K00809	K00809		K00809	K00809
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02255	K06920	[EC:6.3.4.20]	queC	7-cyano-7-deazaguanine synthase	06398@bactNOG,COG0603@NOG	Pfam:ExsB			SZUA-1123_126:c(14533..15270)	7-cyano-7-deazaguanine synthase	K06920	K06920		K06920	K06920
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02256	K01737	[EC:4.2.3.12][EC:4.1.2.50]	queD, ptpS, PTS	6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase	083IA@bactNOG,154WP@plaNOG,COG0720@NOG	6-pyruvoyl tetrahydrobiopterin synthase			SZUA-1123_126:15279..15734	hypothetical protein	K01737	K01737		K01737	K01737
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02257	K03709		troR	DtxR family transcriptional regulator, Mn-dependent transcriptional regulator	08ZBF@bactNOG,1DHWH@verNOG,COG1321@NOG	Iron (Metal) dependent repressor, DtxR family			SZUA-1123_126:c(15819..16487)	Iron-dependent repressor IdeR	K03709	K03709		K03709	K11924
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02258	K20219	[EC:1.10.3.4]	phsA	o-aminophenol oxidase	0134D@actNOG,05CEI@bactNOG,COG2132@NOG	Multicopper oxidase			SZUA-1123_126:16548..17648	Copper-containing nitrite reductase	K20219				K20219
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02259					08PGX@bactNOG,0D5QH@chloNOG,1110F@NOG	ZIP Zinc transporter			SZUA-1123_126:17638..18867	Zinc transporter ZupT					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02260									SZUA-1123_126:18961..19419	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02261									SZUA-1123_126:19595..20038	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02262									SZUA-1123_126:20031..20462	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02263									SZUA-1123_126:20675..21133	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02264	K21832		gbcB	glycine betaine catabolism B	083XR@bactNOG,156DC@plaNOG,COG0633@NOG	2Fe-2S iron-sulfur cluster binding domain			SZUA-1123_126:c(21108..21458)	Na(+)-translocating NADH-quinone reductase subunit F	K21832				K21832
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02265	K07749	[EC:2.8.3.16]	frc	formyl-CoA transferase	05C04@bactNOG,0EPR7@cloNOG,0NE52@firmNOG,COG1804@NOG	L-carnitine dehydratase bile acid-inducible protein F			SZUA-1123_126:c(21572..22792)	Acetyl-CoA:oxalate CoA-transferase	K07749			K07749	K20882
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02266	K20615	[EC:4.2.1.145]	vioD	capreomycidine synthase	07QXA@bactNOG,COG0436@NOG	Aminotransferase			SZUA-1123_126:c(22864..24003)	Capreomycidine synthase	K20615				K20615
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02267	K09760		rmuC	DNA recombination protein RmuC	05CGY@bactNOG,0GBMT@delNOG,0HDK8@dproNOG,16PXF@proNOG,COG1322@NOG	RmuC family			SZUA-1123_126:c(24085..25494)	hypothetical protein	K09760	K09760		K09760	K09760
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02268	K12339	[EC:2.5.1.47]	cysM	cysteine synthase B	05C6T@bactNOG,0QII0@gproNOG,16Q08@proNOG,COG0031@NOG	Cysteine synthase			SZUA-1123_126:25705..27042	Cysteine synthase B	K12339	K12339		K01697	K21949
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02269	K21140	[EC:3.13.1.6]	mec	[CysO sulfur-carrier protein]-S-L-cysteine hydrolase	05XRN@bactNOG,COG1310@NOG	mov34 mpn pad-1 family protein			SZUA-1123_126:27097..27507	hypothetical protein	K21140				K21140
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02270	K03636		moaD, cysO	sulfur-carrier protein	001Q2@acidNOG,005KE@aciNOG,05K8D@bactNOG,COG1977@NOG	sulfur carrier protein ThiS			SZUA-1123_126:27579..27890	Sulfur carrier protein CysO	K03636	K03636			K21142
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02271	K21147	[EC:2.7.7.80][EC:2.7.7.-][EC:2.8.1.11][EC:2.8.1.-]	moeZR, moeBR	sulfur-carrier protein adenylyltransferase/sulfurtransferase	003XX@aciNOG,05D06@bactNOG,COG0476@NOG,COG0607@NOG	UBA THIF-type NAD FAD binding protein			SZUA-1123_126:27887..29062	putative adenylyltransferase/sulfurtransferase MoeZ	K21147	K21147	K21147	K03148	K21147
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02272	K13771		nsrR	Rrf2 family transcriptional regulator, nitric oxide-sensitive transcriptional repressor	0015K@acidNOG,004HB@aciNOG,05GZ5@bactNOG,COG1959@NOG	Rrf2 family			SZUA-1123_126:29102..29590	HTH-type transcriptional regulator IscR	K13771			K13771	K17472
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02273	K04487	[EC:2.8.1.7]	iscS, NFS1	cysteine desulfurase	0010M@acidNOG,003G1@aciNOG,07QI6@bactNOG,COG1104@NOG	Catalyzes the removal of elemental sulfur from cysteine to produce alanine (By similarity)			SZUA-1123_126:29746..30948	Cysteine desulfurase IscS	K04487	K04487		K04487	K04487
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02274	K13628		iscA	iron-sulfur cluster assembly protein	08Z4V@bactNOG,0GFSD@delNOG,0HH7E@dproNOG,17C3M@proNOG,COG0316@NOG	iron-sulfur cluster assembly			SZUA-1123_126:31170..31496	Iron-binding protein IscA	K13628	K13628		K05997	K22072
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02275	K00697	[EC:2.4.1.15][EC:2.4.1.347]	otsA	trehalose 6-phosphate synthase	05C1K@bactNOG,16PYM@proNOG,COG0380@NOG	alpha-alpha-trehalose-phosphate synthase			SZUA-1123_126:31655..33217	Trehalose-6-phosphate synthase	K00697	K00697		K00697	K20436
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02276									SZUA-1123_126:c(33556..34461)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02277					005ZZ@aciNOG,05D9A@bactNOG,0XPNR@NOG	Thiol-disulfide isomerase			SZUA-1123_126:c(34478..35629)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02278									SZUA-1123_126:c(35693..35803)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02279									SZUA-1123_126:c(35981..36199)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02280	K21088	[EC:2.7.7.65]	ydaM	diguanylate cyclase	08IU5@bactNOG,COG2199@NOG	Diguanylate cyclase and metal dependent phosphohydrolase			SZUA-1123_126:c(36592..38391)	Cyclic di-GMP phosphodiesterase	K21088				K21088
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02281	K02035		ABC.PE.S	peptide/nickel transport system substrate-binding protein	0059I@aciNOG,07QRA@bactNOG,COG0747@NOG	Bacterial extracellular solute-binding proteins, family 5 Middle			SZUA-1123_126:38868..39080	hypothetical protein	K02035			K02035	K19226
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02282	K12941		abgB	aminobenzoyl-glutamate utilization protein B	07SEZ@bactNOG,COG1473@NOG	amidohydrolase			SZUA-1123_126:c(39211..40857)	p-aminobenzoyl-glutamate hydrolase subunit B	K12941	K12941		K12941	K21613
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02283	K12941		abgB	aminobenzoyl-glutamate utilization protein B	07SEZ@bactNOG,COG1473@NOG	amidohydrolase			SZUA-1123_126:c(40952..42595)	p-aminobenzoyl-glutamate hydrolase subunit B	K12941	K12941		K12941	K21613
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02284					06QQJ@bactNOG,0YGKA@NOG,17ZTP@proNOG				SZUA-1123_127:c(85..1071)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02285	K07148		K07148	uncharacterized protein	05DHF@bactNOG,09B02@bctoNOG,COG2311@NOG	Protein of unknown function (DUF418)			SZUA-1123_127:c(1314..2549)	hypothetical protein	K07148	K07148	K07148	K07148	K07148
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02286					00NV6@actNOG,090YX@bactNOG,11QVE@NOG	type I phosphodiesterase nucleotide pyrophosphatase			SZUA-1123_127:3144..4118	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02287					05V60@bactNOG,0QUDF@gproNOG,120CX@NOG,17J4I@proNOG	FG-GAP repeat lipoprotein			SZUA-1123_127:4386..5987	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02288									SZUA-1123_127:6502..7002	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02289	K00117	[EC:1.1.5.2]	gcd	quinoprotein glucose dehydrogenase	05DZG@bactNOG,16RK0@proNOG,COG4993@NOG	Dehydrogenase			SZUA-1123_127:7346..9334	Quinoprotein glucose dehydrogenase	K00117	K00117		K00117	K20937
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02290	K00117	[EC:1.1.5.2]	gcd	quinoprotein glucose dehydrogenase	05DZG@bactNOG,16RK0@proNOG,COG3245@NOG,COG4993@NOG	Cytochrome			SZUA-1123_127:9445..11559	Quinoprotein glucose dehydrogenase	K00117	K00117		K00117	K20937
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02291	K01607	[EC:4.1.1.44]	pcaC	4-carboxymuconolactone decarboxylase	00KY5@actNOG,08YCJ@bactNOG,COG2128@NOG	carboxymuconolactone decarboxylase			SZUA-1123_127:11644..12867	hypothetical protein	K01607			K01607	K04756
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02292					025YI@aproNOG,08RC3@bactNOG,11FTB@NOG,18AQ3@proNOG				SZUA-1123_127:12945..14096	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02293	K00114	[EC:1.1.2.8]	exaA	alcohol dehydrogenase (cytochrome c)	05DZG@bactNOG,COG4993@NOG	Dehydrogenase			SZUA-1123_127:14386..16035	Quinohemoprotein alcohol dehydrogenase ADH IIB	K00114			K00114	K20937
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02294					08K5B@bactNOG,10AAT@NOG,176WC@proNOG				SZUA-1123_127:16095..17057	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02295					06QQJ@bactNOG,0YGKA@NOG,17ZTP@proNOG				SZUA-1123_127:c(17275..18249)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02296	K02510	[EC:4.1.2.52]	hpaI, hpcH	4-hydroxy-2-oxoheptanedioate aldolase	07X3R@bactNOG,COG3836@NOG	Aldolase			SZUA-1123_127:c(18246..19211)	2-keto-3-deoxy-L-rhamnonate aldolase	K02510	K02510		K02510	K12660
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02297					07JYP@bactNOG,0R66X@gproNOG,0ZPVF@NOG,18CWQ@proNOG				SZUA-1123_127:c(19234..19647)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02298					06QQJ@bactNOG,0YGKA@NOG,17ZTP@proNOG				SZUA-1123_127:c(19652..20611)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02299					06BGT@bactNOG,0Y273@NOG,17TZN@proNOG				SZUA-1123_127:c(20608..21615)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02300	K00117	[EC:1.1.5.2]	gcd	quinoprotein glucose dehydrogenase	05D7H@bactNOG,COG2303@NOG,COG4993@NOG	oxidoreductase			SZUA-1123_127:c(21632..23581)	Quinate/shikimate dehydrogenase (quinone)	K00117	K00117		K00117	K20937
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02301					08RVT@bactNOG,11GGS@NOG,17RVZ@proNOG	Domain of Unknown Function (DUF1080)			SZUA-1123_127:c(23657..24280)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02302									SZUA-1123_127:c(24348..24548)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02303	K17105	[EC:2.5.1.42]	E2.5.1.42	geranylgeranylglycerol-phosphate geranylgeranyltransferase	0KSZ2@eurNOG,COG0382@NOG,arCOG00476@arNOG	UbiA prenyltransferase family			SZUA-1123_127:c(24637..25650)	Protoheme IX farnesyltransferase	K17105	K17105		K17105	
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02304									SZUA-1123_127:c(25765..26292)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02305	K06133	[EC:2.7.8.-]	LYS5, acpT	4'-phosphopantetheinyl transferase	05W8Z@bactNOG,0GHQX@delNOG,0HEC9@dproNOG,17JZT@proNOG,COG2091@NOG	4'-phosphopantetheinyl transferase			SZUA-1123_127:c(26416..27174)	4'-phosphopantetheinyl transferase Sfp	K06133	K06133	K06133	K06133	K06133
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02306	K07498		K07498	putative transposase	05D0P@bactNOG,0GD0Q@delNOG,0HCC7@dproNOG,175EJ@proNOG,COG1409@NOG	ser thr protein phosphatase family protein			SZUA-1123_127:c(27182..28105)	hypothetical protein	K07498			K07498	K03651
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02307	K08974		K08974	putative membrane protein	05D4H@bactNOG,1ANRR@spiNOG,COG2035@NOG	Integral membrane protein			SZUA-1123_128:7..531	hypothetical protein	K08974			K08974	K08974
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02308					05D9A@bactNOG,0XPNR@NOG	alkyl hydroperoxide reductase Thiol specific antioxidant Mal allergen			SZUA-1123_128:c(873..2168)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02309									SZUA-1123_128:c(2186..3052)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02310	K00117	[EC:1.1.5.2]	gcd	quinoprotein glucose dehydrogenase	07QQQ@bactNOG,COG4993@NOG	Pfam:PQQ_N			SZUA-1123_128:c(3076..5070)	Quinoprotein glucose dehydrogenase	K00117	K00117		K00117	K20937
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02311	K02510	[EC:4.1.2.52]	hpaI, hpcH	4-hydroxy-2-oxoheptanedioate aldolase	07X3R@bactNOG,COG3836@NOG	Aldolase			SZUA-1123_128:c(5080..5859)	2-dehydro-3,6-dideoxy-6-sulfogluconate aldolase	K02510	K02510		K02510	K12660
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02312					05TM5@bactNOG,09GTM@bctoNOG,0PBSJ@flaNOG,120DJ@NOG				SZUA-1123_128:6660..8000	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02313	K19702	[EC:3.4.11.24]	E3.4.11.24	aminopeptidase S	004CD@aciNOG,07SZT@bactNOG,COG2234@NOG	Peptidase M28			SZUA-1123_128:c(8168..9760)	Aminopeptidase YwaD	K19702			K19702	K19702
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02314	K01426	[EC:3.5.1.4]	E3.5.1.4, amiE	amidase	05DV0@bactNOG,0GB6N@delNOG,0HCJY@dproNOG,16RB9@proNOG,COG0154@NOG	amidase EC 3.5.1.4			SZUA-1123_128:c(9889..11385)	Acylamidase	K01426	K01426	K19176	K01426	K21801
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02315	K07130	[EC:3.5.1.9]	kynB	arylformamidase	06IPI@bactNOG,0QQK8@gproNOG,16QBM@proNOG,COG1878@NOG	cyclase family			SZUA-1123_128:c(11382..12206)	Kynurenine formamidase	K07130				K07130
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02316									SZUA-1123_128:c(12225..12503)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02317									SZUA-1123_129:151..2328	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02318	K07001		K07001	NTE family protein	05D45@bactNOG,0QHZS@gproNOG,16PGK@proNOG,COG1752@NOG	K07001 NTE family protein			SZUA-1123_129:2347..3591	hypothetical protein	K07001	K07001		K07001	K14676
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02319									SZUA-1123_129:3607..4308	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02320	K01465	[EC:3.5.2.3]	URA4, pyrC	dihydroorotase	0065N@aciNOG,07R6B@bactNOG,COG3653@NOG	D-aminoacylase, C-terminal region			SZUA-1123_129:c(4584..6050)	N-acyl-D-glutamate deacylase	K01465			K01465	
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02321	K03319		TC.DASS	divalent anion:Na+ symporter, DASS family	00635@aciNOG,07QPK@bactNOG,COG0471@NOG	Sodium:sulfate symporter transmembrane region			SZUA-1123_129:c(6213..7655)	Putative malate transporter YflS	K03319	K03319		K03319	K14445
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02322	K00626	[EC:2.3.1.9]	E2.3.1.9, atoB	acetyl-CoA C-acetyltransferase	01QDE@aproNOG,05CHU@bactNOG,16PGG@proNOG,COG0183@NOG	Beta-ketoadipyl CoA thiolase			SZUA-1123_129:c(7668..8873)	3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase	K00626	K00626		K00626	K07823
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02323									SZUA-1123_129:c(9069..10094)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02324					08VSI@bactNOG,11JZF@NOG				SZUA-1123_130:16..369	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02325					05RWW@bactNOG,0XSZ2@NOG,1543T@plaNOG				SZUA-1123_130:479..1411	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02326	K06999		K06999	phospholipase/carboxylesterase	06CJB@bactNOG,0QP91@gproNOG,177VB@proNOG,COG0400@NOG	Carboxylesterase			SZUA-1123_130:1579..2196	Carboxylesterase 2	K06999	K06999	K06130	K06999	K06999
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02327	K01322	[EC:3.4.21.26]	PREP	prolyl oligopeptidase	08IE3@bactNOG,0D5Y9@chloNOG,COG1505@NOG	Prolyl oligopeptidase, N-terminal beta-propeller domain			SZUA-1123_130:2247..4409	Prolyl endopeptidase	K01322	K01322		K01322	K01322
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02328	K19702	[EC:3.4.11.24]	E3.4.11.24	aminopeptidase S	05GNE@bactNOG,09C5G@bctoNOG,COG2234@NOG	peptidase m28			SZUA-1123_130:4544..6202	Bacterial leucyl aminopeptidase	K19702				K19702
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02329					08V86@bactNOG,0QRMX@gproNOG,11G1J@NOG,17864@proNOG	Inherit from proNOG: (l31491) orf2			SZUA-1123_130:c(6205..6783)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02330					05FD1@bactNOG,0QKJ8@gproNOG,0XS6R@NOG,16T21@proNOG	Inherit from proNOG: membrAne			SZUA-1123_130:c(6794..7660)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02331					067K4@bactNOG,0Y6I1@NOG,152YK@plaNOG	PQQ			SZUA-1123_130:7714..8955	Serine/threonine-protein kinase AfsK					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02332									SZUA-1123_130:9583..10623	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02333	K00082	[EC:1.1.1.193]	ribD2	5-amino-6-(5-phosphoribosylamino)uracil reductase	07YK0@bactNOG,0QQXY@gproNOG,17EZ4@proNOG,COG1985@NOG	Bifunctional deaminase-reductase-like protein			SZUA-1123_131:c(276..1145)	Riboflavin biosynthesis protein RibD	K00082			K00082	K14654
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02334	K01497	[EC:3.5.4.25]	ribA, RIB1	GTP cyclohydrolase II	07T1C@bactNOG,0QI8W@gproNOG,16UQ7@proNOG,COG0807@NOG	Catalyzes the conversion of GTP to 2,5-diamino-6- ribosylamino-4(3H)-pyrimidinone 5'-phosphate (DARP), formate and pyrophosphate (By similarity)			SZUA-1123_131:1211..2377	GTP cyclohydrolase-2	K01497	K01497		K01497	K14652
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02335	K01470	[EC:3.5.2.10]	E3.5.2.10	creatinine amidohydrolase	05ERS@bactNOG,0QRGG@gproNOG,16PXQ@proNOG,COG1402@NOG	K01470 creatinine amidohydrolase EC 3.5.2.10			SZUA-1123_131:c(2391..3191)	Putative mycofactocin system creatinine amidohydrolase family protein MftE	K01470	K01470		K01470	K14653
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02336					088G6@bactNOG,0GIT1@delNOG,0HJCT@dproNOG,11QJQ@NOG,16XWX@proNOG	methyltransferase			SZUA-1123_131:c(3206..4081)	Demethylrebeccamycin-D-glucose O-methyltransferase					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02337					00FYY@actNOG,08S94@bactNOG,11FJZ@NOG	Methyltransferase FkbM family			SZUA-1123_131:c(4111..4917)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02338									SZUA-1123_131:4952..5395	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02339					07UK6@bactNOG,0BIK8@bproNOG,0XS76@NOG,16T2C@proNOG	Sulfatase			SZUA-1123_131:5400..7049	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02340	K06896	[EC:3.1.3.90]	mapP	maltose 6'-phosphate phosphatase	08KC3@bactNOG,0QV22@gproNOG,17GRR@proNOG,COG3568@NOG	Endonuclease/Exonuclease/phosphatase family			SZUA-1123_131:7049..7912	hypothetical protein	K06896				K06896
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02341	K08884	[EC:2.7.11.1]	K08884	serine/threonine protein kinase, bacterial	05GTK@bactNOG,COG0515@NOG	Serine Threonine protein kinase			SZUA-1123_131:8042..8227	DNA damage-responsive serine/threonine-protein kinase RqkA	K08884			K08884	K22009
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02342					07Y8Q@bactNOG,0GDMJ@delNOG,0HERC@dproNOG,0ZWDJ@NOG,16VWA@proNOG	methyltransferase, type 11			SZUA-1123_131:c(8205..8948)	dTDP-3-amino-3,4, 6-trideoxy-alpha-D-glucopyranose					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02343					08VDJ@bactNOG,11I92@NOG,17ZEV@proNOG	Methyltransferase Type			SZUA-1123_131:c(9098..10363)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02344	K18455	[EC:3.5.1.115]	mca	mycothiol S-conjugate amidase	06UB8@bactNOG,0D5JJ@chloNOG,COG2120@NOG	GlcNAc-PI de-N-acetylase			SZUA-1123_131:c(10369..11199)	putative N-acetyl-alpha-D-glucosaminyl L-malate deacetylase 2	K18455				K18455
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02345	K21586	[EC:2.4.1.343]	wclR	UDP-Gal:alpha-D-GlcNAc-diphosphoundecaprenol alpha-1,3-galactosyltransferase	05DRF@bactNOG,0G9PB@deiNOG,COG0438@NOG	Glycosyl transferases group 1			SZUA-1123_131:c(11207..12289)	Phosphatidyl-myo-inositol mannosyltransferase	K21586				K21586
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02346					08MSV@bactNOG,0GDHZ@delNOG,0HEE2@dproNOG,0YFE5@NOG,177UM@proNOG				SZUA-1123_131:c(12286..13407)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02347	K06147		ABCB-BAC	ATP-binding cassette, subfamily B, bacterial	05BZ1@bactNOG,COG1132@NOG	(ABC) transporter			SZUA-1123_131:c(13404..15236)	Putative multidrug export ATP-binding/permease protein	K06147			K06147	K20485
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02348					07FVP@bactNOG,0Y9RY@NOG				SZUA-1123_131:15313..16917	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02349	K07064		K07064	uncharacterized protein	05RSR@bactNOG,12079@NOG,184XD@proNOG	Toxic component of a toxin-antitoxin (TA) module. A			SZUA-1123_131:c(16968..17399)	Ribonuclease VapC37	K07064	K07064	K07064		
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02350					06DJ7@bactNOG,0Y5JK@NOG				SZUA-1123_131:c(17396..17662)	Antitoxin VapB33					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02351	K11940		hspQ	heat shock protein HspQ	08Z54@bactNOG,0R8KG@gproNOG,17CI5@proNOG,COG3785@NOG	Hemimethylated DNA-binding protein YccV like			SZUA-1123_131:c(17964..18278)	Heat shock protein HspQ	K11940	K11940		K11940	K11940
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02352	K00274	[EC:1.4.3.4]	MAO, aofH	monoamine oxidase	01RQZ@aproNOG,05E0E@bactNOG,171F5@proNOG,COG1231@NOG	amine oxidase			SZUA-1123_131:18372..18620	hypothetical protein	K00274	K00274		K00274	K20169
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_02353									SZUA-1123_131:18750..19043	hypothetical protein					
