#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00001	K01265	[EC:3.4.11.18]	map	methionyl aminopeptidase	05CA1@bactNOG,0QICC@gproNOG,16PNP@proNOG,COG0024@NOG	Removes the N-terminal methionine from nascent proteins (By similarity)			SZUA-1235_1:c(428..1207)	Methionine aminopeptidase	K01265	K01265		K01265	K14813
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01480	K00088	[EC:1.1.1.205]	IMPDH, guaB	IMP dehydrogenase	05CP4@bactNOG,0QITP@gproNOG,16Q4Q@proNOG,COG0516@NOG,COG0517@NOG	Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate- limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth (By similarity)			SZUA-1235_89:c(3777..5246)	Inosine-5'-monophosphate dehydrogenase	K00088	K00088	K00088	K00088	K07200
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01481					0739P@bactNOG,0R5BT@gproNOG,0ZC78@NOG,185MT@proNOG				SZUA-1235_89:5597..5920	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01482	K03601	[EC:3.1.11.6]	xseA	exodeoxyribonuclease VII large subunit	05DVS@bactNOG,0QINW@gproNOG,16R8T@proNOG,COG1570@NOG	Bidirectionally degrades single-stranded DNA into large acid-insoluble oligonucleotides, which are then degraded further into small acid-soluble oligonucleotides (By similarity)			SZUA-1235_89:6108..7457	Exodeoxyribonuclease 7 large subunit	K03601	K03601	K03601	K03601	K03601
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01483	K08259	[EC:3.4.24.75]	lytM	lysostaphin	08RPH@bactNOG,0QQE5@gproNOG,174RC@proNOG,COG0739@NOG	peptidase, M23 M37 family			SZUA-1235_89:7450..8274	Murein DD-endopeptidase MepM	K08259			K08259	K21472
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01484									SZUA-1235_89:8399..9415	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01485	K13924	[EC:2.1.1.80][EC:3.1.1.61]	cheBR	two-component system, chemotaxis family, CheB/CheR fusion protein	05BZU@bactNOG,0QIG1@gproNOG,0XNMH@NOG,16PBJ@proNOG	Diguanylate cyclase phosphodiesterase			SZUA-1235_89:9417..12401	Cyclic di-GMP phosphodiesterase PdeB	K13924			K13924	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01486	K03977		engA, der	GTPase	05DKZ@bactNOG,0QKBA@gproNOG,16PU4@proNOG,COG1160@NOG	GTPase that plays an essential role in the late steps of ribosome biogenesis (By similarity)			SZUA-1235_89:c(12502..13896)	GTPase Der	K03977	K03977	K03977	K00058	K03977
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01487	K17713		bamB	outer membrane protein assembly factor BamB	05CNE@bactNOG,0QIHA@gproNOG,17491@proNOG,COG1520@NOG	Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane (By similarity)			SZUA-1235_89:c(13919..15082)	Outer membrane protein assembly factor BamB	K17713	K17713		K12132	K20853
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01488					05N21@bactNOG,0QSCQ@gproNOG,17CR4@proNOG,COG2976@NOG	Pfam:DUF2133			SZUA-1235_89:c(15086..15751)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01489	K01892	[EC:6.1.1.21]	HARS, hisS	histidyl-tRNA synthetase	05CUT@bactNOG,0QIQ9@gproNOG,16PEA@proNOG,COG0124@NOG	histidyl-tRNA synthetase			SZUA-1235_89:c(15769..17043)	Histidine--tRNA ligase	K01892	K01892	K01892	K01892	K01892
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01490	K03526	[EC:1.17.7.1][EC:1.17.7.3]	gcpE, ispG	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase	05C4E@bactNOG,0QJTB@gproNOG,16PQ2@proNOG,COG0821@NOG	Converts 2C-methyl-D-erythritol 2,4-cyclodiphosphate (ME-2,4cPP) into 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate (By similarity)			SZUA-1235_89:c(17040..18131)	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)	K03526	K03526		K03526	K03526
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01491	K02656		pilF	type IV pilus assembly protein PilF	090FY@bactNOG,0QSCE@gproNOG,17DG2@proNOG,COG3063@NOG	type IV pilus biogenesis stability protein PilW			SZUA-1235_89:c(18137..18883)	Photosystem I assembly protein Ycf3	K02656	K02656	K02656	K02656	K02656
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01492	K06941	[EC:2.1.1.192]	rlmN	23S rRNA (adenine2503-C2)-methyltransferase	05C55@bactNOG,0QHV0@gproNOG,16PVK@proNOG,COG0820@NOG	Specifically methylates position 2 of adenine 2503 in 23S rRNA and position 2 of adenine 37 in tRNAs. m2A2503 modification seems to play a crucial role in the proofreading step occurring at the peptidyl transferase center and thus would serve to optimize ribosomal fidelity (By similarity)			SZUA-1235_89:c(18880..19995)	Dual-specificity RNA methyltransferase RlmN	K06941	K06941		K06941	K06941
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01493	K13628		iscA	iron-sulfur cluster assembly protein	08Z4V@bactNOG,0QSA9@gproNOG,17C3M@proNOG,COG0316@NOG	Is able to transfer iron-sulfur clusters to apo- ferredoxin. Multiple cycles of 2Fe2S cluster formation and transfer are observed, suggesting that IscA acts catalytically. Recruits intracellular free iron so as to provide iron for the assembly of transient iron-sulfur cluster in IscU in the presence of IscS, L-cysteine and the thioredoxin reductase system TrxA TrxB (By similarity)			SZUA-1235_89:c(20158..20481)	Iron-binding protein IscA	K13628	K13628		K05997	K22072
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01494	K00640	[EC:2.3.1.30]	cysE	serine O-acetyltransferase	05D7W@bactNOG,0QIXU@gproNOG,16S5E@proNOG,COG1045@NOG	serine acetyltransferase			SZUA-1235_89:c(20685..21464)	Serine acetyltransferase	K00640	K00640		K00640	K03819
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01495	K15396	[EC:2.1.1.200]	trmJ	tRNA (cytidine32/uridine32-2'-O)-methyltransferase	05CVS@bactNOG,0QIVX@gproNOG,16QCD@proNOG,COG0565@NOG	RNA methyltransferase, TrmH family, group 1			SZUA-1235_89:c(21468..22208)	tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ	K15396	K15396		K02533	K15396
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01496	K01092	[EC:3.1.3.25]	E3.1.3.25, IMPA, suhB	myo-inositol-1(or 4)-monophosphatase	05ECY@bactNOG,0QIXK@gproNOG,16Q31@proNOG,COG0483@NOG	inositol monophosphatase			SZUA-1235_89:22241..23086	Inositol-1-monophosphatase	K01092	K01092	K01092	K01092	K05602
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01497	K13924	[EC:2.1.1.80][EC:3.1.1.61]	cheBR	two-component system, chemotaxis family, CheB/CheR fusion protein	05BZU@bactNOG,0QIG1@gproNOG,0XNMH@NOG,16PBJ@proNOG	Diguanylate cyclase phosphodiesterase			SZUA-1235_89:c(23099..25513)	Cyclic di-GMP phosphodiesterase PdeB	K13924			K13924	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01498					05UTV@bactNOG,0ZXFU@NOG,17TDB@proNOG	Rhodanese-like domain			SZUA-1235_89:c(25488..25871)	putative protein YibN					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01499	K03074		secF	preprotein translocase subunit SecF	07RAB@bactNOG,0QHV8@gproNOG,16QMD@proNOG,COG0341@NOG	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA (By similarity)			SZUA-1235_89:c(26102..27052)	Protein translocase subunit SecF	K03074	K03074	K03074	K03072	K12257
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01500	K03072		secD	preprotein translocase subunit SecD	07QN8@bactNOG,0QIYM@gproNOG,16Q35@proNOG,COG0342@NOG	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA (By similarity)			SZUA-1235_89:c(27065..28918)	Protein translocase subunit SecD	K03072	K03072	K03072	K03072	K12257
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01501	K03210		yajC	preprotein translocase subunit YajC	05VIE@bactNOG,0BEPJ@bproNOG,17GVC@proNOG,COG1862@NOG	Preprotein translocase subunit YajC			SZUA-1235_89:c(28934..29266)	Sec translocon accessory complex subunit YajC	K03210	K03210		K03210	K03210
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01502	K00773	[EC:2.4.2.29]	tgt, QTRT1	queuine tRNA-ribosyltransferase	05C6U@bactNOG,0QI58@gproNOG,16PK2@proNOG,COG0343@NOG	Exchanges the guanine residue with 7-aminomethyl-7- deazaguanine in tRNAs with GU(N) anticodons (tRNA-Asp, -Asn, -His and -Tyr). After this exchange, a cyclopentendiol moiety is attached to the 7-aminomethyl group of 7-deazaguanine, resulting in the hypermodified nucleoside queuosine (Q) (7-(((4,5-cis- dihydroxy-2-cyclopenten-1-yl)amino)methyl)-7-deazaguanosine) (By similarity)			SZUA-1235_89:c(29345..30463)	Queuine tRNA-ribosyltransferase	K00773	K00773		K00773	K18779
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01503	K07568	[EC:2.4.99.17]	queA	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	05E2N@bactNOG,0QHXF@gproNOG,16QE7@proNOG,COG0809@NOG	Transfers and isomerizes the ribose moiety from AdoMet to the 7-aminomethyl group of 7-deazaguanine (preQ1-tRNA) to give epoxyqueuosine (oQ-tRNA) (By similarity)			SZUA-1235_89:c(30699..31724)	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	K07568	K07568		K07568	K07568
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01505	K02461		gspL	general secretion pathway protein L	08BY5@bactNOG,16V7X@proNOG,COG3297@NOG	Involved in a type II secretion system (T2SS, formerly general secretion pathway, GSP) for the export of proteins (By similarity)			SZUA-1235_90:68..898	hypothetical protein	K02461			K02461	K02461
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01506	K02462		gspM	general secretion pathway protein M	05U1E@bactNOG,0QTWE@gproNOG,17FHW@proNOG,COG3149@NOG	General secretion pathway			SZUA-1235_90:895..1383	Type II secretion system protein M	K02462			K02462	K02462
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01507	K02463		gspN	general secretion pathway protein N	05PIC@bactNOG,0QUBW@gproNOG,11VYH@NOG,17G8C@proNOG	general secretion pathway protein N			SZUA-1235_90:1380..2132	hypothetical protein	K02463	K02463		K02463	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01508					05EBV@bactNOG,0R9NA@gproNOG,0Z7FM@NOG,16RZF@proNOG	TPR			SZUA-1235_90:c(2216..4603)	Beta-barrel assembly-enhancing protease					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01509	K02851	[EC:2.7.8.33][EC:2.7.8.35]	wecA, tagO, rfe	UDP-GlcNAc:undecaprenyl-phosphate/decaprenyl-phosphate GlcNAc-1-phosphate transferase	05ESV@bactNOG,0GDRQ@delNOG,0HDVD@dproNOG,16TER@proNOG,COG0472@NOG	Glycosyl transferase, family 4			SZUA-1235_90:c(4691..5836)	putative undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase	K02851	K02851		K02851	K13685
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01510									SZUA-1235_91:c(619..720)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01511	K03218	[EC:2.1.1.185]	rlmB	23S rRNA (guanosine2251-2'-O)-methyltransferase	05C2N@bactNOG,0QIUQ@gproNOG,16QNB@proNOG,COG0566@NOG	Specifically methylates the ribose of guanosine 2251 in 23S rRNA (By similarity)			SZUA-1235_91:c(780..1529)	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB	K03218	K03218		K03218	K21514
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01512	K12573	[EC:3.1.-.-]	rnr, vacB	ribonuclease R	05C40@bactNOG,0QI34@gproNOG,16PCP@proNOG,COG0557@NOG	3'-5' exoribonuclease that releases 5'-nucleoside monophosphates and is involved in maturation of structured RNAs (By similarity)			SZUA-1235_91:c(1526..2356)	Ribonuclease R	K12573	K12573		K01147	K19782
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01513	K09806		K09806	uncharacterized protein	05W0Z@bactNOG,0QVPC@gproNOG,17K9J@proNOG,COG2960@NOG	cytoplasmic protein			SZUA-1235_92:151..399	putative protein YqiC	K09806	K09806		K09806	K09806
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01514	K07391		comM	magnesium chelatase family protein	05C0P@bactNOG,0QI1Q@gproNOG,16PMU@proNOG,COG0606@NOG	Mg chelatase subunit ChlI			SZUA-1235_92:439..1953	Competence protein ComM	K07391	K07391	K07391	K07391	K07391
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01515									SZUA-1235_92:c(1843..2067)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01516									SZUA-1235_93:c(215..316)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01517	K09861		K09861	uncharacterized protein	05D1Q@bactNOG,0QIYP@gproNOG,16QSD@proNOG,COG3022@NOG	UPF0246 protein			SZUA-1235_93:c(360..1127)	hypothetical protein	K09861	K09861		K09861	K09861
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01518	K01438	[EC:3.5.1.16]	argE	acetylornithine deacetylase	05CWC@bactNOG,0QJS9@gproNOG,16PCV@proNOG,COG0624@NOG	Acetylornithine deacetylase			SZUA-1235_93:1191..2360	Acetylornithine deacetylase	K01438	K01438		K01438	K20895
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01519	K14682	[EC:2.3.1.1]	argAB	amino-acid N-acetyltransferase	08EKC@bactNOG,0RA1Z@gproNOG,170ZX@proNOG,COG0548@NOG,COG1246@NOG	N-acetylglutamate synthase			SZUA-1235_93:2371..3696	Amino-acid acetyltransferase	K14682	K14682	K14682	K14682	K14682
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01520	K00939	[EC:2.7.4.3]	adk, AK	adenylate kinase	05CC8@bactNOG,0GDI0@delNOG,0HF4B@dproNOG,16PD5@proNOG,COG0563@NOG	Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism (By similarity)			SZUA-1235_93:3860..4504	Adenylate kinase	K00939	K00939		K00939	K13800
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01521	K01602	[EC:4.1.1.39]	rbcS	ribulose-bisphosphate carboxylase small chain	08VFZ@bactNOG,0QSJY@gproNOG,17BNA@proNOG,COG4451@NOG	Ribulose-bisphosphate carboxylase (EC 4.1.1.39)			SZUA-1235_94:c(571..1005)	Ribulose bisphosphate carboxylase small chain, chromosomal	K01602	K01602		K01602	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01522	K01601	[EC:4.1.1.39]	rbcL	ribulose-bisphosphate carboxylase large chain	05DT1@bactNOG,0QKIR@gproNOG,16RD8@proNOG,COG1850@NOG	RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate. Both reactions occur simultaneously and in competition at the same active site			SZUA-1235_94:c(1020..2492)	Ribulose bisphosphate carboxylase large chain	K01601	K01601		K01601	K08965
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01523	K21703		cbbR, cmpR, ndhR	LysR family transcriptional regulator, low CO2-responsive transcriptional regulator	05DUM@bactNOG,0B8CT@bproNOG,16RIX@proNOG,COG0583@NOG	Transcriptional regulator, LysR family			SZUA-1235_94:2725..3615	HTH-type transcriptional activator CmpR	K21703	K21703		K04761	K21960
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01524					08WD5@bactNOG,0QQB8@gproNOG,11KNT@NOG,179K3@proNOG	pyridoxamine 5'-phosphate oxidase-related, FMN-binding			SZUA-1235_94:c(3612..4106)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01527	K03073		secE	preprotein translocase subunit SecE	05PM1@bactNOG,0QTZ0@gproNOG,17HW9@proNOG,COG0690@NOG	preprotein translocase subunit SecE			SZUA-1235_95:258..635	Protein translocase subunit SecE	K03073	K03073		K03073	K03073
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01528	K02601		nusG	transcriptional antiterminator NusG	05E5V@bactNOG,0QIGQ@gproNOG,16R26@proNOG,COG0250@NOG	Participates in transcription elongation, termination and antitermination (By similarity)			SZUA-1235_95:636..1172	Transcription termination/antitermination protein NusG	K02601	K02601		K02601	K05785
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01529	K02867		RP-L11, MRPL11, rplK	large subunit ribosomal protein L11	08UIK@bactNOG,0QQ09@gproNOG,177SZ@proNOG,COG0080@NOG	This protein binds directly to 23S ribosomal RNA (By similarity)			SZUA-1235_95:1266..1700	50S ribosomal protein L11	K02867	K02867	K02867	K02867	K02870
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01530	K02863		RP-L1, MRPL1, rplA	large subunit ribosomal protein L1	05C64@bactNOG,0QI3C@gproNOG,16PIW@proNOG,COG0081@NOG	Binds directly to 23S rRNA. The L1 stalk is quite mobile in the ribosome, and is involved in E site tRNA release (By similarity)			SZUA-1235_95:1701..2396	50S ribosomal protein L1	K02863	K02863	K02863	K02863	K02865
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01531	K02864		RP-L10, MRPL10, rplJ	large subunit ribosomal protein L10	08VZM@bactNOG,0QPXR@gproNOG,177S6@proNOG,COG0244@NOG	50S ribosomal protein L10			SZUA-1235_95:2611..3135	50S ribosomal protein L10	K02864	K02864	K02864	K02864	K14815
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01532	K02935		RP-L7, MRPL12, rplL	large subunit ribosomal protein L7/L12	05KBC@bactNOG,0QTKX@gproNOG,17FF2@proNOG,COG0222@NOG	Seems to be the binding site for several of the factors involved in protein synthesis and appears to be essential for accurate translation (By similarity)			SZUA-1235_95:3213..3590	50S ribosomal protein L7/L12	K02935	K02935		K02935	K02935
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01533	K03043	[EC:2.7.7.6]	rpoB	DNA-directed RNA polymerase subunit beta	08IIJ@bactNOG,0RAQH@gproNOG,172SA@proNOG,COG0085@NOG	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)			SZUA-1235_95:3732..7805	DNA-directed RNA polymerase subunit beta	K03043	K03043	K03043	K03043	K13798
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01534	K03046	[EC:2.7.7.6]	rpoC	DNA-directed RNA polymerase subunit beta'	05D27@bactNOG,0QJIU@gproNOG,16PNC@proNOG,COG0086@NOG	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)			SZUA-1235_95:7816..12039	DNA-directed RNA polymerase subunit beta'	K03046	K03046	K03046	K03046	K13797
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01535	K02950		RP-S12, MRPS12, rpsL	small subunit ribosomal protein S12	08UKE@bactNOG,0QQVP@gproNOG,179N0@proNOG,COG0048@NOG	Interacts with and stabilizes bases of the 16S rRNA that are involved in tRNA selection in the A site and with the mRNA backbone. Located at the interface of the 30S and 50S subunits, it traverses the body of the 30S subunit contacting proteins on the other side and probably holding the rRNA structure together. The combined cluster of proteins S8, S12 and S17 appears to hold together the shoulder and platform of the 30S subunit (By similarity)			SZUA-1235_95:12301..12675	30S ribosomal protein S12	K02950	K02950		K02950	K02973
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01536	K02992		RP-S7, MRPS7, rpsG	small subunit ribosomal protein S7	08UHY@bactNOG,0QJSA@gproNOG,177XJ@proNOG,COG0049@NOG	One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the head domain of the 30S subunit. Is located at the subunit interface close to the decoding center, probably blocks exit of the E-site tRNA (By similarity)			SZUA-1235_95:12701..13174	30S ribosomal protein S7	K02992	K02992	K02992	K02992	K02992
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01537	K02355		fusA, GFM, EFG	elongation factor G	05CEJ@bactNOG,0QHS2@gproNOG,16PY2@proNOG,COG0480@NOG	Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome (By similarity)			SZUA-1235_95:13216..15315	Elongation factor G	K02355	K02355	K02355	K02355	K18220
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01538									SZUA-1235_96:450..668	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01539	K07501		K07501	3'-5' exonuclease	06DFF@bactNOG,0QJD0@gproNOG,16SEG@proNOG,COG3298@NOG	3'-5' exonuclease			SZUA-1235_96:c(847..1620)	hypothetical protein	K07501	K07501		K07501	K07501
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01540	K12339	[EC:2.5.1.47]	cysM	cysteine synthase B	05C6T@bactNOG,0QII0@gproNOG,16Q08@proNOG,COG0031@NOG	Cysteine synthase			SZUA-1235_96:c(1617..2504)	Cysteine synthase B	K12339	K12339		K01697	K21949
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01541					08UVW@bactNOG,0QRJT@gproNOG,11IQX@NOG,17A14@proNOG				SZUA-1235_96:c(2523..3356)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01542	K03578	[EC:3.6.4.13]	hrpA	ATP-dependent helicase HrpA	05CQ7@bactNOG,0QJ4Y@gproNOG,16QKQ@proNOG,COG1643@NOG	ATP-dependent helicase hrpA			SZUA-1235_96:c(3412..7308)	hypothetical protein	K03578	K03578	K12820	K03578	K12820
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01543	K01256	[EC:3.4.11.2]	pepN	aminopeptidase N	05CD8@bactNOG,0QHZX@gproNOG,16QM5@proNOG,COG0308@NOG	aminopeptidase N			SZUA-1235_96:7561..10209	Aminopeptidase N	K01256	K01256	K01256	K01256	K13721
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01544	K13924	[EC:2.1.1.80][EC:3.1.1.61]	cheBR	two-component system, chemotaxis family, CheB/CheR fusion protein	05BZU@bactNOG,0QIG1@gproNOG,0XNMH@NOG,16PBJ@proNOG	Diguanylate cyclase phosphodiesterase			SZUA-1235_96:c(10241..13456)	Cyclic di-GMP phosphodiesterase PdeB	K13924			K13924	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01545	K00428	[EC:1.11.1.5]	E1.11.1.5	cytochrome c peroxidase	05CA0@bactNOG,16PNN@proNOG,COG1858@NOG	peroxidase			SZUA-1235_96:c(13465..14481)	Cytochrome c551 peroxidase	K00428	K00428		K00428	K20933
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01546					07VAG@bactNOG,0XPWM@NOG,16R0D@proNOG				SZUA-1235_96:14692..15870	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01547	K03745		slyX	SlyX protein					SZUA-1235_96:15857..16078	Protein SlyX	K03745	K03745			
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01548	K15012		regA, regR, actR	two-component system, response regulator RegA	08UYB@bactNOG,0QRU4@gproNOG,17A0Q@proNOG,COG4567@NOG	response regulator			SZUA-1235_96:c(16109..16657)	Photosynthetic apparatus regulatory protein RegA	K15012	K15012		K15012	K15012
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01549	K15011	[EC:2.7.13.3]	regB, regS, actS	two-component system, sensor histidine kinase RegB	05TX3@bactNOG,0QQI5@gproNOG,0XP2A@NOG,16TGJ@proNOG	Histidine kinase			SZUA-1235_96:c(16675..17979)	Sensor histidine kinase RegB	K15011	K15011		K15011	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01550					08ME3@bactNOG,0FM92@cyaNOG,0Z974@NOG	Inherit from bactNOG: Alpha amylase			SZUA-1235_96:18147..19148	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01551									SZUA-1235_96:c(20236..20463)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01552	K13996	[EC:5.3.4.1]	EPS1	protein disulfide-isomerase	05N2G@bactNOG,0QTYR@gproNOG,17G6C@proNOG,COG0526@NOG	alkyl hydroperoxide reductase Thiol specific antioxidant Mal allergen			SZUA-1235_97:c(159..668)	Sporulation thiol-disulfide oxidoreductase A	K13996				K13996
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01553	K00705	[EC:2.4.1.25]	malQ	4-alpha-glucanotransferase	07RTM@bactNOG,0QIZG@gproNOG,18A4Y@proNOG,COG1640@NOG	4-alpha-glucanotransferase (EC 2.4.1.25)			SZUA-1235_97:c(724..2169)	4-alpha-glucanotransferase	K00705	K00705		K00705	K00705
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01554	K07405	[EC:3.2.1.1]	E3.2.1.1A	alpha-amylase	0604X@bactNOG,0QKPN@gproNOG,16SVK@proNOG,COG1449@NOG	glycoside hydrolase, family 57			SZUA-1235_97:c(2173..3864)	hypothetical protein	K07405				K07405
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01555	K00975	[EC:2.7.7.27]	glgC	glucose-1-phosphate adenylyltransferase	07QQ4@bactNOG,0QINB@gproNOG,16QKW@proNOG,COG0448@NOG	Catalyzes the synthesis of ADP-glucose, a sugar donor used in elongation reactions on alpha-glucans (By similarity)			SZUA-1235_97:c(3883..5217)	Glucose-1-phosphate adenylyltransferase	K00975	K00975	K00975	K00975	K20427
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01556	K00700	[EC:2.4.1.18]	GBE1, glgB	1,4-alpha-glucan branching enzyme	05C9C@bactNOG,0QKM5@gproNOG,18A51@proNOG,COG0296@NOG	Catalyzes the formation of the alpha-1,6-glucosidic linkages in glycogen by scission of a 1,4-alpha-linked oligosaccharide from growing alpha-1,4-glucan chains and the subsequent attachment of the oligosaccharide to the alpha-1,6 position (By similarity)			SZUA-1235_97:5224..7446	1,4-alpha-glucan branching enzyme GlgB	K00700	K00700		K00700	K01236
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01557	K01810	[EC:5.3.1.9]	GPI, pgi	glucose-6-phosphate isomerase	07QP8@bactNOG,16UJE@proNOG,COG0166@NOG	Phosphoglucose isomerase			SZUA-1235_97:c(7521..9218)	Glucose-6-phosphate isomerase	K01810	K01810	K01810	K01810	K15916
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01558	K00036	[EC:1.1.1.49][EC:1.1.1.363]	G6PD, zwf	glucose-6-phosphate 1-dehydrogenase	05D8W@bactNOG,0QHY0@gproNOG,16PFK@proNOG,COG0364@NOG	glucose-6-phosphate 1-dehydrogenase			SZUA-1235_97:c(9271..10803)	Glucose-6-phosphate 1-dehydrogenase	K00036	K00036		K00036	K15242
