#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00001	K01622	[EC:4.1.2.13][EC:3.1.3.11]	K01622	fructose 1,6-bisphosphate aldolase/phosphatase	02F0N@aquNOG,07NFR@bactNOG,COG1980@NOG	Fructose-1,6-bisphosphatase			SZUA-1519_1:c(9..1154)	Fructose-1,6-bisphosphate aldolase/phosphatase	K01622	K01622		K01622	K01622
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00883	K10206	[EC:2.6.1.83]	E2.6.1.83	LL-diaminopimelate aminotransferase	02F05@aquNOG,05CHM@bactNOG,COG0436@NOG	Involved in the synthesis of meso-diaminopimelate (m-DAP or DL-DAP), required for both lysine and peptidoglycan biosynthesis. Catalyzes the direct conversion of tetrahydrodipicolinate to LL-diaminopimelate, a reaction that requires three enzymes in E.coli (By similarity)			SZUA-1519_35:c(61259..62431)	LL-diaminopimelate aminotransferase	K10206	K10206	K10206	K10206	K20615
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00884	K00891	[EC:2.7.1.71]	E2.7.1.71, aroK, aroL	shikimate kinase	02FFP@aquNOG,05KHV@bactNOG,COG0703@NOG	Catalyzes the specific phosphorylation of the 3-hydroxyl group of shikimic acid using ATP as a cosubstrate (By similarity)			SZUA-1519_36:c(325..816)	Shikimate kinase	K00891	K00891	K00891	K00891	K15546
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00885	K05540	[EC:1.-.-.-]	dusB	tRNA-dihydrouridine synthase B	02ET7@aquNOG,05CEH@bactNOG,COG0042@NOG	Catalyzes the synthesis of dihydrouridine, a modified base found in the D-loop of most tRNAs (By similarity)			SZUA-1519_36:c(831..1772)	putative tRNA-dihydrouridine synthase	K05540			K05540	K05545
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00886	K03086		rpoD	RNA polymerase primary sigma factor	02EMQ@aquNOG,05DG1@bactNOG,COG0568@NOG	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released (By similarity)			SZUA-1519_36:1864..2805	RNA polymerase sigma factor SigA	K03086	K03086		K03086	K03089
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00887	K00997	[EC:2.7.8.7]	acpS	holo-[acyl-carrier protein] synthase	02FQK@aquNOG,083S1@bactNOG,COG0736@NOG	Transfers the 4'-phosphopantetheine moiety from coenzyme A to a Ser of acyl-carrier-protein (By similarity)			SZUA-1519_36:c(2759..3163)	Holo-[acyl-carrier-protein] synthase	K00997	K00997		K00997	K00997
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00888									SZUA-1519_36:3185..3601	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00889	K03770	[EC:5.2.1.8]	ppiD	peptidyl-prolyl cis-trans isomerase D	02EMH@aquNOG,07XNV@bactNOG,COG0760@NOG	Inherit from COG: peptidyl-prolyl cis-trans isomerase			SZUA-1519_36:3614..4939	hypothetical protein	K03770			K03770	K07533
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00890					02FNM@aquNOG,08263@bactNOG,COG1371@NOG	Archease protein family (MTH1598/TM1083)			SZUA-1519_36:c(4936..5361)	Protein archease					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00891	K02871		RP-L13, MRPL13, rplM	large subunit ribosomal protein L13	02FBX@aquNOG,08UM5@bactNOG,COG0102@NOG	This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly (By similarity)			SZUA-1519_36:5419..5853	50S ribosomal protein L13	K02871	K02871		K02871	K02872
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00892	K02996		RP-S9, MRPS9, rpsI	small subunit ribosomal protein S9	02FG8@aquNOG,08UJD@bactNOG,COG0103@NOG	30S ribosomal protein S9			SZUA-1519_36:5873..6310	30S ribosomal protein S9	K02996	K02996		K02996	K02996
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00893	K00789	[EC:2.5.1.6]	metK	S-adenosylmethionine synthetase	02EYB@aquNOG,05DZH@bactNOG,COG1812@NOG	Methionine adenosyltransferase			SZUA-1519_36:6662..7873	S-adenosylmethionine synthase	K00789	K00789		K00789	K00789
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00894									SZUA-1519_36:c(7863..8849)	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00895	K21134		triC	multidrug efflux pump	02EV6@aquNOG,05BZS@bactNOG,COG0841@NOG	acriflavin resistance protein			SZUA-1519_36:c(8862..12140)	Efflux pump membrane transporter BepE	K21134				K21134
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00896					02F9S@aquNOG,05SU0@bactNOG,0XQB7@NOG	Efflux transporter, RND family, MFP subunit			SZUA-1519_36:c(12145..13236)	Multidrug resistance protein MdtA					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00897	K19593		opmE	outer membrane protein, multidrug efflux system	02EX2@aquNOG,07W1U@bactNOG,COG1538@NOG	outer membrane efflux protein			SZUA-1519_36:c(13236..14615)	hypothetical protein	K19593				K19593
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00898	K01579	[EC:4.1.1.11]	panD	aspartate 1-decarboxylase	02FKM@aquNOG,08Z2X@bactNOG,COG0853@NOG	Catalyzes the pyruvoyl-dependent decarboxylation of aspartate to produce beta-alanine (By similarity)			SZUA-1519_36:14780..15157	Aspartate 1-decarboxylase	K01579	K01579		K01579	K01579
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00899									SZUA-1519_36:15164..15397	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00900	K02990		RP-S6, MRPS6, rpsF	small subunit ribosomal protein S6	02FTP@aquNOG,083NI@bactNOG,COG0360@NOG	Binds together with S18 to 16S ribosomal RNA (By similarity)			SZUA-1519_36:15565..15933	30S ribosomal protein S6	K02990	K02990		K02990	K02990
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00901	K03111		ssb	single-strand DNA-binding protein	02FRK@aquNOG,082Y9@bactNOG,COG0629@NOG	single-strand binding protein			SZUA-1519_36:15954..16544	Single-stranded DNA-binding protein	K03111	K03111		K03111	K03111
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00902	K02963		RP-S18, MRPS18, rpsR	small subunit ribosomal protein S18	02FUN@aquNOG,05VH8@bactNOG,COG0238@NOG	Binds as a heterodimer with protein S6 to the central domain of the 16S rRNA, where it helps stabilize the platform of the 30S subunit (By similarity)			SZUA-1519_36:16570..16785	30S ribosomal protein S18	K02963	K02963		K02963	K02963
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00903	K02939		RP-L9, MRPL9, rplI	large subunit ribosomal protein L9	02FK7@aquNOG,05K9Q@bactNOG,COG0359@NOG	Binds to the 23S rRNA (By similarity)			SZUA-1519_36:16807..17262	50S ribosomal protein L9	K02939	K02939	K02939	K02939	K02939
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00904					02FH5@aquNOG,08X4A@bactNOG,11MFK@NOG				SZUA-1519_36:17268..18434	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00905	K07181	[EC:3.1.4.52]	cdgJ	c-di-GMP phosphodiesterase	02FKN@aquNOG,05D58@bactNOG,COG3434@NOG	HDOD domain			SZUA-1519_36:c(18427..19665)	Cyclic di-GMP phosphodiesterase CdgJ	K07181			K07181	K07181
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00906					02FSN@aquNOG,05HY9@bactNOG,COG2862@NOG	Uncharacterized protein family, UPF0114			SZUA-1519_36:c(19724..20248)	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00907					02EVM@aquNOG,08KBH@bactNOG,0Y561@NOG				SZUA-1519_36:c(20284..21552)	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00908	K00615	[EC:2.2.1.1]	E2.2.1.1, tktA, tktB	transketolase	02GSQ@aquNOG,08HHA@bactNOG,COG3959@NOG	transketolase			SZUA-1519_36:21580..22449	Transketolase	K00615	K00615	K00615	K00615	
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00909	K00615	[EC:2.2.1.1]	E2.2.1.1, tktA, tktB	transketolase	02GTI@aquNOG,08IUS@bactNOG,COG3958@NOG	Transketolase, pyrimidine binding domain			SZUA-1519_36:22466..23428	1-deoxy-D-xylulose-5-phosphate synthase	K00615	K00615		K00615	
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00910	K03665		hflX	GTPase	02EVU@aquNOG,05C1N@bactNOG,COG2262@NOG	GTPase that associates with the 50S ribosomal subunit and may have a role during protein synthesis or ribosome biogenesis (By similarity)			SZUA-1519_36:23491..24600	GTPase HflX	K03665	K03665		K03665	K03665
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00911	K02116		atpI	ATP synthase protein I	02GMV@aquNOG,06XZC@bactNOG,0YTI8@NOG				SZUA-1519_36:c(24612..24836)	hypothetical protein	K02116	K02116		K02116	
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00912	K03110		ftsY	fused signal recognition particle receptor	02EJC@aquNOG,05CCP@bactNOG,COG0552@NOG	Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Acts as a receptor for the complex formed by the signal recognition particle (SRP) and the ribosome-nascent chain (RNC) (By similarity)			SZUA-1519_36:24852..26018	Signal recognition particle receptor FtsY	K03110	K03110		K03110	K13431
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00913	K04562		flhG, fleN	flagellar biosynthesis protein FlhG	02ES3@aquNOG,07R21@bactNOG,COG0455@NOG	site-determining protein			SZUA-1519_36:c(26019..26843)	Flagellum site-determining protein YlxH	K04562	K04562		K04562	K04562
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00914	K02404		flhF	flagellar biosynthesis protein FlhF	02F8I@aquNOG,05FZW@bactNOG,COG1419@NOG	Flagellar biosynthetic protein FlhF			SZUA-1519_36:c(26853..28013)	Flagellar biosynthesis protein FlhF	K02404	K02404		K02404	K02404
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00916	K02887		RP-L20, MRPL20, rplT	large subunit ribosomal protein L20	02FQZ@aquNOG,08YZX@bactNOG,COG0292@NOG	Binds directly to 23S ribosomal RNA and is necessary for the in vitro assembly process of the 50S ribosomal subunit. It is not involved in the protein synthesizing functions of that subunit (By similarity)			SZUA-1519_36:c(28486..28836)	50S ribosomal protein L20	K02887	K02887		K02887	K02887
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00917	K09791		K09791	uncharacterized protein	02G4G@aquNOG,07N4V@bactNOG,124DR@NOG	UPF0434 protein			SZUA-1519_36:28866..29075	hypothetical protein	K09791	K09791		K09791	
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00918	K11645	[EC:4.1.2.13]	fbaB	fructose-bisphosphate aldolase, class I	02EJS@aquNOG,061GT@bactNOG,COG1830@NOG	aldolase (EC 4.1.2.13)			SZUA-1519_36:29097..29894	2-amino-4, 5-dihydroxy-6-oxo-7-(phosphonooxy)heptanoate synthase	K11645	K11645		K11645	K16306
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00919	K08316	[EC:2.1.1.171]	rsmD	16S rRNA (guanine966-N2)-methyltransferase	02FMP@aquNOG,0838A@bactNOG,COG0742@NOG	Conserved hypothetical protein 95			SZUA-1519_36:c(29898..30383)	Ribosomal RNA small subunit methyltransferase D	K08316				K08316
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00920	K13955		yogA	zinc-binding alcohol dehydrogenase/oxidoreductase	02ESQ@aquNOG,05CB2@bactNOG,COG0604@NOG	alcohol dehydrogenase			SZUA-1519_36:30407..31441	Alcohol dehydrogenase	K13955			K13955	K21839
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00921	K01703	[EC:4.2.1.33][EC:4.2.1.35]	leuC, IPMI-L	3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit	02EP2@aquNOG,05CQI@bactNOG,COG0065@NOG	Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate (By similarity)			SZUA-1519_36:c(31515..32801)	3-isopropylmalate dehydratase large subunit	K01703	K01703		K01703	K20930
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00922	K22305	[EC:3.1.3.3]	psp	phosphoserine phosphatase	02EMC@aquNOG,05CVJ@bactNOG,COG0406@NOG	phosphoglycerate mutase			SZUA-1519_36:33208..33852	Phosphoserine phosphatase 1	K22305	K22305	K19028	K02226	K20581
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00923	K03564	[EC:1.11.1.15]	BCP, PRXQ, DOT5	peroxiredoxin Q/BCP	02FHJ@aquNOG,08YXY@bactNOG,COG1225@NOG	alkyl hydroperoxide reductase Thiol specific antioxidant Mal allergen			SZUA-1519_36:33878..34363	Putative peroxiredoxin	K03564	K03564	K03564	K03564	K03564
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00924	K03183	[EC:2.1.1.163][EC:2.1.1.201]	ubiE	demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase	02FN3@aquNOG,0801H@bactNOG,COG2226@NOG	methyltransferase, type 11			SZUA-1519_36:34367..35032	Demethylmenaquinone methyltransferase	K03183	K03183		K03183	K20081
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00925	K03308		TC.NSS	neurotransmitter:Na+ symporter, NSS family	02F81@aquNOG,05C8J@bactNOG,COG0733@NOG	Transporter			SZUA-1519_36:c(35047..36891)	hypothetical protein	K03308				K03308
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00926	K01870	[EC:6.1.1.5]	IARS, ileS	isoleucyl-tRNA synthetase	02ETR@aquNOG,05C07@bactNOG,COG0060@NOG	amino acids such as valine, to avoid such errors it has two additional distinct tRNA(Ile)-dependent editing activities. One activity is designated as 'pretransfer' editing and involves the hydrolysis of activated Val-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Val-tRNA(Ile) (By similarity)			SZUA-1519_36:36919..38484	Isoleucine--tRNA ligase	K01870	K01870		K01870	K01870
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00927	K02913		RP-L33, MRPL33, rpmG	large subunit ribosomal protein L33	02FVX@aquNOG,05WDJ@bactNOG,COG0267@NOG	50S ribosomal protein L33			SZUA-1519_36:c(38569..38727)	50S ribosomal protein L33	K02913	K02913		K02913	K02913
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00928	K00433	[EC:1.11.1.10]	cpo	non-heme chloroperoxidase	02G9Q@aquNOG,05HK6@bactNOG,COG0596@NOG	Ndr family			SZUA-1519_37:65..790	3-oxoadipate enol-lactonase 2	K00433			K00433	K21821
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00929									SZUA-1519_37:815..1255	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00930									SZUA-1519_37:1268..2017	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00931									SZUA-1519_37:2039..2212	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00932	K07264	[EC:2.4.2.43]	arnT, pmrK	4-amino-4-deoxy-L-arabinose transferase	02EZ2@aquNOG,08QGX@bactNOG,COG1807@NOG	Inherit from bactNOG: glycosyl transferase, family 39			SZUA-1519_37:2247..2633	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase	K07264				K07264
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00933									SZUA-1519_37:2839..3147	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00934	K07387	[EC:3.4.24.-]	K07387	putative metalloprotease	08J2C@bactNOG,0GT1K@delNOG,0I6BG@eproNOG,1733J@proNOG,COG0501@NOG	peptidase M48, Ste24p			SZUA-1519_37:3151..3969	Beta-barrel assembly-enhancing protease	K07387				K07387
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00935	K01843	[EC:5.4.3.2]	kamA	lysine 2,3-aminomutase	02EKQ@aquNOG,05CK3@bactNOG,COG1509@NOG	lysine 2,3-aminomutase YodO family protein (EC 5.4.3.2)			SZUA-1519_37:c(3990..5072)	L-lysine 2,3-aminomutase	K01843	K01843	K01843	K01843	K19814
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00936	K01939	[EC:6.3.4.4]	purA, ADSS	adenylosuccinate synthase	02EQ1@aquNOG,05C91@bactNOG,COG0104@NOG	Plays an important role in the de novo pathway of purine nucleotide biosynthesis			SZUA-1519_37:5158..6438	Adenylosuccinate synthetase	K01939	K01939		K01939	K01939
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00937	K01262	[EC:3.4.11.9]	pepP	Xaa-Pro aminopeptidase	02EWG@aquNOG,05DC7@bactNOG,COG0006@NOG	peptidase M24			SZUA-1519_37:6442..7536	Aminopeptidase YpdF	K01262	K01262	K01262	K01262	K18573
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00938	K07139		K07139	uncharacterized protein	02EKF@aquNOG,05N5T@bactNOG,COG1242@NOG	radical SAM protein			SZUA-1519_37:7600..8550	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase	K07139	K07139		K07139	K07139
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00939									SZUA-1519_37:c(8547..9068)	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00940	K21564		nnrR	CRP/FNR family transcriptional regulator, nitrogen oxide reductase regulator	02FA1@aquNOG,07WQJ@bactNOG,COG0664@NOG	Transcriptional regulator, Crp Fnr family			SZUA-1519_37:c(9116..9811)	CRP-like cAMP-activated global transcriptional regulator	K21564	K21564		K01420	K21884
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00941	K01918	[EC:6.3.2.1]	panC	pantoate--beta-alanine ligase	02EPS@aquNOG,07QQT@bactNOG,COG0414@NOG	Catalyzes the condensation of pantoate with beta-alanine in an ATP-dependent reaction via a pantoyl-adenylate intermediate (By similarity)			SZUA-1519_37:c(9947..10804)	Pantothenate synthetase	K01918	K01918	K01918	K01918	K13799
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00943	K03568		tldD	TldD protein	02EKB@aquNOG,05D1U@bactNOG,COG0312@NOG	peptidase U62, modulator of DNA gyrase			SZUA-1519_37:11057..12457	Metalloprotease TldD	K03568	K03568		K03568	K03592
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00944	K18908		mepA	multidrug efflux pump	02F23@aquNOG,07ZZ7@bactNOG,COG0534@NOG	Mate efflux family protein			SZUA-1519_37:12469..13806	putative FMN/FAD exporter YeeO	K18908				K18908
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00945	K06928	[EC:3.6.1.15]	NTPCR	nucleoside-triphosphatase	02FGW@aquNOG,05Q33@bactNOG,COG1618@NOG	Has nucleotide phosphatase activity towards ATP, GTP, CTP, TTP and UTP. May hydrolyze nucleoside diphosphates with lower efficiency			SZUA-1519_37:13863..14399	Nucleoside-triphosphatase THEP1	K06928	K06928		K06928	K06928
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00946	K08998		K08998	uncharacterized protein	02FWC@aquNOG,084DJ@bactNOG,COG0759@NOG	Could be involved in insertion of integral membrane proteins into the membrane (By similarity)			SZUA-1519_37:c(14396..14605)	Putative membrane protein insertion efficiency factor	K08998	K08998		K08998	K08998
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00947	K00075	[EC:1.3.1.98]	murB	UDP-N-acetylmuramate dehydrogenase	02F92@aquNOG,05D4A@bactNOG,COG0812@NOG	Cell wall formation (By similarity)			SZUA-1519_37:c(14598..15467)	UDP-N-acetylenolpyruvoylglucosamine reductase	K00075	K00075		K00075	K00075
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00948	K03424	[EC:3.1.21.-]	tatD	TatD DNase family protein	02F4G@aquNOG,05F8V@bactNOG,COG0084@NOG	Hydrolase, TatD family			SZUA-1519_37:c(15471..16256)	putative metal-dependent hydrolase YcfH	K03424	K03424		K03424	K03424
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00949	K00982	[EC:2.7.7.42][EC:2.7.7.89]	glnE	[glutamine synthetase] adenylyltransferase / [glutamine synthetase]-adenylyl-L-tyrosine phosphorylase	02F0F@aquNOG,05CE6@bactNOG,COG1391@NOG	Adenylation and deadenylation of glutamate--ammonia ligase (By similarity)			SZUA-1519_37:c(16303..19089)	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme	K00982	K00982		K00982	K00982
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00950	K01975	[EC:3.1.4.58]	thpR	RNA 2',3'-cyclic 3'-phosphodiesterase	02FI7@aquNOG,05M7V@bactNOG,COG1514@NOG	2'-5' RNA ligase			SZUA-1519_37:19126..19692	RNA 2',3'-cyclic phosphodiesterase	K01975	K01975		K01975	K01975
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00951									SZUA-1519_37:19716..20990	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00952	K03183	[EC:2.1.1.163][EC:2.1.1.201]	ubiE	demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase	07QNM@bactNOG,1CHS9@therNOG,COG2226@NOG	O-methyltransferase			SZUA-1519_37:21141..21845	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE	K03183	K03183		K03183	K20081
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00953	K01160	[EC:3.1.22.4]	rusA	crossover junction endodeoxyribonuclease RusA	02FU1@aquNOG,05KSK@bactNOG,COG4570@NOG	(crossover) junction endodeoxyribonuclease			SZUA-1519_37:c(21823..22260)	Crossover junction endodeoxyribonuclease RusA	K01160	K01160		K01160	
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00954					02FUX@aquNOG,082P4@bactNOG,0ZX7P@NOG	transcriptional regulator, AsnC family			SZUA-1519_37:c(22239..22538)	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00955	K00604	[EC:2.1.2.9]	MTFMT, fmt	methionyl-tRNA formyltransferase	02EQW@aquNOG,05CAE@bactNOG,COG0223@NOG	Modifies the free amino group of the aminoacyl moiety of methionyl-tRNA(fMet). The formyl group appears to play a dual role in the initiator identity of N-formylmethionyl-tRNA by (I) promoting its recognition by IF2 and (II) impairing its binding to EFTu-GTP (By similarity)			SZUA-1519_37:22565..23500	Methionyl-tRNA formyltransferase	K00604	K00604		K00604	K19640
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00956	K00053	[EC:1.1.1.86]	ilvC	ketol-acid reductoisomerase	02ERC@aquNOG,05C6M@bactNOG,COG0059@NOG	ketol-acid reductoisomerase (EC 1.1.1.86)			SZUA-1519_37:c(23493..24494)	Ketol-acid reductoisomerase (NAD(P)(+))	K00053	K00053	K00053	K00053	K00053
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00957									SZUA-1519_37:c(24536..24796)	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00958									SZUA-1519_37:c(24922..25314)	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00959					02F2B@aquNOG,08K4H@bactNOG,0ZXIA@NOG				SZUA-1519_37:c(25387..26031)	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00960	K02838		frr, MRRF, RRF	ribosome recycling factor	02FDG@aquNOG,08VCV@bactNOG,COG0233@NOG	Responsible for the release of ribosomes from messenger RNA at the termination of protein biosynthesis. May increase the efficiency of translation by recycling ribosomes from one round of translation to another (By similarity)			SZUA-1519_37:c(26095..26655)	Ribosome-recycling factor	K02838	K02838		K02838	K02838
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00961									SZUA-1519_37:c(26659..26997)	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00962	K03701		uvrA	excinuclease ABC subunit A	02EVI@aquNOG,05C5U@bactNOG,COG0178@NOG	The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate (By similarity)			SZUA-1519_38:c(2152..2883)	UvrABC system protein A	K03701	K03701		K03701	K03701
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00963	K03620		hyaC	Ni/Fe-hydrogenase 1 B-type cytochrome subunit	02FD6@aquNOG,05X7T@bactNOG,COG1969@NOG	Ni Fe-hydrogenase, b-type cytochrome subunit			SZUA-1519_38:c(2917..3678)	putative Ni/Fe-hydrogenase B-type cytochrome subunit	K03620	K03620		K03620	K03620
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00964	K06281	[EC:1.12.99.6]	hyaB, hybC	hydrogenase large subunit	02ERI@aquNOG,05DPX@bactNOG,COG0374@NOG	hydrogenase large subunit			SZUA-1519_38:c(3718..5511)	Uptake hydrogenase large subunit	K06281	K06281		K05922	K14068
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00965	K02666		pilQ	type IV pilus assembly protein PilQ	02FBN@aquNOG,05E4G@bactNOG,COG4796@NOG	Type II and III secretion system protein			SZUA-1519_39:316..2382	Type IV pilus biogenesis and competence protein PilQ	K02666	K02666		K02507	
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00966	K01409	[EC:2.3.1.234]	KAE1, tsaD, QRI7	N6-L-threonylcarbamoyladenine synthase	02F4V@aquNOG,05CPM@bactNOG,COG0533@NOG	Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine (By similarity)			SZUA-1519_39:2402..3406	tRNA N6-adenosine threonylcarbamoyltransferase	K01409	K01409		K01409	K15904
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00967	K02919		RP-L36, MRPL36, rpmJ	large subunit ribosomal protein L36	COG0257@NOG	50S ribosomal protein L36			SZUA-1519_39:3460..3576	50S ribosomal protein L36	K02919	K02919	K02919	K02919	K02919
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00968	K02952		RP-S13, rpsM	small subunit ribosomal protein S13	02FH7@aquNOG,08Z04@bactNOG,COG0099@NOG	Located at the top of the head of the 30S subunit, it contacts several helices of the 16S rRNA. In the 70S ribosome it contacts the 23S rRNA (bridge B1a) and protein L5 of the 50S subunit (bridge B1b), connecting the 2 subunits			SZUA-1519_39:3585..3935	30S ribosomal protein S13	K02952	K02952		K02952	K02964
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00969	K02948		RP-S11, MRPS11, rpsK	small subunit ribosomal protein S11	02FKZ@aquNOG,08UHH@bactNOG,COG0100@NOG	Located on the platform of the 30S subunit, it bridges several disparate RNA helices of the 16S rRNA. Forms part of the Shine-Dalgarno cleft in the 70S ribosome (By similarity)			SZUA-1519_39:3955..4329	30S ribosomal protein S11	K02948	K02948	K02948	K02948	K02955
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00970	K02986		RP-S4, rpsD	small subunit ribosomal protein S4	02F99@aquNOG,05G6W@bactNOG,COG0522@NOG	One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit (By similarity)			SZUA-1519_39:4333..4968	30S ribosomal protein S4	K02986	K02986	K02986	K02986	K02997
