#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00001	K00288	[EC:1.5.1.5][EC:3.5.4.9][EC:6.3.4.3]	MTHFD	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase	05CKU@bactNOG,0D1VH@chloNOG,COG2759@NOG	Formate--tetrahydrofolate ligase (EC 6.3.4.3)			SZUA-1494_1:5..1879	Formate--tetrahydrofolate ligase	K00288	K00288		K00288	K01938
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01622	K13640		hspR	MerR family transcriptional regulator, heat shock protein HspR					SZUA-1494_702:c(114..473)	hypothetical protein	K13640	K13640			
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01623	K04771	[EC:3.4.21.107]	degP, htrA	serine protease Do	05C0H@bactNOG,0D2Q7@chloNOG,COG0265@NOG	2-alkenal reductase (EC 1.3.1.74)			SZUA-1494_702:c(477..1610)	Putative serine protease HtrA	K04771			K04771	K08372
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01624					07VNC@bactNOG,0GRD2@delNOG,0HR3R@dproNOG,0ZFC3@NOG,18BMR@proNOG				SZUA-1494_703:192..1196	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01625									SZUA-1494_703:c(1289..1921)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01626					06H79@bactNOG,0D2V1@chloNOG,0D87V@chlorNOG,0ZZA6@NOG	signal transduction protein with CBS domains			SZUA-1494_704:c(392..784)	Arabinose 5-phosphate isomerase KdsD					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01627					06H79@bactNOG,0D2V1@chloNOG,0D87V@chlorNOG,0ZZA6@NOG	signal transduction protein with CBS domains			SZUA-1494_704:c(855..1265)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01628	K14138	[EC:2.3.1.169]	acsB	acetyl-CoA synthase	05E8X@bactNOG,0GBS8@delNOG,0HD9C@dproNOG,16TUA@proNOG,COG1152@NOG,COG1614@NOG	CO dehydrogenase acetyl-CoA synthase complex, beta subunit			SZUA-1494_704:c(1430..3223)	Carbon monoxide dehydrogenase/acetyl-CoA synthase subunit alpha	K14138	K14138		K14138	K14138
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01629					05KFV@bactNOG,11GX7@NOG	domain protein			SZUA-1494_705:107..2380	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01630	K09815		znuA	zinc transport system substrate-binding protein	07XSR@bactNOG,0GD9R@delNOG,0HEC1@dproNOG,16VU0@proNOG,COG0803@NOG	periplasmic solute binding protein			SZUA-1494_706:c(196..1137)	Manganese-binding lipoprotein MntA	K09815	K09815	K09815	K02077	K19975
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01631	K19693		tfoS	AraC family transcriptional regulator, chitin signaling transcriptional activator	05BZU@bactNOG,09DVP@bctoNOG,0FYVZ@cytNOG,COG3292@NOG	Y_Y_Y domain			SZUA-1494_706:c(1134..2234)	Virginiamycin B lyase	K19693				K19693
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01632									SZUA-1494_706:c(2260..2646)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01633	K02004		ABC.CD.P	putative ABC transport system permease protein	07RBB@bactNOG,0D1T4@chloNOG,0D7NU@chlorNOG,COG0577@NOG	FtsX-like permease family			SZUA-1494_707:c(62..1300)	Macrolide export ATP-binding/permease protein MacB	K02004	K02004	K02004	K02004	K19084
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01634	K02003		ABC.CD.A	putative ABC transport system ATP-binding protein	07R39@bactNOG,0D23J@chloNOG,0D6WK@chlorNOG,COG1136@NOG	Part of the ABC transporter complex MacAB involved in macrolide export. Transmembrane domains (TMD) form a pore in the inner membrane and the ATP-binding domain (NBD) is responsible for energy generation (By similarity)			SZUA-1494_707:c(1314..2069)	putative ABC transporter ATP-binding protein YknY	K02003	K02003	K02003	K02003	K19083
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01635	K02005		ABC.CD.TX	HlyD family secretion protein	05DJY@bactNOG,0QKAW@gproNOG,16RDY@proNOG,COG0845@NOG	efflux transporter, rnd family, mfp subunit			SZUA-1494_707:c(2072..2452)	hypothetical protein	K02005	K02005		K02005	K21137
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01636	K03797	[EC:3.4.21.102]	E3.4.21.102, prc, ctpA	carboxyl-terminal processing protease	05CN1@bactNOG,0D1X5@chloNOG,COG0793@NOG	Carboxyl-terminal protease			SZUA-1494_708:24..1250	Carboxy-terminal processing protease CtpA	K03797	K03797	K03797	K03797	K03797
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01637	K03664		smpB	SsrA-binding protein	08UH4@bactNOG,0ESC9@cloNOG,0NI29@firmNOG,COG0691@NOG	Binds specifically to the SsrA RNA (tmRNA) and is required for stable association of SsrA with ribosomes (By similarity)			SZUA-1494_708:1250..1720	SsrA-binding protein	K03664	K03664	K03664	K03664	K03664
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01638					08TCE@bactNOG,0GDS4@delNOG,0HETP@dproNOG,11H88@NOG,179FQ@proNOG				SZUA-1494_708:1723..2538	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01639	K00928	[EC:2.7.2.4]	lysC	aspartate kinase	05CFH@bactNOG,0ENVG@cloNOG,0NDN4@firmNOG,COG0527@NOG	Aspartokinase			SZUA-1494_709:57..473	Aspartate kinase	K00928	K00928		K00928	K12526
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01640	K07636	[EC:2.7.13.3]	phoR	two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR	05BZU@bactNOG,0EP4V@cloNOG,0NDAC@firmNOG,0XNMH@NOG	Histidine kinase			SZUA-1494_709:542..1921	Alkaline phosphatase synthesis sensor protein PhoR	K07636	K07636		K07636	
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01641					07SIK@bactNOG,0XSAS@NOG	crispr-associated protein, Csx11 family			SZUA-1494_710:c(265..1437)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01642									SZUA-1494_711:c(789..1502)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01643									SZUA-1494_712:128..379	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01645									SZUA-1494_712:1095..1379	Antitoxin PezA					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01646									SZUA-1494_712:1376..1780	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01647									SZUA-1494_712:1914..2246	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01648									SZUA-1494_712:2454..2867	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01649									SZUA-1494_712:2851..3060	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01650									SZUA-1494_712:3065..4117	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01651									SZUA-1494_712:4307..4615	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01652					05YEJ@bactNOG,COG3551@NOG	glycosyl transferase			SZUA-1494_712:4867..5520	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01653									SZUA-1494_712:5736..6323	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01654									SZUA-1494_712:6657..6863	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01655					06AG5@bactNOG,0BN6V@bproNOG,0Y0A8@NOG,1842E@proNOG				SZUA-1494_712:6850..7230	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01656					07Q5D@bactNOG,0XXJ5@NOG				SZUA-1494_712:7227..8180	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01657	K02314	[EC:3.6.4.12]	dnaB	replicative DNA helicase	05CDU@bactNOG,0ENWX@cloNOG,0ND9M@firmNOG,COG0305@NOG	replicative DNA helicase			SZUA-1494_712:8180..9508	Replicative DNA helicase	K02314	K02314		K02314	K02314
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01658									SZUA-1494_712:9518..9949	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01659									SZUA-1494_712:9946..10551	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01660									SZUA-1494_713:2..184	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01661					05VZY@bactNOG,0R4B5@gproNOG,17IC8@proNOG,COG1433@NOG	Dinitrogenase iron-molybdenum cofactor biosynthesis protein			SZUA-1494_713:188..682	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01662									SZUA-1494_714:c(202..1869)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01663									SZUA-1494_715:59..235	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01664									SZUA-1494_715:c(328..1929)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01665									SZUA-1494_716:c(59..517)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01666	K05813		ugpB	sn-glycerol 3-phosphate transport system substrate-binding protein	05BZ7@bactNOG,1CHGS@therNOG,COG1653@NOG	Bacterial extracellular solute-binding protein			SZUA-1494_717:62..1243	sn-glycerol-3-phosphate-binding periplasmic protein UgpB	K05813	K05813		K02027	K17329
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01667					COG3915@NOG	oxidoreductase (molybdopterin binding			SZUA-1494_717:1315..1812	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01668	K07777	[EC:2.7.13.3]	degS	two-component system, NarL family, sensor histidine kinase DegS	05BZU@bactNOG,0D2BQ@chloNOG,0D7J9@chlorNOG,0XNMH@NOG	Histidine kinase			SZUA-1494_717:c(1877..2953)	Signal transduction histidine-protein kinase/phosphatase DegS	K07777	K07777	K07777	K07777	
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01669	K07692		degU	two-component system, NarL family, response regulator DegU	08KAC@bactNOG,COG2197@NOG	Two component transcriptional regulator, luxr family			SZUA-1494_717:c(3006..3692)	Transcriptional regulatory protein DegU	K07692		K07692		K21901
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01670	K07777	[EC:2.7.13.3]	degS	two-component system, NarL family, sensor histidine kinase DegS	05BZU@bactNOG,0EQ2S@cloNOG,0NEEZ@firmNOG,0XNMH@NOG	Histidine kinase			SZUA-1494_717:c(3689..4639)	Signal transduction histidine-protein kinase/phosphatase DegS	K07777	K07777		K07777	
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01671					05VX5@bactNOG,0EVHM@cloNOG,0NNN9@firmNOG,122FY@NOG				SZUA-1494_717:c(4900..5223)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01672	K18707	[EC:2.8.4.5]	mtaB	threonylcarbamoyladenosine tRNA methylthiotransferase MtaB	05CIW@bactNOG,0D1Y2@chloNOG,COG0621@NOG	tRNA modification enzyme, MiaB family			SZUA-1494_717:c(5281..6030)	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB	K18707	K18707		K06168	K18707
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01673	K01998		livM	branched-chain amino acid transport system permease protein	01ZDI@aproNOG,08X1X@bactNOG,17BPF@proNOG,COG4177@NOG	Branched-chain amino acid transport system / permease component			SZUA-1494_718:6..500	hypothetical protein	K01998	K01998		K01998	K11961
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01674	K01995		livG	branched-chain amino acid transport system ATP-binding protein	01SHY@aproNOG,05C0Z@bactNOG,16PSW@proNOG,COG0411@NOG	ABC transporter, (ATP-binding protein)			SZUA-1494_718:490..1218	Lipopolysaccharide export system ATP-binding protein LptB	K01995	K01995		K01995	K11957
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01675	K01996		livF	branched-chain amino acid transport system ATP-binding protein	01YXQ@aproNOG,08WZK@bactNOG,17BN9@proNOG,COG0410@NOG	Branched-chain amino acid transport ATP-binding			SZUA-1494_718:1211..1909	High-affinity branched-chain amino acid transport ATP-binding protein LivF	K01996	K01996		K01996	K11963
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01676					07GYA@bactNOG,0D2KJ@chloNOG,0D6HI@chlorNOG,0ZKF0@NOG				SZUA-1494_719:110..1159	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01677	K07005		K07005	uncharacterized protein	0KU4Q@eurNOG,0WN3I@methaNOG,COG3467@NOG,arCOG00520@arNOG	pyridoxamine 5'-phosphate oxidase-related, FMN-binding			SZUA-1494_719:1174..1635	hypothetical protein	K07005	K07005		K07005	
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01678	K07456		mutS2	DNA mismatch repair protein MutS2	05C98@bactNOG,COG1193@NOG	muts2 protein			SZUA-1494_719:c(1643..1858)	Endonuclease MutS2	K07456	K07456		K07456	K07456
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01679	K22579				0KWU3@eurNOG,0WNZT@methaNOG,COG0574@NOG,arCOG01114@arNOG	Pyruvate phosphate dikinase, PEP/pyruvate binding domain			SZUA-1494_720:c(22..3027)	Prodigiosin synthesizing transferase PigC	K22579	K22579	K22579	K01007	
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01680	K07042		ybeY, yqfG	probable rRNA maturation factor	05KGE@bactNOG,0D376@chloNOG,0D8F1@chlorNOG,COG0319@NOG	Single strand-specific metallo-endoribonuclease involved in late-stage 70S ribosome quality control and in maturation of the 3' terminus of the 16S rRNA (By similarity)			SZUA-1494_720:c(3085..3567)	Endoribonuclease YbeY	K07042	K07042	K07042	K01489	K07042
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01685	K00936	[EC:2.7.13.3]	pdtaS	two-component system, sensor histidine kinase PdtaS	05RAK@bactNOG,0NED1@firmNOG,0X2KK@negNOG,COG3920@NOG	Histidine kinase			SZUA-1494_721:728..2209	putative sensor histidine kinase pdtaS	K00936	K00936	K00936	K00936	K00936
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01686	K22010		pdtaR	two-component system, response regulator PdtaR	05GJG@bactNOG,0D1KC@chloNOG,0D67F@chlorNOG,COG3707@NOG	response regulator receiver			SZUA-1494_721:2212..2796	putative transcriptional regulatory protein pdtaR	K22010	K22010	K22010	K07183	K22010
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01687	K08226		pucC	MFS transporter, BCD family, chlorophyll transporter	05XCI@bactNOG,0D46M@chloNOG,0XR2P@NOG	PUCC protein			SZUA-1494_722:50..1303	Protein PucC	K08226	K08226	K08226	K08226	
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01688	K01046	[EC:3.1.1.3]	lip, TGL2	triacylglycerol lipase	08RSZ@bactNOG,COG1075@NOG	esterase lipase thioesterase family active site			SZUA-1494_722:1346..2095	hypothetical protein	K01046				K01046
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01689	K19670	[EC:3.11.1.2]	phnA	phosphonoacetate hydrolase	07VU3@bactNOG,0D1NG@chloNOG,COG1524@NOG	type I phosphodiesterase nucleotide pyrophosphatase			SZUA-1494_723:c(286..1596)	hypothetical protein	K19670				K19670
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01690	K01572	[EC:4.1.1.3]	oadB	oxaloacetate decarboxylase, beta subunit	05D9Q@bactNOG,COG1883@NOG	decarboxylase (Beta subunit)			SZUA-1494_724:c(70..1209)	Glutaconyl-CoA decarboxylase subunit beta	K01572	K01572		K01572	K01605
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01691	K20140	[EC:6.4.1.7]	cfiA	2-oxoglutarate carboxylase large subunit	05PV1@bactNOG,0D5UT@chloNOG,COG0511@NOG	Biotin-requiring enzyme			SZUA-1494_724:c(1233..1658)	Glutaconyl-CoA decarboxylase subunit gamma	K20140				K20140
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01692									SZUA-1494_724:c(1702..2040)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01693									SZUA-1494_724:c(2149..2436)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01694	K06981	[EC:2.7.4.26]	ipk	isopentenyl phosphate kinase	069HS@bactNOG,0D2PN@chloNOG,0D6UT@chlorNOG,COG1608@NOG	aspartate glutamate uridylate kinase			SZUA-1494_724:c(2583..3416)	Glutamate 5-kinase	K06981	K06981		K06981	K06981
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01695	K09128		K09128	uncharacterized protein	0KU1Y@eurNOG,0WMI3@methaNOG,COG1786@NOG,arCOG04279@arNOG	UPF0107 protein			SZUA-1494_724:c(3409..3795)	hypothetical protein	K09128	K09128		K09128	
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01696	K09123	[EC:4.2.1.171]	lhpI	cis-L-3-hydroxyproline dehydratase	0KRCE@eurNOG,0WR9H@metNOG,COG1679@NOG,arCOG04278@arNOG	Protein of unknown function (DUF521)			SZUA-1494_724:c(3795..4295)	hypothetical protein	K09123			K09123	
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01697	K21621	[EC:2.7.1.101]	fk	tagatose kinase	08ZTF@bactNOG,1APUZ@spiNOG,COG0524@NOG	PfkB domain-containing protein			SZUA-1494_725:c(177..1118)	hypothetical protein	K21621				K21621
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01698	K01599	[EC:4.1.1.37]	hemE, UROD	uroporphyrinogen decarboxylase	08W6B@bactNOG,0ESVK@cloNOG,0NIPP@firmNOG,0YGBQ@NOG	Uroporphyrinogen decarboxylase (URO-D)			SZUA-1494_725:c(1207..2250)	hypothetical protein	K01599	K01599		K01599	
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01699	K10112		msmX, msmK, malK, sugC, ggtA, msiK	multiple sugar transport system ATP-binding protein	014PS@actNOG,08IJ9@bactNOG,COG3839@NOG	ABC transporter related			SZUA-1494_725:c(2356..2628)	hypothetical protein	K10112	K10112		K02010	K17325
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01700									SZUA-1494_726:563..775	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01701									SZUA-1494_726:905..1039	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01702									SZUA-1494_726:c(1594..2121)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01703					08QM2@bactNOG,0XREW@NOG,1560N@plaNOG				SZUA-1494_726:c(2187..3254)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01704					05F0U@bactNOG,0XRSI@NOG,155Q8@plaNOG	Inherit from bactNOG: glutamate mutase, mutL			SZUA-1494_726:c(3299..3697)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01705					0KT0E@eurNOG,0WM7U@methaNOG,COG0785@NOG,arCOG02400@arNOG	cytochrome c biogenesis protein			SZUA-1494_727:c(33..1253)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01706	K05555	[EC:4.-.-.-]	actIV	cyclase	08J1V@bactNOG,0GT1G@delNOG,0HSEH@dproNOG,17334@proNOG,COG0491@NOG	Metallo-beta-lactamase superfamily			SZUA-1494_728:228..1076	Metallo-beta-lactamase type 2	K05555			K05555	K20257
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01707	K20543		bcsC	cellulose synthase operon protein C	05EN5@bactNOG,0D3A9@chloNOG,COG0457@NOG	TPR repeat-containing protein			SZUA-1494_728:1097..2053	hypothetical protein	K20543				K20543
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01708					086VZ@bactNOG,0EQD3@cloNOG,0NEUB@firmNOG,0XQMC@NOG				SZUA-1494_728:2247..2510	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01709					086VZ@bactNOG,0XQMC@NOG				SZUA-1494_728:2549..3553	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01710									SZUA-1494_729:37..597	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01711					05WMK@bactNOG,0D4WW@chloNOG,11KIM@NOG	Glycosyl transferases group 1			SZUA-1494_729:654..1745	Alpha-D-kanosaminyltransferase					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01712	K01446		PGRP	peptidoglycan recognition protein	04WVP@bacNOG,089TB@bactNOG,0P4MJ@firmNOG,0ZY2C@NOG	Ami_2			SZUA-1494_730:c(456..2066)	hypothetical protein	K01446		K01446		
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01713					05G95@bactNOG,0D2NA@chloNOG,11TJ1@NOG				SZUA-1494_731:c(935..3175)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01714	K18967	[EC:2.7.7.65]	dge1	diguanylate cyclase	05BZU@bactNOG,0EU87@cloNOG,0NKWV@firmNOG,0XNMH@NOG	Diguanylate cyclase			SZUA-1494_732:c(68..1804)	Phytochrome-like protein cph2	K18967			K18967	
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01715					08DEE@bactNOG,0XP4A@NOG,1576D@plaNOG	Inherit from NOG: domain protein			SZUA-1494_733:108..4145	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01716	K07568	[EC:2.4.99.17]	queA	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	05E2N@bactNOG,0EPRH@cloNOG,0NE8G@firmNOG,COG0809@NOG	Transfers and isomerizes the ribose moiety from AdoMet to the 7-aminomethyl group of 7-deazaguanine (preQ1-tRNA) to give epoxyqueuosine (oQ-tRNA) (By similarity)			SZUA-1494_734:c(164..1186)	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	K07568	K07568	K07568	K07568	K07568
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01717					061AI@bactNOG,0P0XY@firmNOG,0XV4S@NOG	Protein of unknown function (DUF2905)			SZUA-1494_734:c(1192..1434)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01718	K21224		kedN5	radical SAM C-methyltransferase	05CBE@bactNOG,0D47U@chloNOG,0G6UQ@dehNOG,COG1032@NOG	Radical SAM domain-containing protein			SZUA-1494_734:c(1446..3068)	hypothetical protein	K21224				K21224
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01719	K00174	[EC:1.2.7.3][EC:1.2.7.11]	korA, oorA, oforA	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha	0KREH@eurNOG,COG0674@NOG,arCOG01607@arNOG	2-oxoglutarate ferredoxin oxidoreductase subunit alpha			SZUA-1494_735:c(548..1831)	2-oxoglutarate oxidoreductase subunit KorA	K00174	K00174		K00174	
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01720					0618C@bactNOG,0D2Y0@chloNOG,123QK@NOG	Inherit from bactNOG: (LipO)protein			SZUA-1494_736:272..1159	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01721	K02198		ccmF	cytochrome c-type biogenesis protein CcmF	05DA4@bactNOG,0D1JK@chloNOG,COG1138@NOG	Cytochrome c assembly protein			SZUA-1494_737:23..661	Cytochrome c-type biogenesis protein CcmF	K02198	K02198		K02198	K04016
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01722									SZUA-1494_737:735..1190	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01723					066CK@bactNOG,0D39A@chloNOG,0D89T@chlorNOG,12AZ3@NOG	Predicted membrane protein (DUF2085)			SZUA-1494_737:1187..1999	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01724									SZUA-1494_737:2026..2868	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01725	K08982		K08982	putative membrane protein					SZUA-1494_737:3008..3217	hypothetical protein	K08982	K08982			
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01726									SZUA-1494_737:3232..3498	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01727									SZUA-1494_737:c(3643..3876)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01728									SZUA-1494_738:108..275	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01729									SZUA-1494_738:528..1340	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01730									SZUA-1494_738:c(1397..2152)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01731	K01775	[EC:5.1.1.1]	alr	alanine racemase	05CJ4@bactNOG,0EPF7@cloNOG,0ND8Q@firmNOG,COG0787@NOG	Catalyzes the interconversion of L-alanine and D- alanine. May also act on other amino acids (By similarity)			SZUA-1494_739:c(354..1526)	Alanine racemase 2	K01775	K01775	K01775	K01775	K20707
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01732	K05830	[EC:2.6.1.-]	lysJ, argD	LysW-gamma-L-lysine/LysW-L-ornithine aminotransferase	05C8Y@bactNOG,0D1Z2@chloNOG,COG4992@NOG	acetylornithine and succinylornithine aminotransferase			SZUA-1494_740:c(614..1798)	[LysW]-aminoadipate semialdehyde transaminase	K05830	K05830		K05830	K21778
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01733	K00030	[EC:1.1.1.41]	IDH3	isocitrate dehydrogenase (NAD+)	05C0C@bactNOG,1CGC2@therNOG,COG0473@NOG	Isocitrate/isopropylmalate dehydrogenase			SZUA-1494_740:c(1827..2501)	Homoisocitrate dehydrogenase	K00030	K00030		K00030	K17753
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01734									SZUA-1494_741:406..939	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01735									SZUA-1494_741:949..1302	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01736									SZUA-1494_742:596..1198	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01737					0848S@bactNOG,0ZXI7@NOG	Transcriptional regulator, TetR family			SZUA-1494_743:c(73..714)	Fatty acid metabolism regulator protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01738					05BZU@bactNOG,0XNMH@NOG,16PBK@proNOG	Histidine kinase			SZUA-1494_743:c(795..1997)	Sensor histidine kinase ResE					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01739									SZUA-1494_744:52..360	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01740									SZUA-1494_744:357..1676	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01741	K00390	[EC:1.8.4.8][EC:1.8.4.10]	cysH	phosphoadenosine phosphosulfate reductase	0FBH4@creNOG,COG0175@NOG,arCOG00073@arNOG	Phosphoadenosine phosphosulfate reductase			SZUA-1494_744:1770..2711	Phosphoadenosine phosphosulfate reductase	K00390	K00390			
