#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Candidatus_bacterium_SZUA-1430|SZUA-1430_00001					08R5T@bactNOG,11FHM@NOG	secreted protein			SZUA-1430_1:4..1179	Putative lipoprotein YerB					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00309	K03072		secD	preprotein translocase subunit SecD	05C3D@bactNOG,0EP47@cloNOG,0NDII@firmNOG,COG0342@NOG	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA (By similarity)			SZUA-1430_117:c(1239..2162)	Protein translocase subunit SecD	K03072	K03072		K03072	K12257
Candidatus_bacterium_SZUA-1430|SZUA-1430_00310	K21586	[EC:2.4.1.343]	wclR	UDP-Gal:alpha-D-GlcNAc-diphosphoundecaprenol alpha-1,3-galactosyltransferase	08TJN@bactNOG,0D1ZS@chloNOG,0D6ZY@chlorNOG,COG0438@NOG	Glycosyl transferase group 1			SZUA-1430_118:20..883	D-inositol 3-phosphate glycosyltransferase	K21586				K21586
Candidatus_bacterium_SZUA-1430|SZUA-1430_00311	K00962	[EC:2.7.7.8]	pnp, PNPT1	polyribonucleotide nucleotidyltransferase	05C62@bactNOG,0NDC5@firmNOG,0X1S9@negNOG,COG1185@NOG	Involved in mRNA degradation. Hydrolyzes single-stranded polyribonucleotides processively in the 3'- to 5'-direction (By similarity)			SZUA-1430_119:c(506..2605)	Polyribonucleotide nucleotidyltransferase	K00962	K00962		K00962	K00962
Candidatus_bacterium_SZUA-1430|SZUA-1430_00312	K00174	[EC:1.2.7.3][EC:1.2.7.11]	korA, oorA, oforA	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha	05DI2@bactNOG,1CFH3@therNOG,COG0674@NOG,COG1014@NOG	Pyruvate flavodoxin ferredoxin oxidoreductase domain protein			SZUA-1430_120:330..2045	2-oxoglutarate oxidoreductase subunit KorA	K00174	K00174		K00174	K04090
Candidatus_bacterium_SZUA-1430|SZUA-1430_00313	K07263	[EC:3.4.24.-]	pqqL	zinc protease	05C1V@bactNOG,0D1A8@chloNOG,0D6U3@chlorNOG,COG0612@NOG	Peptidase M16 domain protein			SZUA-1430_121:103..1077	putative zinc protease	K07263				K07263
Candidatus_bacterium_SZUA-1430|SZUA-1430_00314	K20469		K20469	putative heme transporter	05C02@bactNOG,0EPKH@cloNOG,0NEF8@firmNOG,COG0628@NOG	permease			SZUA-1430_121:1167..2156	Putative transport protein YhhT	K20469				K20469
Candidatus_bacterium_SZUA-1430|SZUA-1430_00315	K05363	[EC:2.3.2.10]	murM	serine/alanine adding enzyme	05IMH@bactNOG,0ER2G@cloNOG,0NF8T@firmNOG,COG2348@NOG	Methicillin resistance protein			SZUA-1430_121:2188..3120	UDP-N-acetylmuramoylpentapeptide-lysine N(6)-alanyltransferase	K05363			K05363	K12554
Candidatus_bacterium_SZUA-1430|SZUA-1430_00316									SZUA-1430_121:3132..3254	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00317									SZUA-1430_122:35..205	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00318	K07082		K07082	UPF0755 protein	04R9E@bacNOG,05HHA@bactNOG,0ND8D@firmNOG,COG1559@NOG	aminodeoxychorismate lyase			SZUA-1430_122:213..1217	Endolytic murein transglycosylase	K07082	K07082	K07082	K07082	K07082
Candidatus_bacterium_SZUA-1430|SZUA-1430_00319	K06877		K06877	DEAD/DEAH box helicase domain-containing protein	08I5C@bactNOG,0G6P1@defNOG,COG1205@NOG	dead deah box helicase domain protein			SZUA-1430_122:c(1279..1854)	hypothetical protein	K06877	K06877		K06877	K06877
Candidatus_bacterium_SZUA-1430|SZUA-1430_00320									SZUA-1430_122:2025..2804	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00321	K01174	[EC:3.1.31.1]	nuc	micrococcal nuclease	0KUCS@eurNOG,0WN5K@methaNOG,COG1525@NOG,arCOG03192@arNOG,arCOG03400@arNOG	Nuclease (SNase domain protein)			SZUA-1430_122:2816..3298	Thermonuclease	K01174	K01174		K01174	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00322					07ZT0@bactNOG,0QNEJ@gproNOG,16ZW4@proNOG,COG5276@NOG	Inherit from COG: LVIVD repeat protein			SZUA-1430_123:c(1349..2359)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00323									SZUA-1430_123:c(2595..2723)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00324	K01874	[EC:6.1.1.10]	MARS, metG	methionyl-tRNA synthetase	02F1I@aquNOG,05CKH@bactNOG,COG0143@NOG	Is required not only for elongation of protein synthesis but also for the initiation of all mRNA translation through initiator tRNA(fMet) aminoacylation (By similarity)			SZUA-1430_124:7..1428	Methionine--tRNA ligase	K01874	K01874		K01874	K01874
Candidatus_bacterium_SZUA-1430|SZUA-1430_00325	K03424	[EC:3.1.21.-]	tatD	TatD DNase family protein	05F8V@bactNOG,1CG5W@therNOG,COG0084@NOG	hydrolase, TatD family			SZUA-1430_124:1809..2645	putative metal-dependent hydrolase YcfH	K03424	K03424		K03424	K03424
Candidatus_bacterium_SZUA-1430|SZUA-1430_00326	K03386	[EC:1.11.1.15]	PRDX2_4, ahpC	peroxiredoxin (alkyl hydroperoxide reductase subunit C)	05D3R@bactNOG,0B7B4@bproNOG,16RND@proNOG,COG0450@NOG	alkyl hydroperoxide reductase			SZUA-1430_124:2976..3596	Alkyl hydroperoxide reductase C	K03386	K03386		K03386	K03386
Candidatus_bacterium_SZUA-1430|SZUA-1430_00327	K01955	[EC:6.3.5.5]	carB, CPA2	carbamoyl-phosphate synthase large subunit	1CB3F@thaNOG,COG0458@NOG,arCOG01594@arNOG	Carbamoyl-phosphate synthase, large subunit			SZUA-1430_125:57..1310	Carbamoyl-phosphate synthase large chain	K01955	K01955		K01955	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00328	K06953		K06953	uncharacterized protein	1CB7N@thaNOG,COG1407@NOG,arCOG01150@arNOG	Calcineurin-like phosphoesterase			SZUA-1430_125:c(1307..1594)	hypothetical protein	K06953			K06953	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00329									SZUA-1430_126:84..260	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00330	K02968		RP-S20, rpsT	small subunit ribosomal protein S20	05KQV@bactNOG,0EVAV@cloNOG,0NNG0@firmNOG,COG0268@NOG	Binds directly to 16S ribosomal RNA (By similarity)			SZUA-1430_126:c(528..794)	30S ribosomal protein S20	K02968	K02968		K02968	K02968
Candidatus_bacterium_SZUA-1430|SZUA-1430_00331	K03550	[EC:3.6.4.12]	ruvA	holliday junction DNA helicase RuvA	01UXE@aproNOG,05KA4@bactNOG,17A0C@proNOG,COG0632@NOG	The RuvA-RuvB complex in the presence of ATP renatures cruciform structure in supercoiled DNA with palindromic sequence, indicating that it may promote strand exchange reactions in homologous recombination. RuvAB is a helicase that mediates the Holliday junction migration by localized denaturation and reannealing. RuvA stimulates, in the presence of DNA, the weak ATPase activity of RuvB (By similarity)			SZUA-1430_126:1015..1584	Holliday junction ATP-dependent DNA helicase RuvA	K03550	K03550		K03550	K03550
Candidatus_bacterium_SZUA-1430|SZUA-1430_00332	K03282		mscL	large conductance mechanosensitive channel	05M2E@bactNOG,0QQXF@gproNOG,17CA1@proNOG,COG1970@NOG	Channel that opens in response to stretch forces in the membrane lipid bilayer. May participate in the regulation of osmotic pressure changes within the cell (By similarity)			SZUA-1430_126:c(1724..2035)	Large-conductance mechanosensitive channel	K03282	K03282		K03282	K03282
Candidatus_bacterium_SZUA-1430|SZUA-1430_00333	K09775		K09775	uncharacterized protein	05MII@bactNOG,0EU5R@cloNOG,0NKU4@firmNOG,COG1963@NOG	Acid phosphatase vanadium-dependent haloperoxidase related			SZUA-1430_127:c(153..641)	hypothetical protein	K09775	K09775		K09775	K09775
Candidatus_bacterium_SZUA-1430|SZUA-1430_00334	K03744		lemA	LemA protein	08V0P@bactNOG,0G5P5@defNOG,COG1704@NOG	LemA family			SZUA-1430_127:682..1260	Protein LemA	K03744	K03744	K03744	K03744	K03744
Candidatus_bacterium_SZUA-1430|SZUA-1430_00335	K02967		RP-S2, MRPS2, rpsB	small subunit ribosomal protein S2	05CE9@bactNOG,1AMIR@spiNOG,COG0052@NOG	30S ribosomal protein S2			SZUA-1430_128:31..297	30S ribosomal protein S2	K02967	K02967		K02967	K02998
Candidatus_bacterium_SZUA-1430|SZUA-1430_00336	K02357		tsf, TSFM	elongation factor Ts	05CU7@bactNOG,COG0264@NOG	Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome (By similarity)			SZUA-1430_128:329..913	Elongation factor Ts	K02357	K02357		K02357	K02357
Candidatus_bacterium_SZUA-1430|SZUA-1430_00337									SZUA-1430_128:959..1510	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00339									SZUA-1430_129:c(353..880)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00340	K02433	[EC:6.3.5.6][EC:6.3.5.7]	gatA, QRSL1	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A	05C3P@bactNOG,0EPPW@cloNOG,0NE30@firmNOG,COG0154@NOG	Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in organisms which lack glutaminyl-tRNA synthetase. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln) (By similarity)			SZUA-1430_129:c(893..2320)	Glutamyl-tRNA(Gln) amidotransferase subunit A	K02433	K02433		K02433	K21801
Candidatus_bacterium_SZUA-1430|SZUA-1430_00341	K02435	[EC:6.3.5.6][EC:6.3.5.7]	gatC, GATC	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C	04WGV@bacNOG,05VB5@bactNOG,0NNG3@firmNOG,COG0721@NOG	Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln) (By similarity)			SZUA-1430_129:c(2403..2693)	Glutamyl-tRNA(Gln) amidotransferase subunit C	K02435	K02435		K02435	K02435
Candidatus_bacterium_SZUA-1430|SZUA-1430_00342					04W91@bacNOG,05VK3@bactNOG,0NNP6@firmNOG,COG1714@NOG	membrane protein yteJ			SZUA-1430_129:c(2726..3580)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00343	K01972	[EC:6.5.1.2]	E6.5.1.2, ligA, ligB	DNA ligase (NAD+)	05C77@bactNOG,COG0272@NOG	DNA ligase that catalyzes the formation of phosphodiester linkages between 5'-phosphoryl and 3'-hydroxyl groups in double-stranded DNA using NAD as a coenzyme and as the energy source for the reaction. It is essential for DNA replication and repair of damaged DNA (By similarity)			SZUA-1430_129:c(3684..5771)	DNA ligase	K01972	K01972		K01972	K01972
Candidatus_bacterium_SZUA-1430|SZUA-1430_00344									SZUA-1430_130:59..307	Phenylalanine--tRNA ligase beta subunit					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00345									SZUA-1430_130:c(373..1119)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00346	K00600	[EC:2.1.2.1]	glyA, SHMT	glycine hydroxymethyltransferase	04S56@bacNOG,05C65@bactNOG,0NDE5@firmNOG,COG0112@NOG	Catalyzes the reversible interconversion of serine and glycine with tetrahydrofolate (THF) serving as the one-carbon carrier. This reaction serves as the major source of one-carbon groups required for the biosynthesis of purines, thymidylate, methionine, and other important biomolecules. Also exhibits THF- independent aldolase activity toward beta-hydroxyamino acids, producing glycine and aldehydes, via a retro-aldol mechanism (By similarity)			SZUA-1430_130:1319..2554	Serine hydroxymethyltransferase	K00600	K00600		K00600	K00600
Candidatus_bacterium_SZUA-1430|SZUA-1430_00347					05GRC@bactNOG,0XS5E@NOG	transposase			SZUA-1430_131:c(171..1820)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00348	K02188	[EC:2.1.1.195]	cbiD	cobalt-precorrin-5B (C1)-methyltransferase	1CBDK@thaNOG,COG1903@NOG,arCOG04383@arNOG	May catalyze the methylation of C-1 in cobalt-precorrin- 5 and the subsequent extrusion of acetic acid from the resulting intermediate to form cobalt-precorrin-6A (By similarity)			SZUA-1430_132:c(353..1450)	Cobalt-precorrin-5B C(1)-methyltransferase	K02188	K02188		K02188	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00349	K00329	[EC:1.6.5.3]	E1.6.5.3	NADH dehydrogenase	1CBIX@thaNOG,COG0702@NOG,arCOG03015@arNOG	NAD-dependent epimerase dehydratase			SZUA-1430_132:1501..2373	GDP-L-fucose synthase	K00329			K00329	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00350	K00789	[EC:2.5.1.6]	metK	S-adenosylmethionine synthetase	1CB4K@thaNOG,COG0192@NOG,arCOG07444@arNOG	Methionine adenosyltransferase			SZUA-1430_132:c(2350..2676)	S-adenosylmethionine synthase	K00789	K00789		K00789	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00351									SZUA-1430_133:391..561	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00352	K13993		HSP20	HSP20 family protein	05VN1@bactNOG,COG0071@NOG	Heat shock protein			SZUA-1430_133:c(678..1235)	Spore protein SP21	K13993	K13993		K13993	K13993
Candidatus_bacterium_SZUA-1430|SZUA-1430_00353									SZUA-1430_133:c(1338..1835)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00354	K01873	[EC:6.1.1.9]	VARS, valS	valyl-tRNA synthetase	05CA4@bactNOG,0GAQ4@delNOG,0HBYS@dproNOG,16QSF@proNOG,COG0525@NOG	amino acids such as threonine, to avoid such errors, it has a posttransfer editing activity that hydrolyzes mischarged Thr-tRNA(Val) in a tRNA-dependent manner (By similarity)			SZUA-1430_133:c(1845..2225)	Valine--tRNA ligase	K01873	K01873		K01873	K01873
Candidatus_bacterium_SZUA-1430|SZUA-1430_00355	K19236		ycfS	L,D-transpeptidase YcfS	07Y2H@bactNOG,0EUR8@cloNOG,0NKN4@firmNOG,COG1376@NOG	ErfK YbiS YcfS YnhG family protein			SZUA-1430_134:c(453..1664)	hypothetical protein	K19236				K19236
Candidatus_bacterium_SZUA-1430|SZUA-1430_00356	K11529	[EC:2.7.1.165]	gck, gckA, GLYCTK	glycerate 2-kinase	1CBCT@thaNOG,COG2379@NOG,arCOG04170@arNOG	Hydroxypyruvate reductase			SZUA-1430_135:42..1019	D-glycerate 2-kinase	K11529	K11529		K00050	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00357					110VE@NOG,arCOG10413@arNOG				SZUA-1430_135:c(1021..1227)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00358					110I7@NOG,1CC3S@thaNOG,arCOG10574@arNOG				SZUA-1430_135:c(1328..1726)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00359					111BU@NOG,1CC8F@thaNOG,arCOG08706@arNOG				SZUA-1430_135:1804..2010	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00360	K01647	[EC:2.3.3.1]	CS, gltA	citrate synthase	1CBNX@thaNOG,COG0372@NOG,arCOG04237@arNOG	citrate synthase			SZUA-1430_135:c(2019..2207)	Citrate synthase 2	K01647	K01647		K01647	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00361	K01876	[EC:6.1.1.12]	aspS	aspartyl-tRNA synthetase	05C9M@bactNOG,0CZ49@chlNOG,COG0173@NOG	Aspartyl-tRNA synthetase			SZUA-1430_136:c(265..2043)	Aspartate--tRNA ligase	K01876	K01876		K01876	K01876
Candidatus_bacterium_SZUA-1430|SZUA-1430_00362	K09817	[EC:3.6.3.-]	znuC	zinc transport system ATP-binding protein	05FDK@bactNOG,0GDJW@delNOG,0HF1E@dproNOG,16S2V@proNOG,COG1121@NOG	ABC transporter			SZUA-1430_137:223..963	Zinc import ATP-binding protein ZnuC	K09817	K09817		K02074	K19973
Candidatus_bacterium_SZUA-1430|SZUA-1430_00363	K09816		znuB	zinc transport system permease protein	05FAV@bactNOG,0EPZJ@cloNOG,0NEGC@firmNOG,COG1108@NOG	Abc transporter			SZUA-1430_137:960..1766	High-affinity zinc uptake system membrane protein ZnuB	K09816	K09816		K09816	K19976
Candidatus_bacterium_SZUA-1430|SZUA-1430_00364									SZUA-1430_137:1819..2100	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00365	K03789	[EC:2.3.1.266]	rimI	[ribosomal protein S18]-alanine N-acetyltransferase	1CBJ8@thaNOG,COG0456@NOG,arCOG00833@arNOG	FR47-like protein			SZUA-1430_138:c(378..857)	Ribosomal-protein-alanine acetyltransferase	K03789	K03789		K03789	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00366									SZUA-1430_138:c(869..1240)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00367	K01872	[EC:6.1.1.7]	AARS, alaS	alanyl-tRNA synthetase	1CBHD@thaNOG,COG0013@NOG,arCOG01255@arNOG	Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction alanine is first activated by ATP to form Ala- AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged Ser-tRNA(Ala) and Gly-tRNA(Ala) via its editing domain (By similarity)			SZUA-1430_139:44..2008	Alanine--tRNA ligase	K01872	K01872		K01872	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00368	K22051		mscM, bspA	miniconductance mechanosensitive channel	08IJJ@bactNOG,0RARI@gproNOG,172TS@proNOG,COG3264@NOG	mscs mechanosensitive ion channel			SZUA-1430_140:76..543	putative MscS family protein.1	K22051				K22051
Candidatus_bacterium_SZUA-1430|SZUA-1430_00369	K01710	[EC:4.2.1.46]	E4.2.1.46, rfbB, rffG	dTDP-glucose 4,6-dehydratase	05C1B@bactNOG,0I6G4@eryNOG,0ND7J@firmNOG,COG1088@NOG	dTDP-glucose 4,6-dehydratase			SZUA-1430_140:842..1822	dTDP-glucose 4,6-dehydratase	K01710	K01710	K01710	K01710	K01710
Candidatus_bacterium_SZUA-1430|SZUA-1430_00371									SZUA-1430_141:1192..1320	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00372	K09013		sufC	Fe-S cluster assembly ATP-binding protein	04RSX@bacNOG,05C3K@bactNOG,0NE5J@firmNOG,COG0396@NOG	feS assembly ATPase SufC			SZUA-1430_141:1286..1999	putative ABC transporter ATP-binding protein	K09013	K09013		K09013	K09013
Candidatus_bacterium_SZUA-1430|SZUA-1430_00373	K09014		sufB	Fe-S cluster assembly protein SufB	05DIW@bactNOG,1AMP1@spiNOG,COG0719@NOG	FeS assembly protein SufB			SZUA-1430_141:2015..3424	hypothetical protein	K09014	K09014		K07033	K09015
Candidatus_bacterium_SZUA-1430|SZUA-1430_00374	K07033		K07033	uncharacterized protein	00BP0@actNOG,05JRK@bactNOG,COG0719@NOG	FeS assembly protein SufD			SZUA-1430_141:3477..4010	FeS cluster assembly protein SufD	K07033			K07033	K09015
Candidatus_bacterium_SZUA-1430|SZUA-1430_00375	K03046	[EC:2.7.7.6]	rpoC	DNA-directed RNA polymerase subunit beta'	05D27@bactNOG,0ENRG@cloNOG,0NE1B@firmNOG,COG0086@NOG	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)			SZUA-1430_141:c(4295..6868)	DNA-directed RNA polymerase subunit beta'	K03046	K03046		K03046	K13797
Candidatus_bacterium_SZUA-1430|SZUA-1430_00376					11G01@NOG,1CBMF@thaNOG,arCOG06353@arNOG	Probable cobalt transporter subunit (CbtA)			SZUA-1430_142:c(583..1302)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00377	K01612	[EC:4.1.1.-][EC:4.1.1.61]	bsdC	vanillate/4-hydroxybenzoate decarboxylase subunit C	1CB91@thaNOG,COG0043@NOG,arCOG01671@arNOG	UbiD family decarboxylase			SZUA-1430_142:c(1299..2621)	Phenolic acid decarboxylase subunit C	K01612			K01612	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00378									SZUA-1430_142:2730..2879	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00379									SZUA-1430_143:38..415	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00380									SZUA-1430_143:450..752	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00381	K07056	[EC:2.1.1.198]	rsmI	16S rRNA (cytidine1402-2'-O)-methyltransferase	05CU0@bactNOG,0QENU@fusoNOG,COG0313@NOG	Catalyzes the 2'-O-methylation of the ribose of cytidine 1402 (C1402) in 16S rRNA (By similarity)			SZUA-1430_143:c(1013..1699)	Ribosomal RNA small subunit methyltransferase I	K07056	K07056		K07056	K07056
Candidatus_bacterium_SZUA-1430|SZUA-1430_00382	K07245		pcoD	copper resistance protein D	1CBDB@thaNOG,COG5615@NOG,arCOG05392@arNOG	Copper resistance protein D			SZUA-1430_144:300..794	Copper transport protein YcnJ	K07245			K07245	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00383	K00952	[EC:2.7.7.1]	nadM	nicotinamide-nucleotide adenylyltransferase	1CBQ1@thaNOG,COG1056@NOG,arCOG00972@arNOG	NMN adenylyltransferase			SZUA-1430_144:829..1323	Bifunctional NMN adenylyltransferase/Nudix hydrolase	K00952	K00952		K00952	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00384					05FB6@bactNOG,0QJ49@gproNOG,0YJEW@NOG,17446@proNOG	Gonadoliberin III-related protein			SZUA-1430_145:c(751..1443)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00385	K01159	[EC:3.1.22.4]	ruvC	crossover junction endodeoxyribonuclease RuvC	05NHU@bactNOG,0ESF2@cloNOG,0NI9W@firmNOG,COG0817@NOG	Nuclease that resolves Holliday junction intermediates in genetic recombination. Cleaves the cruciform structure in supercoiled DNA by nicking to strands with the same polarity at sites symmetrically opposed at the junction in the homologous arms and leaves a 5'-terminal phosphate and a 3'-terminal hydroxyl group (By similarity)			SZUA-1430_145:c(1476..1976)	Crossover junction endodeoxyribonuclease RuvC	K01159	K01159	K01159	K01159	K01159
Candidatus_bacterium_SZUA-1430|SZUA-1430_00386					05CDY@bactNOG,0G4ZI@defNOG,COG0217@NOG	transcriptional regulatory protein			SZUA-1430_145:c(2023..2730)	putative transcriptional regulatory protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00387									SZUA-1430_145:2914..3276	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00388					08KGH@bactNOG,0D2PV@chloNOG,COG1316@NOG	cell envelope-related transcriptional attenuator			SZUA-1430_146:349..1497	Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagV					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00389	K01056	[EC:3.1.1.29]	PTH1, pth, spoVC	peptidyl-tRNA hydrolase, PTH1 family	08ZPD@bactNOG,0I74U@eryNOG,0NI3X@firmNOG,COG0193@NOG	The natural substrate for this enzyme may be peptidyl- tRNAs which drop off the ribosome during protein synthesis (By similarity)			SZUA-1430_146:1612..2154	Peptidyl-tRNA hydrolase	K01056	K01056		K01056	K01056
Candidatus_bacterium_SZUA-1430|SZUA-1430_00390									SZUA-1430_146:c(2168..2506)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00391	K04096		smf	DNA processing protein	05C79@bactNOG,0D1J0@chloNOG,0D69M@chlorNOG,COG0758@NOG	DNA protecting protein DprA			SZUA-1430_146:2799..3902	DNA processing protein DprA	K04096	K04096		K04096	K04096
Candidatus_bacterium_SZUA-1430|SZUA-1430_00392									SZUA-1430_147:c(549..1319)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00393	K03088		rpoE	RNA polymerase sigma-70 factor, ECF subfamily	05DU6@bactNOG,COG1595@NOG	RNA polymerase			SZUA-1430_147:c(1341..1532)	ECF RNA polymerase sigma factor SigW	K03088	K03088		K03088	K03088
Candidatus_bacterium_SZUA-1430|SZUA-1430_00394					08REI@bactNOG,0FQVB@cyaNOG,11HIJ@NOG				SZUA-1430_148:c(369..1934)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00395									SZUA-1430_148:2011..3156	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00396									SZUA-1430_149:151..1515	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00397	K01924	[EC:6.3.2.8]	murC	UDP-N-acetylmuramate--alanine ligase	05DFU@bactNOG,0ENPQ@cloNOG,0ND4Y@firmNOG,COG0773@NOG	Cell wall formation (By similarity)			SZUA-1430_150:c(316..1692)	UDP-N-acetylmuramate--L-alanine ligase	K01924	K01924	K01924	K01921	K02558
Candidatus_bacterium_SZUA-1430|SZUA-1430_00398	K02563	[EC:2.4.1.227]	murG	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	05DVQ@bactNOG,COG0707@NOG	Cell wall formation. Catalyzes the transfer of a GlcNAc subunit on undecaprenyl-pyrophosphoryl-MurNAc-pentapeptide (lipid intermediate I) to form undecaprenyl-pyrophosphoryl-MurNAc- (pentapeptide)GlcNAc (lipid intermediate II) (By similarity)			SZUA-1430_150:c(1737..2861)	UDP-N-acetylglucosamine--N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	K02563	K02563	K02563	K02563	K03429
Candidatus_bacterium_SZUA-1430|SZUA-1430_00399	K03588		ftsW, spoVE	cell division protein FtsW	05CNI@bactNOG,0NDTA@firmNOG,0X49H@negNOG,COG0772@NOG	Stage V sporulation protein E			SZUA-1430_150:c(2972..3475)	putative peptidoglycan glycosyltransferase FtsW	K03588	K03588		K03588	K05837
Candidatus_bacterium_SZUA-1430|SZUA-1430_00400	K02990		RP-S6, MRPS6, rpsF	small subunit ribosomal protein S6					SZUA-1430_151:949..1371	30S ribosomal protein S6	K02990	K02990			
Candidatus_bacterium_SZUA-1430|SZUA-1430_00401					07AYG@bactNOG,0Y3CT@NOG	sigma-70 region 4 domain-containing protein			SZUA-1430_152:70..1116	RNA polymerase sigma factor RpoD					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00402									SZUA-1430_153:147..260	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00403	K04517	[EC:1.3.1.12]	tyrA2	prephenate dehydrogenase	0KRB9@eurNOG,COG0287@NOG,COG4937@NOG,arCOG00245@arNOG	prephenate dehydrogenase			SZUA-1430_153:326..1156	T-protein	K04517	K04517		K04517	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00404	K04518	[EC:4.2.1.51]	pheA2	prephenate dehydratase	0KS9X@eurNOG,0WKJR@methaNOG,COG0077@NOG,arCOG00255@arNOG	Prephenate dehydratase (EC 4.2.1.51)			SZUA-1430_153:1153..1950	P-protein	K04518	K04518		K01713	
