#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Candidatus_bacterium_SZUA-1403|SZUA-1403_00001	K02120		ATPVD, ntpD, atpD	V/A-type H+/Na+-transporting ATPase subunit D	05M56@bactNOG,0EQND@cloNOG,0NFD9@firmNOG,COG1394@NOG	Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)			SZUA-1403_1:c(221..877)	V-type sodium ATPase subunit D	K02120	K02120	K02120	K02120	K02149
Candidatus_bacterium_SZUA-1403|SZUA-1403_00566									SZUA-1403_76:649..942	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00567					05CDX@bactNOG,0Y46N@NOG				SZUA-1403_76:c(986..1450)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00568	K01100	[EC:3.1.3.37]	E3.1.3.37	sedoheptulose-bisphosphatase	05CZI@bactNOG,0GBG1@delNOG,0HBXE@dproNOG,16PFJ@proNOG,COG0158@NOG	D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1			SZUA-1403_76:c(1478..2410)	Fructose-1,6-bisphosphatase class 1	K01100	K01100	K01100	K01086	K03841
Candidatus_bacterium_SZUA-1403|SZUA-1403_00569									SZUA-1403_76:c(2525..3439)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00570	K03111		ssb	single-strand DNA-binding protein	05Z8H@bactNOG,0G802@deiNOG,COG0629@NOG	single-stranded DNA-binding protein			SZUA-1403_77:c(730..1590)	Single-stranded DNA-binding protein	K03111	K03111		K03111	K03111
Candidatus_bacterium_SZUA-1403|SZUA-1403_00571	K21472	[EC:3.4.-.-]	lytH	peptidoglycan LD-endopeptidase LytH	05DR5@bactNOG,1C853@synNOG,COG0739@NOG	peptidase M23			SZUA-1403_77:c(1752..2879)	Murein hydrolase activator NlpD	K21472				K21472
Candidatus_bacterium_SZUA-1403|SZUA-1403_00572	K03657	[EC:3.6.4.12]	uvrD, pcrA	DNA helicase II / ATP-dependent DNA helicase PcrA	08PTW@bactNOG,09B4N@bctoNOG,COG0210@NOG	uvrd rep helicase			SZUA-1403_78:c(88..3192)	ATP-dependent DNA helicase PcrA	K03657	K03657		K03657	K03658
Candidatus_bacterium_SZUA-1403|SZUA-1403_00573	K01880	[EC:6.1.1.14]	GARS, glyS1	glycyl-tRNA synthetase	05D9H@bactNOG,1AMDC@spiNOG,COG0423@NOG	Catalyzes the attachment of glycine to tRNA(Gly) (By similarity)			SZUA-1403_79:200..1000	Glycine--tRNA ligase	K01880	K01880		K01880	K01880
Candidatus_bacterium_SZUA-1403|SZUA-1403_00574	K02427	[EC:2.1.1.166]	rlmE, rrmJ, ftsJ	23S rRNA (uridine2552-2'-O)-methyltransferase	05F7M@bactNOG,0GDK4@delNOG,0HEEG@dproNOG,16QAC@proNOG,COG0293@NOG	Specifically methylates the uridine in position 2552 of 23S rRNA at the 2'-O position of the ribose in the fully assembled 50S ribosomal subunit (By similarity)			SZUA-1403_79:c(1085..1846)	Ribosomal RNA large subunit methyltransferase E	K02427	K02427		K02427	K15508
Candidatus_bacterium_SZUA-1403|SZUA-1403_00575	K00058	[EC:1.1.1.95][EC:1.1.1.399]	serA, PHGDH	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase	08JQ1@bactNOG,0RB1W@gproNOG,173EN@proNOG,COG0111@NOG	d-3-phosphoglycerate dehydrogenase			SZUA-1403_79:1894..3138	D-3-phosphoglycerate dehydrogenase	K00058	K00058		K00058	K16843
Candidatus_bacterium_SZUA-1403|SZUA-1403_00576					06B5T@bactNOG,0EQ4F@cloNOG,0NEIX@firmNOG,0XQ2J@NOG	S-layer domain protein			SZUA-1403_80:373..2490	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00577									SZUA-1403_80:2775..3248	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00578	K01589	[EC:6.3.4.18]	purK	5-(carboxyamino)imidazole ribonucleotide synthase	05CY8@bactNOG,09A4N@bctoNOG,1AHIU@sphNOG,COG0026@NOG	Phosphoribosylaminoimidazole carboxylase ATPase subunit			SZUA-1403_81:343..1500	N5-carboxyaminoimidazole ribonucleotide synthase	K01589	K01589		K01589	K01589
Candidatus_bacterium_SZUA-1403|SZUA-1403_00579									SZUA-1403_81:1511..2056	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00580	K00951	[EC:2.7.6.5]	relA	GTP pyrophosphokinase	05CWR@bactNOG,1CFEJ@therNOG,COG0317@NOG	In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance (By similarity)			SZUA-1403_81:c(2065..5421)	Bifunctional (p)ppGpp synthase/hydrolase SpoT	K00951	K00951		K00951	K01139
Candidatus_bacterium_SZUA-1403|SZUA-1403_00581	K00003	[EC:1.1.1.3]	E1.1.1.3	homoserine dehydrogenase	05D6E@bactNOG,0QJIR@gproNOG,16Q19@proNOG,COG0460@NOG	homoserine dehydrogenase			SZUA-1403_81:5514..6473	Homoserine dehydrogenase	K00003	K00003		K00003	K12525
Candidatus_bacterium_SZUA-1403|SZUA-1403_00582	K00928	[EC:2.7.2.4]	lysC	aspartate kinase	05CFH@bactNOG,0CZJ3@chlNOG,COG0527@NOG	Aspartate kinase			SZUA-1403_81:6480..7856	Lysine-sensitive aspartokinase 3	K00928	K00928		K00928	K12526
Candidatus_bacterium_SZUA-1403|SZUA-1403_00583	K00728	[EC:2.4.1.109]	POMT, pmt	dolichyl-phosphate-mannose-protein mannosyltransferase	COG1928@NOG,KOG3359@euNOG	Dolichyl-phosphate-mannose--protein mannosyltransferase			SZUA-1403_81:7899..9791	hypothetical protein	K00728	K00728	K00728	K00728	
Candidatus_bacterium_SZUA-1403|SZUA-1403_00584	K01783	[EC:5.1.3.1]	rpe, RPE	ribulose-phosphate 3-epimerase	05DJV@bactNOG,0QEQR@fusoNOG,COG0036@NOG	Ribulose-phosphate 3-epimerase			SZUA-1403_81:9853..10512	Ribulose-phosphate 3-epimerase	K01783	K01783		K01783	K17195
Candidatus_bacterium_SZUA-1403|SZUA-1403_00585	K00560	[EC:2.1.1.45]	thyA, TYMS	thymidylate synthase	05C0V@bactNOG,099I0@bctoNOG,0P7N8@flaNOG,COG0207@NOG	Provides the sole de novo source of dTMP for DNA biosynthesis (By similarity)			SZUA-1403_81:10541..11392	Thymidylate synthase	K00560	K00560	K00560	K00560	K00560
Candidatus_bacterium_SZUA-1403|SZUA-1403_00586									SZUA-1403_81:11421..11867	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00587	K03671		trxA	thioredoxin 1	05K63@bactNOG,09GE9@bctoNOG,0PAFK@flaNOG,COG0526@NOG	Thioredoxin			SZUA-1403_81:11920..12237	Thioredoxin 1	K03671	K03671		K03671	K13996
Candidatus_bacterium_SZUA-1403|SZUA-1403_00588	K03177	[EC:5.4.99.25]	truB, PUS4, TRUB1	tRNA pseudouridine55 synthase	02FC1@aquNOG,05D0T@bactNOG,COG0130@NOG	Responsible for synthesis of pseudouridine from uracil- 55 in the psi GC loop of transfer RNAs (By similarity)			SZUA-1403_81:c(12314..13339)	tRNA pseudouridine synthase B	K03177	K03177		K03177	K03177
Candidatus_bacterium_SZUA-1403|SZUA-1403_00589	K03625		nusB	N utilization substance protein B	05M7K@bactNOG,0GEZM@delNOG,0I3VU@eproNOG,16WCN@proNOG,COG0781@NOG	Involved in the transcription termination process (By similarity)			SZUA-1403_81:c(13344..13778)	Transcription antitermination protein NusB	K03625	K03625		K03625	K03625
Candidatus_bacterium_SZUA-1403|SZUA-1403_00590									SZUA-1403_81:c(13804..14031)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00591					01U8Z@aproNOG,07TMF@bactNOG,0XP4A@NOG,16VC6@proNOG	type I secretion target repeat protein			SZUA-1403_82:21..497	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00592	K03070		secA	preprotein translocase subunit SecA	05CI6@bactNOG,0NDGV@firmNOG,COG0653@NOG	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving as an ATP-driven molecular motor driving the stepwise translocation of polypeptide chains across the membrane (By similarity)			SZUA-1403_82:c(922..3675)	Protein translocase subunit SecA	K03070	K03070		K03070	K03070
Candidatus_bacterium_SZUA-1403|SZUA-1403_00593	K03685	[EC:3.1.26.3]	rnc, DROSHA, RNT1	ribonuclease III	04RYC@bacNOG,08ZBM@bactNOG,0NIEK@firmNOG,COG0571@NOG	Digests double-stranded RNA. Involved in the processing of primary rRNA transcript to yield the immediate precursors to the large and small rRNAs (23S and 16S). Also processes some mRNAs, and tRNAs when they are encoded in the rRNA operon (By similarity)			SZUA-1403_82:c(3802..4479)	Ribonuclease 3	K03685	K03685		K03685	K03685
Candidatus_bacterium_SZUA-1403|SZUA-1403_00594									SZUA-1403_82:c(4485..5030)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00595	K06997		yggS, PROSC	PLP dependent protein	0KSAG@eurNOG,0WKAP@methaNOG,COG0325@NOG,arCOG04950@arNOG	Alanine racemase, N-terminal domain			SZUA-1403_82:5119..5841	Pyridoxal phosphate homeostasis protein	K06997	K06997		K06997	
Candidatus_bacterium_SZUA-1403|SZUA-1403_00596	K01713	[EC:4.2.1.51][EC:4.2.1.91]	pheC	cyclohexadienyl dehydratase	05CQC@bactNOG,0QJYK@gproNOG,16QSN@proNOG,COG0077@NOG	chorismate mutase			SZUA-1403_82:c(5813..6421)	hypothetical protein	K01713			K01713	K19546
Candidatus_bacterium_SZUA-1403|SZUA-1403_00597									SZUA-1403_82:6485..6793	Ferredoxin-1					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00598	K03723	[EC:3.6.4.-]	mfd	transcription-repair coupling factor (superfamily II helicase)	08JA2@bactNOG,0F7A6@cloNOG,0P6IH@firmNOG,COG1197@NOG	transcription-repair coupling factor			SZUA-1403_82:c(7380..10592)	Transcription-repair-coupling factor	K03723	K03723		K03723	K03723
Candidatus_bacterium_SZUA-1403|SZUA-1403_00599									SZUA-1403_82:c(10758..10937)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00600	K03442		mscS	small conductance mechanosensitive channel	05D64@bactNOG,0QIRR@gproNOG,16Q2Z@proNOG,COG0668@NOG	Mechanosensitive ion channel			SZUA-1403_82:11079..11972	Small-conductance mechanosensitive channel	K03442	K03442		K03442	K22044
Candidatus_bacterium_SZUA-1403|SZUA-1403_00601	K14058		ttcA	tRNA 2-thiocytidine biosynthesis protein TtcA	05CB3@bactNOG,0GBRR@delNOG,0I30F@eproNOG,16Q1M@proNOG,COG0037@NOG	PP-loop family			SZUA-1403_82:11990..12769	tRNA-cytidine(32) 2-sulfurtransferase	K14058			K14058	K21947
Candidatus_bacterium_SZUA-1403|SZUA-1403_00602	K02435	[EC:6.3.5.6][EC:6.3.5.7]	gatC, GATC	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C	05VB5@bactNOG,0QFP4@fusoNOG,COG0721@NOG	Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln) (By similarity)			SZUA-1403_82:12819..13100	Glutamyl-tRNA(Gln) amidotransferase subunit C	K02435	K02435		K02435	K02435
Candidatus_bacterium_SZUA-1403|SZUA-1403_00603	K02433	[EC:6.3.5.6][EC:6.3.5.7]	gatA, QRSL1	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A	05C3P@bactNOG,COG0154@NOG	Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in organisms which lack glutaminyl-tRNA synthetase. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln) (By similarity)			SZUA-1403_82:13140..14618	Glutamyl-tRNA(Gln) amidotransferase subunit A	K02433	K02433		K02433	K21801
Candidatus_bacterium_SZUA-1403|SZUA-1403_00604									SZUA-1403_82:14623..14994	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00605	K00939	[EC:2.7.4.3]	adk, AK	adenylate kinase	02FE3@aquNOG,05CC8@bactNOG,COG0563@NOG	Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism (By similarity)			SZUA-1403_82:15167..15721	Adenylate kinase	K00939	K00939		K00939	K13800
Candidatus_bacterium_SZUA-1403|SZUA-1403_00606	K01265	[EC:3.4.11.18]	map	methionyl aminopeptidase	0556V@bacteNOG,05CA1@bactNOG,09A64@bctoNOG,COG0024@NOG	Removes the N-terminal methionine from nascent proteins (By similarity)			SZUA-1403_82:15746..16510	Methionine aminopeptidase 1	K01265	K01265		K01265	K14813
Candidatus_bacterium_SZUA-1403|SZUA-1403_00607	K00952	[EC:2.7.7.1]	nadM	nicotinamide-nucleotide adenylyltransferase	02HGP@arcNOG,0KSZ3@eurNOG,COG1056@NOG,arCOG00972@arNOG	nicotinamide-nucleotide adenylyltransferase (EC 2.7.7.1)			SZUA-1403_82:16602..17144	Nicotinamide-nucleotide adenylyltransferase	K00952			K00952	
Candidatus_bacterium_SZUA-1403|SZUA-1403_00608	K20543		bcsC	cellulose synthase operon protein C	0858Y@bactNOG,0F62V@cloNOG,0NSQF@firmNOG,COG0457@NOG	Tetratricopeptide repeat			SZUA-1403_82:17290..17925	hypothetical protein	K20543				K20543
Candidatus_bacterium_SZUA-1403|SZUA-1403_00609	K00973	[EC:2.7.7.24]	E2.7.7.24, rfbA, rffH	glucose-1-phosphate thymidylyltransferase	0KRH9@eurNOG,0WKPT@methaNOG,COG1209@NOG,arCOG00664@arNOG	glucose-1-phosphate thymidylyltransferase			SZUA-1403_82:17922..18647	Glucose-1-phosphate thymidylyltransferase	K00973	K00973	K00973	K00963	
Candidatus_bacterium_SZUA-1403|SZUA-1403_00610	K07011		K07011	uncharacterized protein	05CC3@bactNOG,0NF0Y@firmNOG,COG1216@NOG	glycosyl transferase family 2			SZUA-1403_82:18658..19677	hypothetical protein	K07011			K07011	K20438
Candidatus_bacterium_SZUA-1403|SZUA-1403_00611	K07011		K07011	uncharacterized protein	05F3Q@bactNOG,0QUWQ@gproNOG,16Q5U@proNOG,COG1216@NOG	glycosyl transferase family			SZUA-1403_82:19694..20548	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase	K07011			K07011	K20438
Candidatus_bacterium_SZUA-1403|SZUA-1403_00612	K05541	[EC:1.-.-.-]	dusC	tRNA-dihydrouridine synthase C	05CEH@bactNOG,0D1N1@chloNOG,COG0042@NOG	Catalyzes the synthesis of dihydrouridine, a modified base found in the D-loop of most tRNAs (By similarity)			SZUA-1403_82:20627..21709	putative tRNA-dihydrouridine synthase	K05541			K05541	K05545
Candidatus_bacterium_SZUA-1403|SZUA-1403_00613	K00973	[EC:2.7.7.24]	E2.7.7.24, rfbA, rffH	glucose-1-phosphate thymidylyltransferase	0KT30@eurNOG,COG1208@NOG,arCOG00666@arNOG	Nucleotidyl transferase			SZUA-1403_82:21713..22726	UTP--glucose-1-phosphate uridylyltransferase	K00973	K00973		K00966	
Candidatus_bacterium_SZUA-1403|SZUA-1403_00614					089S3@bactNOG,09FH7@bctoNOG,11S8X@NOG	Inherit from NOG: Transcriptional regulator			SZUA-1403_82:22738..23319	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00615									SZUA-1403_83:130..669	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00616					02U0M@arNOG,0M2AU@eurNOG,0XP6Q@NOG	PKD domain			SZUA-1403_83:675..5276	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00617					06B5T@bactNOG,0EQ4F@cloNOG,0NEIX@firmNOG,0XQ2J@NOG	S-layer domain protein			SZUA-1403_84:c(111..6050)	Endoglucanase					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00618									SZUA-1403_85:421..714	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00619									SZUA-1403_85:c(1911..2483)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00620									SZUA-1403_86:76..1941	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00621					07R58@bactNOG,0QN95@gproNOG,0XP57@NOG,16QEC@proNOG	glycosyl transferase group 1			SZUA-1403_86:1982..3145	GDP-mannose-dependent monoacylated alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00622	K01079	[EC:3.1.3.3]	serB, PSPH	phosphoserine phosphatase	08JQ1@bactNOG,09T2J@bctoNOG,0PF76@flaNOG,COG0111@NOG	Dehydrogenase			SZUA-1403_86:3130..3888	Phosphoserine phosphatase	K01079	K01079		K00058	K16843
Candidatus_bacterium_SZUA-1403|SZUA-1403_00625	K02600		nusA	N utilization substance protein A	04R8B@bacNOG,05CHV@bactNOG,0ND7T@firmNOG,COG0195@NOG	factor NusA			SZUA-1403_87:121..612	Transcription termination/antitermination protein NusA	K02600	K02600		K02600	K02600
Candidatus_bacterium_SZUA-1403|SZUA-1403_00626	K09013		sufC	Fe-S cluster assembly ATP-binding protein	05C3K@bactNOG,0FJYJ@cyaNOG,COG0396@NOG	FeS assembly ATPase SufC			SZUA-1403_87:641..1408	Vegetative protein 296	K09013	K09013		K09013	K09013
Candidatus_bacterium_SZUA-1403|SZUA-1403_00627	K02238		comEC	competence protein ComEC	05EGY@bactNOG,0F7HA@cloNOG,0P6TQ@firmNOG,COG0658@NOG,COG2333@NOG	DNA internalization-related competence protein comec rec2			SZUA-1403_87:1417..2307	ComE operon protein 3	K02238	K02238		K02238	K02238
Candidatus_bacterium_SZUA-1403|SZUA-1403_00628					0674Z@bactNOG,09GIT@bctoNOG,0PAU0@flaNOG,COG1917@NOG	rmlc-like cupin family protein			SZUA-1403_87:c(2318..3193)	Iron-sulfur cluster repair protein ScdA					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00629									SZUA-1403_87:c(3389..3700)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00630	K01207	[EC:3.2.1.52]	nagZ	beta-N-acetylhexosaminidase					SZUA-1403_88:6..1565	hypothetical protein	K01207	K01207			
Candidatus_bacterium_SZUA-1403|SZUA-1403_00631									SZUA-1403_88:1585..2562	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00633	K04487	[EC:2.8.1.7]	iscS, NFS1	cysteine desulfurase	0KRMJ@eurNOG,0WRJW@metNOG,COG1104@NOG,arCOG00066@arNOG	Catalyzes the removal of elemental sulfur from cysteine to produce alanine (By similarity)			SZUA-1403_88:2843..4042	Cysteine desulfurase IscS	K04487	K04487		K04487	
Candidatus_bacterium_SZUA-1403|SZUA-1403_00634									SZUA-1403_88:4164..4940	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00635					0KTZS@eurNOG,0RGBR@halNOG,11YNJ@NOG,arCOG03129@arNOG	Protein of unknown function (DUF2797)			SZUA-1403_88:4976..5896	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00637	K01869	[EC:6.1.1.4]	LARS, leuS	leucyl-tRNA synthetase	05C8T@bactNOG,1AMHI@spiNOG,COG0495@NOG	Leucyl-tRNA synthetase			SZUA-1403_89:c(50..3157)	Leucine--tRNA ligase	K01869	K01869		K01869	K01869
Candidatus_bacterium_SZUA-1403|SZUA-1403_00638	K02867		RP-L11, MRPL11, rplK	large subunit ribosomal protein L11	08UIK@bactNOG,COG0080@NOG	This protein binds directly to 23S ribosomal RNA (By similarity)			SZUA-1403_89:3358..3783	50S ribosomal protein L11	K02867	K02867		K02867	K02870
Candidatus_bacterium_SZUA-1403|SZUA-1403_00639	K02863		RP-L1, MRPL1, rplA	large subunit ribosomal protein L1	01QM2@aproNOG,05C64@bactNOG,16PIW@proNOG,COG0081@NOG	Binds directly to 23S rRNA. The L1 stalk is quite mobile in the ribosome, and is involved in E site tRNA release (By similarity)			SZUA-1403_89:3860..4555	50S ribosomal protein L1	K02863	K02863		K02863	K02865
Candidatus_bacterium_SZUA-1403|SZUA-1403_00640	K02528	[EC:2.1.1.182]	ksgA	16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase	05D1X@bactNOG,0D22H@chloNOG,COG0030@NOG	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a conserved hairpin near the 3'-end of 16S rRNA in the 30S particle. May play a critical role in biogenesis of 30S subunits (By similarity)			SZUA-1403_89:c(4682..5680)	Ribosomal RNA small subunit methyltransferase A	K02528	K02528		K02528	K14191
Candidatus_bacterium_SZUA-1403|SZUA-1403_00641					08US7@bactNOG,09E76@bctoNOG,0FX5M@cytNOG,COG4430@NOG				SZUA-1403_89:c(5795..6040)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00642	K01006	[EC:2.7.9.1]	ppdK	pyruvate, orthophosphate dikinase	02GSX@aquNOG,08HRN@bactNOG,COG0574@NOG	Catalyzes the phosphorylation of pyruvate to phosphoenolpyruvate (By similarity)			SZUA-1403_89:c(6199..8772)	Pyruvate, phosphate dikinase	K01006	K01006		K01006	K21787
Candidatus_bacterium_SZUA-1403|SZUA-1403_00643	K02356		efp	elongation factor P	05DRH@bactNOG,COG0231@NOG	Involved in peptide bond synthesis. Stimulates efficient translation and peptide-bond synthesis on native or reconstituted 70S ribosomes in vitro. Probably functions indirectly by altering the affinity of the ribosome for aminoacyl-tRNA, thus increasing their reactivity as acceptors for peptidyl transferase (By similarity)			SZUA-1403_89:8935..9501	Elongation factor P	K02356	K02356		K02356	K03263
Candidatus_bacterium_SZUA-1403|SZUA-1403_00644	K03386	[EC:1.11.1.15]	PRDX2_4, ahpC	peroxiredoxin (alkyl hydroperoxide reductase subunit C)	05D3R@bactNOG,0FJRC@cyaNOG,COG0450@NOG	Thioredoxin peroxidase			SZUA-1403_90:211..762	Alkyl hydroperoxide reductase C	K03386	K03386		K03386	K03386
Candidatus_bacterium_SZUA-1403|SZUA-1403_00645									SZUA-1403_90:c(836..2800)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00646	K01735	[EC:4.2.3.4]	aroB	3-dehydroquinate synthase	05D49@bactNOG,0FKRX@cyaNOG,COG0337@NOG	3-dehydroquinate synthase			SZUA-1403_90:c(2816..3916)	3-dehydroquinate synthase	K01735	K01735		K01735	K13829
Candidatus_bacterium_SZUA-1403|SZUA-1403_00647									SZUA-1403_90:c(3939..4607)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00648	K10716		kch, trkA, mthK, pch	voltage-gated potassium channel	05EYW@bactNOG,099XW@bctoNOG,0FX27@cytNOG,COG1226@NOG	Ion transport protein			SZUA-1403_90:c(4673..5614)	Cyclic nucleotide-gated potassium channel	K10716	K10716		K10716	K11747
Candidatus_bacterium_SZUA-1403|SZUA-1403_00649	K03427	[EC:2.1.1.72]	hsdM	type I restriction enzyme M protein	05CVR@bactNOG,09ADE@bctoNOG,0P79K@flaNOG,COG0286@NOG	type I restriction-modification system			SZUA-1403_90:5740..5892	hypothetical protein	K03427	K03427		K03427	K03427
Candidatus_bacterium_SZUA-1403|SZUA-1403_00650	K21514	[EC:2.1.1.208]	aviRb	23S rRNA (uridine2479-2'-O)-methyltransferase	07TY2@bactNOG,0CZVN@chlNOG,COG0566@NOG	tRNA rRNA methyltransferase SpoU			SZUA-1403_90:5995..6453	tRNA (guanosine(18)-2'-O)-methyltransferase	K21514				K21514
Candidatus_bacterium_SZUA-1403|SZUA-1403_00651	K02337	[EC:2.7.7.7]	dnaE	DNA polymerase III subunit alpha	05C0B@bactNOG,0ENTN@cloNOG,0NDIW@firmNOG,COG0587@NOG	DNA polymerase iii			SZUA-1403_90:6485..10252	DNA polymerase III subunit alpha	K02337	K02337		K02337	K14162
Candidatus_bacterium_SZUA-1403|SZUA-1403_00652	K03596		lepA	GTP-binding protein LepA	05C4S@bactNOG,0ENRC@cloNOG,0NEFC@firmNOG,COG0481@NOG	Required for accurate and efficient protein synthesis under certain stress conditions. May act as a fidelity factor of the translation reaction, by catalyzing a one-codon backward translocation of tRNAs on improperly translocated ribosomes. Back- translocation proceeds from a post-translocation (POST) complex to a pre-translocation (PRE) complex, thus giving elongation factor G a second chance to translocate the tRNAs correctly. Binds to ribosomes in a GTP-dependent manner (By similarity)			SZUA-1403_90:10321..10881	Elongation factor 4	K03596	K03596		K03596	K03596
Candidatus_bacterium_SZUA-1403|SZUA-1403_00653									SZUA-1403_90:c(10878..12056)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00654									SZUA-1403_90:c(12080..14056)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00655									SZUA-1403_90:c(14101..14853)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00656									SZUA-1403_90:c(14873..15538)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00657									SZUA-1403_90:c(15531..15929)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00658									SZUA-1403_91:c(49..270)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00659	K13038	[EC:4.1.1.36][EC:6.3.2.5]	coaBC, dfp	phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase	02F2Y@aquNOG,05CJS@bactNOG,COG0452@NOG	phosphopantothenoylcysteine decarboxylase phosphopantothenate cysteine ligase			SZUA-1403_91:c(531..1901)	Coenzyme A biosynthesis bifunctional protein CoaBC	K13038	K13038		K01598	K21977
Candidatus_bacterium_SZUA-1403|SZUA-1403_00660									SZUA-1403_91:c(1971..2144)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00661									SZUA-1403_91:c(2141..2299)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00662					05P66@bactNOG,0QSVC@gproNOG,0XT5W@NOG,177U6@proNOG	Bacterial inner membrane protein			SZUA-1403_91:2402..2983	Inner membrane protein YgjV					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00663	K01972	[EC:6.5.1.2]	E6.5.1.2, ligA, ligB	DNA ligase (NAD+)	05C77@bactNOG,0ENY3@cloNOG,0NDDG@firmNOG,COG0272@NOG	DNA ligase that catalyzes the formation of phosphodiester linkages between 5'-phosphoryl and 3'-hydroxyl groups in double-stranded DNA using NAD as a coenzyme and as the energy source for the reaction. It is essential for DNA replication and repair of damaged DNA (By similarity)			SZUA-1403_91:3025..5151	DNA ligase	K01972	K01972		K01972	K01972
Candidatus_bacterium_SZUA-1403|SZUA-1403_00664	K00134	[EC:1.2.1.12]	GAPDH, gapA	glyceraldehyde 3-phosphate dehydrogenase	05C17@bactNOG,0QIP7@gproNOG,16PMS@proNOG,COG0057@NOG	Catalyzes the NAD-dependent conversion of D-erythrose 4- phosphate to 4-phosphoerythronate (By similarity)			SZUA-1403_91:c(5225..6253)	Glyceraldehyde-3-phosphate dehydrogenase	K00134	K00134		K00134	K03472
