#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00001	K11600		RRP41, EXOSC4, SKI6	exosome complex component RRP41	02H1C@arcNOG,0KR95@eurNOG,COG0689@NOG,arCOG01575@arNOG	Probably involved in the 3'- 5' degradation of a variety of RNA species			SZUA-1439_1:88..492	Exosome complex component Rrp41	K11600	K11600		K11600	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00785	K02074		ABC.ZM.A	zinc/manganese transport system ATP-binding protein	0KRZC@eurNOG,COG1121@NOG,arCOG00201@arNOG	ABC transporter			SZUA-1439_283:2338..3093	Trehalose/maltose import ATP-binding protein MalK	K02074	K02074		K02074	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00786	K03232		EEF1B	elongation factor 1-beta	02I0Q@arcNOG,0KUC9@eurNOG,COG2092@NOG,arCOG01988@arNOG	Promotes the exchange of GDP for GTP in EF-1-alpha GDP, thus allowing the regeneration of EF-1-alpha GTP that could then be used to form the ternary complex EF-1-alpha GTP AAtRNA (By similarity)			SZUA-1439_284:c(193..459)	Elongation factor 1-beta	K03232	K03232	K03232	K03232	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00787	K07580		K07580	Zn-ribbon RNA-binding protein	0KV4Z@eurNOG,COG2888@NOG,arCOG01989@arNOG	zn-ribbon RNA-binding protein			SZUA-1439_284:c(472..681)	hypothetical protein	K07580	K07580	K07580	K07580	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00789	K00201	[EC:1.2.7.12]	fwdB, fmdB	formylmethanofuran dehydrogenase subunit B	0KR9D@eurNOG,COG1029@NOG,arCOG01499@arNOG	formylmethanofuran dehydrogenase subunit B			SZUA-1439_284:c(898..2202)	Formate dehydrogenase subunit alpha	K00201	K00201	K00201	K00201	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00790	K00203	[EC:1.2.7.12]	fwdD, fmdD	formylmethanofuran dehydrogenase subunit D	0KTX2@eurNOG,0WQV4@methNOG,COG1153@NOG,arCOG02674@arNOG	dinucleotide-binding region			SZUA-1439_284:c(2186..2566)	Molybdenum-containing formylmethanofuran dehydrogenase 1 subunit C	K00203	K00203	K00203	K00201	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00791	K01733	[EC:4.2.3.1]	thrC	threonine synthase	02GW2@arcNOG,0KRPG@eurNOG,COG0498@NOG,arCOG01434@arNOG	Catalyzes the gamma-elimination of phosphate from L- phosphohomoserine and the beta-addition of water to produce L- threonine (By similarity)			SZUA-1439_285:248..1429	Threonine synthase	K01733	K01733	K01733	K01733	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00792	K03724	[EC:3.6.4.-]	lhr	ATP-dependent helicase Lhr and Lhr-like helicase	02GZF@arcNOG,0KRAB@eurNOG,COG1201@NOG,arCOG00557@arNOG	DEAD H associated domain protein			SZUA-1439_286:73..1455	hypothetical protein	K03724	K03724		K03724	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00793									SZUA-1439_286:1622..2203	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00794	K03243		EIF5B	translation initiation factor 5B	0KRN5@eurNOG,COG0532@NOG,COG1372@NOG,arCOG01560@arNOG,arCOG03157@arNOG	Function in general translation initiation by promoting the binding of the formylmethionine-tRNA to ribosomes. Seems to function along with eIF-2 (By similarity)			SZUA-1439_286:c(2438..2914)	putative translation initiation factor IF-2	K03243	K03243		K03243	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00795	K07575		K07575	PUA domain protein	02HSJ@arcNOG,0KU4P@eurNOG,COG2016@NOG,arCOG00985@arNOG	PUA			SZUA-1439_287:287..751	Glutamate 5-kinase	K07575	K07575	K07575	K07575	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00796	K07103		K07103	uncharacterized protein	02HA0@arcNOG,0KSPU@eurNOG,COG2150@NOG,arCOG02316@arNOG	amino acid-binding ACT domain protein			SZUA-1439_287:c(853..1350)	hypothetical protein	K07103	K07103	K07103	K07103	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00797					02H40@arcNOG,0KRBY@eurNOG,COG1916@NOG,arCOG02142@arNOG	TraB family			SZUA-1439_287:c(1447..2622)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00798					02HKT@arcNOG,0KT4D@eurNOG,COG0535@NOG,arCOG00955@arNOG	Radical SAM domain protein			SZUA-1439_287:c(2729..3526)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00799	K02984		RP-S3Ae, RPS3A	small subunit ribosomal protein S3Ae	02GXU@arcNOG,0KTFM@eurNOG,COG1890@NOG,arCOG04186@arNOG	30S ribosomal protein S3Ae			SZUA-1439_287:c(3558..4193)	30S ribosomal protein S3Ae	K02984	K02984	K02984	K02984	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00800	K01875	[EC:6.1.1.11]	SARS, serS	seryl-tRNA synthetase	02H5U@arcNOG,0KRF7@eurNOG,COG0172@NOG,arCOG00403@arNOG	Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec) (By similarity)			SZUA-1439_287:c(4406..4756)	Serine--tRNA ligase	K01875	K01875		K01875	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00801	K11181	[EC:1.8.99.5]	dsrB	dissimilatory sulfite reductase beta subunit	COG2221@NOG,arCOG02059@arNOG	Sulfite reductase			SZUA-1439_288:33..890	Sulfite reductase, dissimilatory-type subunit beta	K11181	K11181		K11181	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00802					111MN@NOG,arCOG10384@arNOG	Dissimilatory sulfite			SZUA-1439_288:936..1175	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00803					0KUUU@eurNOG,COG1146@NOG,arCOG02461@arNOG	4Fe-4S ferredoxin, iron-sulfur binding			SZUA-1439_288:1424..1627	Ferredoxin					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00804					127TA@NOG,arCOG02836@arNOG	CopG family transcriptional regulator			SZUA-1439_289:c(978..1190)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00805	K01588	[EC:5.4.99.18]	purE	5-(carboxyamino)imidazole ribonucleotide mutase	02HSS@arcNOG,0KTCN@eurNOG,COG0041@NOG,arCOG02464@arNOG	Catalyzes the conversion of N5-carboxyaminoimidazole ribonucleotide (N5-CAIR) to 4-carboxy-5-aminoimidazole ribonucleotide (CAIR) (By similarity)			SZUA-1439_289:c(1290..1757)	N5-carboxyaminoimidazole ribonucleotide mutase	K01588	K01588	K01588	K01588	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00806	K00764	[EC:2.4.2.14]	purF, PPAT	amidophosphoribosyltransferase	0KRFP@eurNOG,COG0067@NOG,arCOG00095@arNOG	glutamine amidotransferase, class-II			SZUA-1439_290:9..1019	Amidophosphoribosyltransferase	K00764			K00764	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00807	K04483		radA	DNA repair protein RadA	02GV2@arcNOG,0KRBH@eurNOG,COG0468@NOG,arCOG00415@arNOG	Involved in DNA repair and in homologous recombination. Binds and assemble on single-stranded DNA to form a nucleoprotein filament. Hydrolyzes ATP in a ssDNA-dependent manner and promotes DNA strand exchange between homologous DNA molecules (By similarity)			SZUA-1439_290:1550..2533	DNA repair and recombination protein RadA	K04483	K04483	K04483	K04483	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00808					02HRF@arcNOG,0KRFZ@eurNOG,COG0589@NOG,arCOG00449@arNOG	Universal stress protein family			SZUA-1439_290:c(2934..3731)	Universal stress protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00809	K07572		K07572	putative nucleotide binding protein	02HII@arcNOG,0KSEY@eurNOG,COG1491@NOG,arCOG04130@arNOG	Protein of unknown function (DUF655)			SZUA-1439_290:c(3967..4533)	hypothetical protein	K07572	K07572	K07572	K07572	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00810	K03051	[EC:2.7.7.6]	rpoF	DNA-directed RNA polymerase subunit F	02HUW@arcNOG,0KUID@eurNOG,COG1460@NOG,arCOG01016@arNOG	RNA polymerase Rpb4			SZUA-1439_290:c(4567..4914)	hypothetical protein	K03051	K03051	K03051	K03051	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00811	K02889		RP-L21e, RPL21	large subunit ribosomal protein L21e	02HXF@arcNOG,0KUMB@eurNOG,COG2139@NOG,arCOG04129@arNOG	50S ribosomal protein L21e			SZUA-1439_290:c(4917..5210)	50S ribosomal protein L21e	K02889	K02889	K02889	K02889	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00812	K07096		K07096	uncharacterized protein	0KT72@eurNOG,COG2129@NOG,arCOG01145@arNOG	Metallophosphoesterase			SZUA-1439_290:c(5712..6320)	hypothetical protein	K07096	K07096		K07096	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00813	K06965		PELO, DOM34, pelA	protein pelota	02H5Y@arcNOG,0KRCG@eurNOG,COG1537@NOG,arCOG01741@arNOG	May function in recognizing stalled ribosomes, interact with stem-loop structures in stalled mRNA molecules, and effect endonucleolytic cleavage of the mRNA. May play a role in the release non-functional ribosomes and degradation of damaged mRNAs. Has endoribonuclease activity (By similarity)			SZUA-1439_290:c(6506..6832)	Protein pelota	K06965	K06965		K06965	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00814	K06869		K06869	uncharacterized protein	02H0X@arcNOG,0KS8D@eurNOG,COG1938@NOG,arCOG00347@arNOG	PAC2 family			SZUA-1439_291:25..222	hypothetical protein	K06869	K06869		K06869	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00815	K09135		K09135	uncharacterized protein	02HW1@arcNOG,0KVGE@eurNOG,COG1935@NOG,arCOG04420@arNOG	Protein of unknown function (DUF473)			SZUA-1439_291:229..612	hypothetical protein	K09135		K09135	K09135	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00816					02HHQ@arcNOG,0KUIT@eurNOG,COG2881@NOG,arCOG02054@arNOG	Yip1 domain			SZUA-1439_291:c(911..1549)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00817	K09715		K09715	uncharacterized protein	02I51@arcNOG,0KV57@eurNOG,COG1531@NOG,arCOG01302@arNOG	UPF0248 protein			SZUA-1439_292:c(273..530)	hypothetical protein	K09715		K09715	K09715	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00818					02HKW@arcNOG,0KSRE@eurNOG,COG4860@NOG,arCOG04366@arNOG	ArsR transcriptional regulator			SZUA-1439_292:c(527..1066)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00819	K07333		flaJ-A, flaJ	archaeal flagellar protein FlaJ	02GXW@arcNOG,0KYJS@eurNOG,COG2064@NOG,arCOG01808@arNOG	type ii secretion system			SZUA-1439_293:c(566..2065)	hypothetical protein	K07333	K07333	K07333	K07333	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00820	K01007	[EC:2.7.9.2]	pps, ppsA	pyruvate, water dikinase	02HHF@arcNOG,0KRR9@eurNOG,COG0574@NOG,arCOG01111@arNOG	PEP-utilising enzyme, mobile domain			SZUA-1439_294:52..696	Phosphoenolpyruvate synthase	K01007	K01007		K01007	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00821	K06013	[EC:3.4.24.84]	STE24	STE24 endopeptidase	0KVCH@eurNOG,1CF6V@thermNOG,COG0501@NOG,arCOG01334@arNOG	Peptidase family M48			SZUA-1439_294:c(868..1113)	Protease HtpX	K06013			K06013	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00822	K06013	[EC:3.4.24.84]	STE24	STE24 endopeptidase	0KVCH@eurNOG,1CF6V@thermNOG,COG0501@NOG,arCOG01334@arNOG	Peptidase family M48			SZUA-1439_294:c(1194..1364)	Protease HtpX	K06013	K06013		K06013	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00823	K03053	[EC:2.7.7.6]	rpoH	DNA-directed RNA polymerase subunit H	0KUEB@eurNOG,COG2012@NOG,arCOG04258@arNOG	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)			SZUA-1439_295:c(962..1300)	DNA-directed RNA polymerase subunit H	K03053	K03053	K03053	K03053	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00825	K13787	[EC:2.5.1.1][EC:2.5.1.10][EC:2.5.1.29]	idsA	geranylgeranyl diphosphate synthase, type I	02GYG@arcNOG,0KS40@eurNOG,COG0142@NOG,arCOG01726@arNOG	Polyprenyl synthetase			SZUA-1439_296:17..529	Geranylfarnesyl diphosphate synthase	K13787	K13787		K13787	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00826	K22699				0KRE4@eurNOG,COG1635@NOG,arCOG00574@arNOG	Catalyzes the conversion of ribose 1,5-bisphosphate to ribulose 1,5-bisphosphate (RuBP), the CO(2) acceptor and substrate for RubisCO (By similarity)			SZUA-1439_296:859..1617	Thiamine thiazole synthase	K22699	K22699		K03146	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00827	K07728		K07728	putative transcriptional regulator	02HD5@arcNOG,0KS4J@eurNOG,COG1395@NOG,arCOG04152@arNOG	XRE family transcriptional regulator			SZUA-1439_296:1870..2823	hypothetical protein	K07728	K07728	K07728	K07728	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00828	K15635	[EC:5.4.2.12]	apgM	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	02H9F@arcNOG,0KRSP@eurNOG,COG3635@NOG,arCOG01696@arNOG	Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate (By similarity)			SZUA-1439_297:1..495	2,3-bisphosphoglycerate-independent phosphoglycerate mutase 1	K15635	K15635		K15635	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00829					0KSES@eurNOG,COG4801@NOG,arCOG02471@arNOG	Pfam:DUF583			SZUA-1439_297:498..1313	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00830	K00088	[EC:1.1.1.205]	IMPDH, guaB	IMP dehydrogenase	02TUC@arNOG,0M289@eurNOG,COG1475@NOG	CBS domain containing			SZUA-1439_298:1123..1905	Inosine-5'-monophosphate dehydrogenase	K00088			K00088	K03497
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00831					0ZCNI@NOG,arCOG10391@arNOG				SZUA-1439_298:c(2066..2494)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00832	K07090		K07090	uncharacterized protein	COG0730@NOG,arCOG02050@arNOG	permease			SZUA-1439_298:c(2505..3374)	hypothetical protein	K07090	K07090		K07090	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00833	K01714	[EC:4.3.3.7]	dapA	4-hydroxy-tetrahydrodipicolinate synthase	02HGM@arcNOG,0KRIQ@eurNOG,COG0329@NOG,arCOG04172@arNOG	Catalyzes the condensation of (S)-aspartate-beta- semialdehyde (S)-ASA and pyruvate to 4-hydroxy- tetrahydrodipicolinate (HTPA) (By similarity)			SZUA-1439_299:7..297	4-hydroxy-tetrahydrodipicolinate synthase	K01714	K01714		K01714	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00834					110IC@NOG,arCOG10390@arNOG				SZUA-1439_299:c(289..666)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00835	K01937	[EC:6.3.4.2]	pyrG, CTPS	CTP synthase	0KRTS@eurNOG,COG0504@NOG,arCOG00063@arNOG	Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen (By similarity)			SZUA-1439_299:c(840..1526)	CTP synthase	K01937	K01937		K01937	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00836	K01990		ABC-2.A	ABC-2 type transport system ATP-binding protein	0KW8S@eurNOG,COG1131@NOG,arCOG00194@arNOG	ABC transporter			SZUA-1439_300:241..1137	Trehalose/maltose import ATP-binding protein MalK	K01990	K01990		K01990	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00837	K01992		ABC-2.P	ABC-2 type transport system permease protein	07X5B@bactNOG,0GDTC@delNOG,0HEDJ@dproNOG,16SNP@proNOG,COG0842@NOG	ABC transporter permease			SZUA-1439_300:1217..2302	hypothetical protein	K01992	K01992		K01992	K21397
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00838	K01138	[EC:3.1.6.-]	K01138	uncharacterized sulfatase	02HH4@arcNOG,0KTN5@eurNOG,COG3379@NOG,arCOG01377@arNOG	type I phosphodiesterase nucleotide pyrophosphatase			SZUA-1439_301:4..954	hypothetical protein	K01138			K01138	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00839	K00860	[EC:2.7.1.25]	cysC	adenylylsulfate kinase	02HJV@arcNOG,0KSSW@eurNOG,COG0529@NOG,arCOG01040@arNOG	Catalyzes the synthesis of activated sulfate (By similarity)			SZUA-1439_301:945..1466	putative adenylyl-sulfate kinase	K00860	K00860	K00860	K00860	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00840	K07114		yfbK	Ca-activated chloride channel homolog	02GVS@arcNOG,0KYN0@eurNOG,COG2304@NOG,arCOG02900@arNOG	VWA			SZUA-1439_301:c(1615..1866)	hypothetical protein	K07114			K07114	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00841	K07462	[EC:3.1.-.-]	recJ	single-stranded-DNA-specific exonuclease	02H11@arcNOG,0KREX@eurNOG,COG0608@NOG,arCOG00427@arNOG	phosphoesterase RecJ domain protein			SZUA-1439_302:19..618	hypothetical protein	K07462			K07462	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00842					0XXQ3@NOG,arCOG01354@arNOG	Inherit from COG: acetyltransferase			SZUA-1439_302:600..821	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00843	K01079	[EC:3.1.3.3]	serB, PSPH	phosphoserine phosphatase	02H15@arcNOG,0KS9A@eurNOG,COG0560@NOG,COG3830@NOG,arCOG01158@arNOG,arCOG04941@arNOG	phosphoserine phosphatase SerB (EC 3.1.3.3)			SZUA-1439_302:941..2128	Phosphoserine phosphatase	K01079	K01079	K01079	K01079	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00845					02H6I@arcNOG,0KTGB@eurNOG,COG0778@NOG,arCOG00288@arNOG	Nitroreductase family			SZUA-1439_302:c(2510..2773)	Coenzyme F420:L-glutamate ligase					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00846	K03539	[EC:3.1.26.5]	RPP1, RPP30	ribonuclease P/MRP protein subunit RPP1	02HWM@arcNOG,0KYMA@eurNOG,COG1603@NOG,arCOG00307@arNOG	Part of ribonuclease P, a protein complex that generates mature tRNA molecules by cleaving their 5'-ends (By similarity)			SZUA-1439_303:c(488..1102)	Ribonuclease P protein component 3	K03539		K03539	K03539	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00847	K08281	[EC:3.5.1.19][EC:3.5.1.-]	pncA	nicotinamidase/pyrazinamidase	02HKM@arcNOG,0KTXZ@eurNOG,COG1335@NOG,arCOG01943@arNOG	Isochorismatase family			SZUA-1439_303:c(1457..1999)	Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB	K08281			K08281	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00848									SZUA-1439_303:c(2357..2569)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00849	K06943		NOG1	nucleolar GTP-binding protein	02GV0@arcNOG,0KRN6@eurNOG,COG1084@NOG,arCOG00352@arNOG	GTP-binding protein			SZUA-1439_303:2973..3929	GTPase Obg	K06943	K06943	K06943	K06943	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00850	K02533	[EC:2.1.1.-]	lasT	tRNA/rRNA methyltransferase	02H5P@arcNOG,0KRWG@eurNOG,COG0565@NOG,arCOG01018@arNOG	RNA methyltransferase, TrmH family, group 1			SZUA-1439_304:c(154..870)	tRNA (cytidine-2'-O-)-methyltransferase TrmJ	K02533			K02533	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00851	K01069	[EC:3.1.2.6]	gloB, HAGH	hydroxyacylglutathione hydrolase	0KSPK@eurNOG,COG0491@NOG,arCOG00504@arNOG	beta-lactamase domain protein			SZUA-1439_304:c(1653..2267)	Hydroxyacylglutathione hydrolase	K01069			K01069	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00852					02HKC@arcNOG,0KS1B@eurNOG,COG1836@NOG,arCOG02245@arNOG	Integral membrane protein DUF92			SZUA-1439_305:13..981	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00853	K06870		K06870	uncharacterized protein	02HE4@arcNOG,0KUZ6@eurNOG,COG1750@NOG,arCOG01937@arNOG	Lon protease (S16) C-terminal proteolytic domain			SZUA-1439_305:c(1094..2554)	Archaeal Lon protease	K06870	K06870		K06870	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00854	K01647	[EC:2.3.3.1]	CS, gltA	citrate synthase	0KRNU@eurNOG,COG0372@NOG,arCOG04237@arNOG	citrate synthase			SZUA-1439_306:450..1589	Citrate synthase	K01647	K01647	K01647	K01647	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00855					0KRGX@eurNOG,COG4756@NOG,arCOG04052@arNOG	Protein of unknown function (DUF1646)			SZUA-1439_306:c(1741..2832)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00856									SZUA-1439_306:c(2835..2945)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00857	K07744		K07744	transcriptional regulator	0KRVI@eurNOG,COG2524@NOG,arCOG00610@arNOG	signal transduction protein with cbs domains			SZUA-1439_307:69..1037	Inosine-5'-monophosphate dehydrogenase	K07744	K07744	K07744	K07744	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00858	K04794	[EC:3.1.1.29]	PTH2	peptidyl-tRNA hydrolase, PTH2 family	02HWZ@arcNOG,0KU02@eurNOG,COG1990@NOG,arCOG04228@arNOG	The natural substrate for this enzyme may be peptidyl- tRNAs which drop off the ribosome during protein synthesis (By similarity)			SZUA-1439_307:1292..1642	Peptidyl-tRNA hydrolase	K04794	K04794	K04794	K04794	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00859	K09744		K09744	uncharacterized protein	0KSRK@eurNOG,COG3372@NOG,arCOG04356@arNOG	Protein of unknown function (DUF790)			SZUA-1439_307:c(1773..2924)	hypothetical protein	K09744	K09744	K09744	K09744	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00860					02TXD@arNOG,0M29E@eurNOG,0WPQP@methaNOG,COG4248@NOG	protein with protein kinase and helix-hairpin-helix DNA-binding			SZUA-1439_308:c(68..1120)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00861					08ZZB@bactNOG,11YVJ@NOG	Inherit from NOG: serine threonine phosphoprotein phosphatase			SZUA-1439_308:c(1124..1948)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00862					02U8A@arNOG,0M2EH@eurNOG,0WPSM@methaNOG,COG4245@NOG	von Willebrand factor, type A			SZUA-1439_308:c(1952..2560)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00863					02H7N@arcNOG,0KTQA@eurNOG,COG0438@NOG,arCOG06114@arNOG	Glycosyl transferases group 1			SZUA-1439_309:10..1014	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00864	K00319	[EC:1.5.98.1]	mtd	methylenetetrahydromethanopterin dehydrogenase	02HH2@arcNOG,0KRGF@eurNOG,COG1927@NOG,arCOG04382@arNOG	Catalyzes the oxidation of methylene-H(4)MPT to methenyl-H(4)MPT( )			SZUA-1439_310:40..195	F420-dependent methylenetetrahydromethanopterin dehydrogenase	K00319	K00319		K00319	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00865					02HGX@arcNOG,0KTIG@eurNOG,COG1624@NOG,arCOG04453@arNOG	DisA bacterial checkpoint controller nucleotide-binding			SZUA-1439_310:378..1229	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00866	K06863	[EC:6.3.4.23]	purP	5-formaminoimidazole-4-carboxamide-1-(beta)-D-ribofuranosyl 5'-monophosphate synthetase	02HA5@arcNOG,0KSB8@eurNOG,COG1759@NOG,arCOG04346@arNOG	IMP biosynthesis enzyme PurP domain protein			SZUA-1439_311:42..1175	5-formaminoimidazole-4-carboxamide-1-(beta)-D- ribofuranosyl 5'-monophosphate synthetase	K06863	K06863	K06863	K06863	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00867					0KUQQ@eurNOG,COG0477@NOG,arCOG00130@arNOG	Pfam:DUF894			SZUA-1439_311:1433..1981	Multidrug resistance protein MdtG					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00868					0KTD4@eurNOG,COG0613@NOG,arCOG00302@arNOG	PHP domain protein			SZUA-1439_311:c(1978..2556)	Error-prone DNA polymerase					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00869	K03639	[EC:4.1.99.22]	moaA, CNX2	GTP 3',8-cyclase	02H78@arcNOG,0KRWA@eurNOG,COG2896@NOG,arCOG00930@arNOG	Catalyzes, together with MoaC, the conversion of 5'-GTP to cyclic pyranopterin monophosphate (cPMP or molybdopterin precursor Z) (By similarity)			SZUA-1439_312:19..897	7,8-dihydro-6-hydroxymethylpterin dimethyltransferase	K03639	K03639	K03639	K03639	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00870	K01151	[EC:3.1.21.2]	nfo	deoxyribonuclease IV	0KWB7@eurNOG,COG1082@NOG,arCOG01895@arNOG	AP endonuclease			SZUA-1439_312:c(1186..1965)	hypothetical protein	K01151			K01151	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00871	K03726	[EC:3.6.4.-]	helS	helicase	0KRQN@eurNOG,COG1204@NOG,arCOG00553@arNOG	Ski2-type helicase			SZUA-1439_312:c(2927..3580)	ATP-dependent DNA helicase Hel308	K03726	K03726		K03726	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00872	K07991	[EC:3.4.23.52]	flaK-A, flaK	archaeal preflagellin peptidase FlaK	0KSTC@eurNOG,COG1989@NOG,arCOG02298@arNOG	peptidase			SZUA-1439_313:271..990	Preflagellin peptidase	K07991	K07991	K07991	K07991	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00874	K01867	[EC:6.1.1.2]	WARS, trpS	tryptophanyl-tRNA synthetase	02HDD@arcNOG,0KRUK@eurNOG,COG0180@NOG,arCOG01887@arNOG	tryptophanyl-tRNA synthetase (EC 6.1.1.2)			SZUA-1439_313:1506..2771	Tryptophan--tRNA ligase	K01867	K01867	K01867	K01867	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00875	K11782	[EC:4.2.1.151]	mqnA	chorismate dehydratase	02HKQ@arcNOG,0KV9S@eurNOG,COG1427@NOG,arCOG00655@arNOG	Pfam:DUF178			SZUA-1439_313:c(2880..3620)	Chorismate dehydratase	K11782	K11782	K11782	K11782	
